t,ax,ay,az
0.0,-0.354,1.176,-0.128
0.01,-0.143,0.827,-0.014
0.02,-0.131,1.032,0.161
0.03,-0.168,0.899,0.105
0.04,-0.369,0.929,-0.171
0.05,-0.229,1.106,-0.119
0.06,-0.256,0.942,0.224
0.07,-0.088,1.033,0.135
0.08,-0.201,0.725,-0.016
0.09,-0.392,1.179,-0.126
0.1,-0.152,0.979,-0.031
0.11,-0.122,0.994,0.094
0.12,-0.139,0.864,0.16
0.13,-0.33,0.893,-0.06
0.14,-0.29,1.193,-0.154
0.15,-0.186,0.822,-0.071
0.16,-0.148,1.078,0.186
0.17,-0.063,0.788,0.092
0.18,-0.425,1.038,-0.13
0.19,-0.229,1.001,-0.114
0.2,-0.084,1.064,0.102
0.21,-0.325,1.148,-0.127
0.22,-0.187,0.9,-0.062
0.23,-0.126,0.983,0.112
0.24,-0.118,0.879,0.14
0.25,-0.317,0.968,-0.079
0.26,-0.307,1.14,-0.142
0.27,-0.199,0.851,0.015
0.28,-0.068,1.148,0.156
0.29,-0.17,0.75,0.018
0.3,-0.325,1.099,-0.129
0.31,-0.241,1.047,-0.072
0.32,-0.193,1.06,0.059
0.33,-0.106,0.855,0.137
0.34,-0.218,0.78,0.021
0.35,-0.346,1.225,-0.167
0.36,-0.255,0.907,-0.042
0.37,-0.169,1.094,0.092
0.38,-0.088,0.738,0.151
0.39,-0.336,0.975,-0.077
0.4,-0.333,1.026,-0.133
0.41,-0.17,0.873,0.019
0.42,-0.134,1.146,0.165
0.43,-0.16,0.721,0.068
0.44,-0.402,1.12,-0.136
0.45,-0.189,0.834,-0.137
0.46,-0.089,1.161,0.04
0.47,-0.055,0.85,0.152
0.48,-0.227,0.836,0.022
0.49,-0.395,1.156,-0.137
0.5,-0.152,0.887,-0.061
0.51,-0.197,1.201,0.073
0.52,-0.097,0.687,0.146
0.53,-0.347,1.084,-0.046
0.54,-0.311,0.872,-0.15
0.55,-0.184,0.984,-0.02
0.56,-0.102,1.094,0.205
0.57,-0.063,0.747,0.07
0.58,-0.43,1.143,-0.116
0.59,-0.179,0.776,-0.109
0.6,-0.261,1.272,0.074
0.61,-0.051,0.758,0.13
0.62,-0.236,0.938,0.045
0.63,-0.348,1.026,-0.141
0.64,-0.171,0.948,-0.05
0.65,-0.158,1.157,0.097
0.66,-0.074,0.635,0.147
0.67,-0.336,1.146,-0.02
0.68,-0.232,0.884,-0.159
0.69,-0.296,1.093,-0.04
0.7,-0.085,0.86,0.08
0.71,-0.148,0.865,0.097
0.72,-0.375,1.1,-0.112
0.73,-0.251,0.778,-0.099
0.74,-0.132,1.212,0.044
0.75,-0.005,0.818,0.127
0.76,-0.231,1.057,0.059
0.77,-0.334,0.867,-0.182
0.78,-0.158,1.052,-0.086
0.79,-0.094,1.092,0.018
0.8,-0.059,0.715,0.166
0.81,-0.33,1.113,-0.007
0.82,-0.326,0.791,-0.096
0.83,-0.196,1.194,-0.007
0.84,-0.275,0.843,0.265
0.85,-0.135,0.906,0.107
0.86,-0.27,1.053,-0.081
0.87,-0.289,0.917,-0.144
0.88,-0.336,1.099,0.082
0.89,0.026,0.792,0.18
0.9,-0.271,1.094,0.038
0.91,-0.33,0.794,-0.181
0.92,-0.191,1.155,-0.043
0.93,-0.091,0.955,0.018
0.94,-0.069,0.793,0.144
0.95,-0.304,1.086,-0.013
0.96,-0.307,0.865,-0.141
0.97,-0.241,1.161,-0.065
0.98,-0.085,0.823,0.099
0.99,-0.176,1.091,0.165
1.0,-0.311,0.87,-0.098
1.01,-0.262,1.113,-0.112
1.02,-0.179,0.975,0.055
1.03,-0.012,0.929,0.118
1.04,-0.158,0.972,0.032
1.05,-0.378,0.942,-0.159
1.06,-0.225,1.236,-0.043
1.07,-0.163,0.803,0.082
1.08,-0.023,0.953,0.159
1.09,-0.363,0.884,-0.034
1.1,-0.316,1.107,-0.191
1.11,-0.19,0.955,-0.043
1.12,-0.099,0.918,0.126
1.13,-0.169,1.023,0.142
1.14,-0.323,0.806,-0.101
1.15,-0.287,1.13,-0.135
1.16,-0.19,0.87,0.035
1.17,-0.116,1.095,0.181
1.18,-0.148,0.81,0.045
1.19,-0.404,0.999,-0.144
1.2,-0.279,1.115,-0.035
1.21,-0.066,0.948,0.019
1.22,-0.09,1.0,0.12
1.23,-0.235,0.753,-0.041
1.24,-0.402,1.211,-0.145
1.25,-0.122,0.865,-0.089
1.26,-0.143,1.0,0.107
1.27,-0.127,0.884,0.143
1.28,-0.357,0.931,-0.089
1.29,-0.308,1.131,-0.096
1.3,-0.15,0.874,-0.021
1.31,-0.126,1.153,0.17
1.32,-0.104,0.711,0.028
1.33,-0.392,1.102,-0.119
1.34,-0.216,0.997,-0.109
1.35,-0.103,1.048,0.027
1.36,-0.089,0.958,0.151
1.37,-0.232,0.749,-0.013
1.38,-0.388,1.152,-0.153
1.39,-0.114,0.914,-0.066
1.4,-0.147,1.123,0.073
1.41,-0.138,0.701,0.133
1.42,-0.314,1.035,-0.045
1.43,-0.246,1.081,-0.16
1.44,-0.158,0.844,-0.051
1.45,-0.136,1.08,0.2
1.46,-0.128,0.747,0.098
1.47,-0.354,1.144,-0.142
1.48,-0.247,0.838,-0.126
1.49,-0.127,1.148,0.051
1.5,-0.124,0.942,0.161
1.51,-0.251,0.812,-0.003
1.52,-0.366,1.099,-0.135
1.53,-0.104,0.92,-0.066
1.54,-0.126,1.208,0.06
1.55,-0.122,0.619,0.172
1.56,-0.36,1.053,-0.016
1.57,-0.26,0.938,-0.177
1.58,-0.225,0.974,-0.05
1.59,-0.12,0.954,0.14
1.6,-0.137,0.776,0.118
1.61,-0.395,1.144,-0.121
1.62,-0.174,0.785,-0.13
1.63,-0.253,1.266,0.064
1.64,-0.007,0.732,0.135
1.65,-0.236,0.946,0.023
1.66,-0.339,1.023,-0.132
1.67,-0.187,0.98,-0.075
1.68,-0.155,1.155,0.063
1.69,-0.079,0.618,0.149
1.7,-0.328,1.162,-0.013
1.71,-0.319,0.858,-0.118
1.72,-0.212,1.054,-0.083
1.73,-0.123,0.895,0.138
1.74,-0.099,0.891,0.122
1.75,-0.339,1.115,-0.119
1.76,-0.276,0.736,-0.116
1.77,-0.194,1.208,0.045
1.78,-0.016,0.841,0.168
1.79,-0.289,1.038,0.043
1.8,-0.361,0.865,-0.117
1.81,-0.085,1.227,-0.113
1.82,-0.12,0.912,-0.001
1.83,-0.048,0.854,0.136
1.84,-0.307,1.059,-0.042
1.85,-0.286,0.865,-0.208
1.86,-0.188,1.103,-0.037
1.87,-0.149,0.793,0.171
1.88,-0.144,1.083,0.121
1.89,-0.332,0.862,-0.118
1.9,-0.284,1.025,-0.095
1.91,-0.167,1.109,0.094
1.92,-0.029,0.851,0.118
1.93,-0.228,1.017,0.072
1.94,-0.357,0.86,-0.152
1.95,-0.199,1.266,-0.061
1.96,-0.13,0.82,0.068
1.97,-0.076,0.945,0.128
1.98,-0.323,0.952,-0.007
1.99,-0.268,0.981,-0.177
2.0,-0.227,1.055,-0.035
2.01,-0.055,0.818,0.037
2.02,-0.192,1.119,0.137
2.03,-0.295,0.806,-0.122
2.04,-0.31,1.094,-0.144
2.05,-0.183,0.939,0.017
2.06,-0.038,0.979,0.146
2.07,-0.127,0.934,0.081
2.08,-0.384,0.912,-0.159
2.09,-0.318,1.197,-0.037
2.1,-0.076,0.859,0.039
2.11,-0.138,1.017,0.146
2.12,-0.246,0.81,-0.031
2.13,-0.34,1.151,-0.173
2.14,-0.178,0.974,-0.048
2.15,-0.11,0.916,0.118
2.16,-0.149,0.973,0.142
2.17,-0.296,0.839,-0.088
2.18,-0.344,1.17,-0.115
2.19,-0.157,0.843,-0.04
2.2,-0.129,1.067,0.178
2.21,-0.11,0.854,0.042
2.22,-0.373,0.997,-0.16
2.23,-0.253,1.096,-0.092
2.24,-0.088,0.944,0.025
2.25,-0.094,1.003,0.151
2.26,-0.231,0.725,-0.009
2.27,-0.449,1.231,-0.135
2.28,-0.146,0.893,-0.108
2.29,-0.108,1.007,0.103
2.3,-0.157,0.848,0.157
2.31,-0.295,0.927,-0.056
2.32,-0.33,1.118,-0.132
2.33,-0.163,0.846,-0.02
2.34,-0.115,1.147,0.163
2.35,-0.112,0.738,0.076
2.36,-0.349,1.102,-0.115
2.37,-0.213,0.936,-0.136
2.38,-0.198,1.065,0.058
2.39,-0.07,0.899,0.155
2.4,-0.201,0.765,0.0
2.41,-0.379,1.242,-0.122
2.42,-0.128,0.906,-0.114
2.43,-0.209,1.163,0.109
2.44,-0.056,0.678,0.141
2.45,-0.335,1.011,-0.03
2.46,-0.322,1.022,-0.179
2.47,-0.16,0.909,-0.029
2.48,-0.113,1.083,0.108
2.49,-0.158,0.745,0.122
2.5,-0.349,1.139,-0.097
2.51,-0.215,0.827,-0.128
2.52,-0.163,1.158,-0.048
2.53,-0.117,0.886,0.192
2.54,-0.124,0.86,0.039
2.55,-0.401,1.107,-0.144
2.56,-0.203,0.862,-0.066
2.57,-0.073,1.254,0.012
2.58,-0.063,0.665,0.135
2.59,-0.31,1.05,-0.017
2.6,-0.323,0.918,-0.119
2.61,-0.23,1.1,-0.052
2.62,-0.123,0.881,0.134
2.63,-0.132,0.898,0.101
2.64,-0.341,1.058,-0.137
2.65,-0.31,0.792,-0.103
2.66,-0.211,1.154,0.034
2.67,-0.039,0.818,0.17
2.68,-0.236,1.088,0.063
2.69,-0.273,0.833,-0.134
2.7,-0.271,1.122,-0.045
2.71,-0.156,1.05,0.041
2.72,-0.03,0.721,0.137
2.73,-0.289,1.129,-0.023
2.74,-0.301,0.811,-0.216
2.75,-0.205,1.142,-0.088
2.76,-0.05,0.86,0.134
2.77,-0.155,1.03,0.169
2.78,-0.303,0.926,-0.106
2.79,-0.26,0.896,-0.154
2.8,-0.179,1.116,0.029
2.81,-0.029,0.835,0.118
2.82,-0.205,1.083,0.039
2.83,-0.379,0.796,-0.137
2.84,-0.201,1.177,-0.044
2.85,-0.295,0.984,0.181
2.86,-0.091,0.84,0.2
2.87,-0.242,0.983,-0.003
2.88,-0.312,0.912,-0.149
2.89,-0.357,1.17,-0.074
2.9,-0.114,0.713,0.071
2.91,-0.088,1.051,0.161
2.92,-0.284,0.915,-0.098
2.93,-0.394,0.996,-0.131
2.94,-0.163,0.95,-0.033
2.95,-0.086,0.953,0.155
2.96,-0.23,1.076,0.096
2.97,-0.272,0.827,-0.143
2.98,-0.298,1.174,-0.112
2.99,-0.118,0.873,0.04
3.0,-0.103,1.05,0.145
3.01,-0.208,0.83,0.044
3.02,-0.354,1.035,-0.132
3.03,-0.154,1.151,-0.101
3.04,-0.187,0.83,0.083
3.05,-0.096,0.992,0.147
3.06,-0.281,0.823,-0.067
3.07,-0.385,1.17,-0.177
