t,ax,ay,az
0.0,-0.23,1.085,0.122
0.01,-0.274,0.895,-0.075
0.02,-0.333,1.025,-0.108
0.03,-0.162,0.954,-0.046
0.04,-0.125,0.964,0.173
0.05,-0.134,1.07,0.035
0.06,-0.306,0.841,-0.129
0.07,-0.216,1.111,-0.056
0.08,-0.181,0.92,0.032
0.09,-0.067,1.073,0.185
0.1,-0.142,0.844,0.001
0.11,-0.399,0.948,-0.13
0.12,-0.26,1.052,-0.07
0.13,-0.08,1.018,0.036
0.14,-0.135,1.039,0.157
0.15,-0.226,0.764,-0.017
0.16,-0.401,1.178,-0.096
0.17,-0.134,0.942,-0.077
0.18,-0.118,1.064,0.051
0.19,-0.074,0.833,0.134
0.2,-0.327,0.954,0.012
0.21,-0.357,1.079,-0.132
0.22,-0.136,0.872,-0.101
0.23,-0.115,1.12,0.068
0.24,-0.163,0.736,0.116
0.25,-0.331,1.14,-0.048
0.26,-0.226,0.896,-0.19
0.27,-0.212,1.0,-0.025
0.28,-0.096,0.956,0.076
0.29,-0.227,0.887,0.176
0.3,-0.292,1.139,-0.132
0.31,-0.293,0.75,-0.117
0.32,-0.228,1.159,-0.004
0.33,-0.096,0.873,0.166
0.34,-0.174,0.995,0.056
0.35,-0.319,0.893,-0.116
0.36,-0.204,0.941,-0.091
0.37,-0.161,1.157,0.003
0.38,-0.072,0.835,0.168
0.39,-0.255,1.063,0.057
0.4,-0.265,0.752,-0.139
0.41,-0.258,1.187,-0.066
0.42,-0.064,1.005,0.049
0.43,-0.11,0.966,0.112
0.44,-0.259,0.939,0.031
0.45,-0.313,0.926,-0.13
0.46,-0.244,1.175,-0.081
0.47,-0.067,0.83,0.068
0.48,-0.088,1.057,0.119
0.49,-0.288,0.809,-0.01
0.5,-0.345,1.075,-0.14
0.51,-0.195,0.962,-0.065
0.52,-0.083,0.921,0.081
0.53,-0.156,0.93,0.125
0.54,-0.356,0.902,-0.001
0.55,-0.324,1.196,-0.124
0.56,-0.16,0.81,-0.072
0.57,-0.088,1.081,0.117
0.58,-0.21,0.831,0.143
0.59,-0.318,1.048,-0.076
0.6,-0.314,0.943,-0.105
0.61,-0.138,0.937,-0.029
0.62,-0.143,1.059,0.158
0.63,-0.142,0.785,0.047
0.64,-0.396,1.114,-0.091
0.65,-0.191,0.791,-0.105
0.66,-0.149,1.238,0.066
0.67,-0.057,0.807,0.098
0.68,-0.24,0.876,0.044
0.69,-0.299,1.02,-0.127
0.7,-0.221,0.95,-0.073
0.71,-0.116,1.173,0.037
0.72,-0.065,0.656,0.114
0.73,-0.271,1.082,0.018
0.74,-0.351,0.862,-0.091
0.75,-0.201,1.151,-0.122
0.76,-0.162,0.773,0.107
0.77,-0.121,0.988,0.176
0.78,-0.306,0.996,-0.025
0.79,-0.325,0.917,-0.157
0.8,-0.219,1.053,-0.034
0.81,-0.036,0.811,0.089
0.82,-0.191,1.094,0.106
0.83,-0.291,0.884,-0.042
0.84,-0.343,1.099,-0.124
0.85,-0.148,0.896,-0.028
0.86,-0.097,1.011,0.146
0.87,-0.217,0.99,0.094
0.88,-0.321,0.869,-0.103
0.89,-0.271,1.047,-0.106
0.9,-0.131,0.934,0.067
0.91,-0.037,1.171,0.099
0.92,-0.2,0.738,0.057
0.93,-0.336,1.021,-0.1
0.94,-0.24,1.023,-0.08
0.95,-0.102,1.066,0.049
0.96,-0.088,0.942,0.138
0.97,-0.193,0.811,0.017
0.98,-0.394,1.175,-0.112
0.99,-0.173,0.888,-0.062
1.0,-0.141,1.179,0.061
1.01,-0.021,0.743,0.141
1.02,-0.339,1.017,-0.011
1.03,-0.353,0.987,-0.117
1.04,-0.179,0.917,-0.096
1.05,-0.15,1.083,0.103
1.06,-0.057,0.738,0.114
1.07,-0.396,1.191,-0.031
1.08,-0.259,0.812,-0.184
1.09,-0.199,1.062,-0.028
1.1,-0.093,0.88,0.137
1.11,-0.229,0.93,0.139
1.12,-0.336,1.02,-0.095
1.13,-0.253,0.805,-0.116
1.14,-0.162,1.173,-0.036
1.15,-0.111,0.799,0.155
1.16,-0.196,1.086,0.062
1.17,-0.28,0.813,-0.141
1.18,-0.255,1.032,-0.07
1.19,-0.111,1.099,0.075
1.2,-0.031,0.882,0.084
1.21,-0.271,1.01,0.069
1.22,-0.271,0.829,-0.12
1.23,-0.218,1.233,-0.071
1.24,-0.099,0.907,0.041
1.25,-0.1,1.025,0.152
1.26,-0.232,0.867,-0.008
1.27,-0.358,1.018,-0.083
1.28,-0.147,1.084,-0.092
1.29,-0.11,0.892,0.076
1.3,-0.122,1.037,0.126
1.31,-0.259,0.858,-0.076
1.32,-0.41,1.201,-0.104
1.33,-0.163,0.846,-0.057
1.34,-0.093,1.019,0.111
1.35,-0.175,0.874,0.096
1.36,-0.368,0.963,-0.048
1.37,-0.277,1.082,-0.143
1.38,-0.197,0.829,-0.031
1.39,-0.133,1.099,0.172
1.4,-0.157,0.768,0.094
1.41,-0.325,1.129,-0.096
1.42,-0.235,0.847,-0.11
1.43,-0.211,1.112,0.009
