t,ax,ay,az
0.0,-0.109,-0.12,0.074
0.01,-0.211,-0.135,0.032
0.02,-0.317,-0.197,0.063
0.03,-0.333,-0.107,0.02
0.04,-0.429,0.152,-0.003
0.05,-0.347,0.165,-0.058
0.06,-0.302,0.184,-0.095
0.07,-0.225,0.097,-0.104
0.08,-0.171,-0.172,-0.058
0.09,-0.198,-0.042,-0.036
0.1,-0.134,0.031,0.063
0.11,-0.117,0.135,0.123
0.12,-0.116,0.192,0.033
0.13,-0.136,0.116,-0.034
0.14,-0.277,-0.276,0.02
0.15,-0.339,-0.168,0.036
0.16,-0.385,-0.133,0.067
0.17,-0.429,-0.131,0.045
0.18,-0.267,0.28,-0.075
0.19,-0.197,0.137,-0.091
0.2,-0.188,0.207,-0.084
0.21,-0.204,0.027,-0.059
0.22,-0.088,-0.135,-0.04
0.23,-0.065,-0.051,0.003
0.24,-0.187,0.022,0.132
0.25,-0.215,0.038,0.154
0.26,-0.329,0.096,0.025
0.27,-0.404,-0.024,-0.032
0.28,-0.347,-0.114,-0.129
0.29,-0.345,0.057,-0.068
0.3,-0.325,0.048,0.004
0.31,-0.183,0.21,-0.072
0.32,-0.179,0.226,-0.05
0.33,-0.11,0.073,-0.023
0.34,-0.107,0.089,0.022
0.35,-0.181,-0.128,0.104
0.36,-0.252,-0.178,0.086
0.37,-0.323,-0.07,0.046
0.38,-0.297,-0.004,0.038
0.39,-0.294,0.034,-0.018
0.4,-0.232,0.091,-0.052
0.41,-0.174,-0.123,-0.038
0.42,-0.246,0.051,-0.004
0.43,-0.251,0.113,0.02
0.44,-0.245,0.129,0.041
0.45,-0.28,0.302,-0.022
0.46,-0.187,0.129,-0.114
0.47,-0.227,-0.078,-0.083
0.48,-0.19,-0.287,-0.05
0.49,-0.244,-0.232,0.078
0.5,-0.235,-0.237,0.216
0.51,-0.162,0.089,0.159
0.52,-0.202,0.16,0.052
0.53,-0.18,0.13,-0.109
0.54,-0.264,0.15,-0.144
0.55,-0.341,-0.038,-0.09
0.56,-0.29,-0.011,-0.127
0.57,-0.388,0.05,0.023
0.58,-0.25,0.089,0.106
0.59,-0.112,0.175,0.035
0.6,-0.217,0.001,0.043
0.61,-0.129,-0.184,-0.002
0.62,-0.244,-0.152,0.026
0.63,-0.264,-0.168,0.062
0.64,-0.248,-0.009,0.024
0.65,-0.257,0.233,-0.007
0.66,-0.265,0.177,-0.012
0.67,-0.334,0.155,-0.034
0.68,-0.25,0.082,-0.105
0.69,-0.269,-0.086,-0.027
0.7,-0.314,-0.083,0.017
0.71,-0.25,0.084,-0.014
0.72,-0.222,-0.076,0.091
0.73,-0.076,0.116,-0.021
0.74,-0.14,-0.075,0.002
0.75,-0.2,-0.273,0.049
0.76,-0.135,0.003,0.019
0.77,-0.337,-0.028,0.135
0.78,-0.298,0.184,0.015
0.79,-0.296,0.288,-0.093
0.8,-0.375,0.118,-0.115
0.81,-0.257,0.062,-0.134
0.82,-0.239,-0.093,-0.057
0.83,-0.189,-0.202,0.057
0.84,-0.165,-0.09,0.082
0.85,-0.144,-0.016,0.137
0.86,-0.122,0.041,0.071
0.87,-0.128,0.1,-0.012
0.88,-0.259,0.072,0.005
0.89,-0.346,-0.071,-0.083
0.9,-0.449,0.135,-0.063
0.91,-0.319,0.077,-0.058
0.92,-0.285,0.152,-0.06
0.93,-0.319,0.093,0.008
0.94,-0.138,-0.074,0.031
0.95,-0.1,-0.042,0.022
0.96,-0.104,-0.178,0.013
0.97,-0.18,-0.105,0.067
0.98,-0.121,0.102,0.061
0.99,-0.264,0.108,0.059
1.0,-0.33,0.042,-0.036
1.01,-0.289,0.033,-0.093
1.02,-0.352,-0.061,-0.025
1.03,-0.353,-0.002,-0.0
1.04,-0.288,0.147,-0.004
1.05,-0.268,0.104,0.012
