t,ax,ay,az
0.0,-0.25,-0.054,0.03
0.01,-0.17,-0.086,0.056
0.02,-0.087,-0.1,0.079
0.03,-0.081,0.168,0.092
0.04,-0.185,0.108,0.125
0.05,-0.233,0.014,0.068
0.06,-0.258,0.039,-0.053
0.07,-0.346,-0.038,-0.074
0.08,-0.354,-0.009,-0.0
0.09,-0.382,0.156,-0.001
0.1,-0.325,0.062,-0.002
0.11,-0.285,0.135,-0.063
0.12,-0.203,0.039,0.014
0.13,-0.144,-0.079,0.07
0.14,-0.083,0.049,0.048
0.15,-0.095,-0.166,0.079
0.16,-0.063,-0.067,0.071
0.17,-0.21,0.123,0.058
0.18,-0.393,0.049,0.129
0.19,-0.327,0.026,-0.051
0.2,-0.334,0.042,-0.113
0.21,-0.419,-0.127,-0.009
0.22,-0.368,0.062,0.045
0.23,-0.3,0.187,0.07
0.24,-0.121,0.209,-0.004
0.25,-0.045,0.124,-0.114
0.26,0.014,-0.057,-0.111
0.27,-0.08,-0.411,0.073
0.28,-0.203,-0.195,0.238
0.29,-0.298,-0.028,0.301
0.3,-0.357,0.073,0.144
0.31,-0.371,0.286,-0.06
0.32,-0.363,0.061,-0.16
0.33,-0.321,-0.062,-0.136
0.34,-0.332,-0.067,-0.054
0.35,-0.237,-0.049,0.034
0.36,-0.149,0.092,0.025
0.37,-0.112,0.281,0.02
0.38,-0.04,0.143,0.063
0.39,-0.135,0.053,0.078
0.4,-0.263,-0.185,0.085
0.41,-0.284,-0.313,0.039
0.42,-0.35,-0.122,0.06
0.43,-0.403,0.061,0.027
0.44,-0.337,0.201,-0.007
0.45,-0.247,0.303,-0.054
0.46,-0.223,0.108,-0.044
0.47,-0.214,-0.117,-0.067
0.48,-0.154,-0.049,-0.036
0.49,-0.136,-0.12,0.093
0.5,-0.169,0.094,-0.866
0.51,-0.234,0.172,0.082
0.52,-0.198,-0.038,0.062
0.53,-0.214,-0.03,0.017
0.54,-0.331,-0.156,-0.859
0.55,-0.338,-0.211,0.1
0.56,-0.315,0.017,-0.009
0.57,-0.305,0.13,0.026
0.58,-0.135,0.194,-0.057
0.59,-0.203,0.204,-0.033
0.6,-0.22,-0.057,0.028
0.61,-0.09,-0.052,-0.006
0.62,-0.225,-0.0,-0.851
0.63,-0.186,-0.021,0.083
0.64,-0.117,0.058,0.102
0.65,-0.256,0.159,0.089
0.66,-0.312,-0.071,0.034
0.67,-0.441,-0.14,0.004
0.68,-0.336,-0.104,-0.005
0.69,-0.26,0.061,0.021
0.7,-0.314,0.159,0.059
0.71,-0.188,0.214,-0.005
0.72,-0.144,0.258,-0.031
0.73,-0.212,0.085,0.051
0.74,-0.064,-0.118,0.054
0.75,-0.126,-0.162,0.039
0.76,-0.218,-0.143,0.079
0.77,-0.27,-0.107,0.13
0.78,-0.375,0.111,0.117
0.79,-0.363,0.084,0.054
0.8,-0.214,-0.046,-0.061
0.81,-0.264,-0.03,-0.099
0.82,-0.296,-0.011,0.006
0.83,-0.226,0.104,0.099
0.84,-0.231,0.346,0.069
0.85,-0.198,0.237,0.036
0.86,-0.088,0.067,-0.099
0.87,-0.099,-0.145,-0.091
0.88,-0.185,-0.499,0.083
0.89,-0.303,-0.192,0.253
0.9,-0.364,-0.031,0.281
0.91,-0.219,0.096,0.077
0.92,-0.221,0.288,-0.125
0.93,-0.232,0.183,-0.153
