t,ax,ay,az
0.0,-0.223,1.101,0.136
0.01,0.074,0.466,0.005
0.02,-0.607,0.828,-0.164
0.03,0.034,1.731,0.109
0.04,-0.178,0.762,0.136
0.05,0.001,0.857,-0.009
0.06,-0.5,0.303,-0.152
0.07,-0.087,2.0,0.127
0.08,-0.06,0.639,0.096
0.09,-0.008,0.999,-0.057
0.1,-0.399,0.353,-0.169
0.11,-0.064,1.842,0.15
0.12,-0.114,0.946,0.065
0.13,0.026,0.551,-0.076
0.14,-0.465,0.891,-0.164
0.15,0.015,1.43,0.107
0.16,-0.272,1.286,0.049
0.17,0.099,0.496,-0.022
0.18,-0.458,0.792,-0.115
0.19,-0.105,1.457,0.19
0.2,-0.277,1.04,0.03
0.21,-0.081,0.936,-0.097
0.22,-0.351,0.271,-0.113
0.23,-0.204,1.7,0.176
0.24,-0.18,0.943,0.018
0.25,-0.323,1.023,-0.131
0.26,-0.264,0.247,-0.025
0.27,-0.131,1.373,0.181
0.28,-0.208,0.955,-0.012
0.29,-0.249,0.819,-0.123
0.3,-0.276,1.126,-0.059
0.31,0.023,0.855,0.163
0.32,-0.254,1.139,-0.016
0.33,-0.209,0.495,-0.156
0.34,-0.3,1.583,-0.071
0.35,0.036,0.689,0.158
0.36,-0.288,1.135,-0.013
0.37,-0.277,0.551,-0.175
0.38,-0.312,1.428,-0.024
0.39,-0.056,0.919,0.134
0.4,-0.173,0.751,0.003
0.41,-0.314,0.918,-0.18
0.42,-0.19,1.358,0.015
0.43,-0.064,1.082,0.135
0.44,-0.104,0.556,-0.002
0.45,-0.438,0.832,-0.181
0.46,-0.204,1.708,0.022
0.47,-0.089,0.716,0.141
0.48,-0.138,0.916,-0.009
0.49,-0.369,0.282,-0.274
0.5,-0.257,2.0,0.072
0.51,-0.14,0.509,0.12
0.52,-0.22,0.936,0.04
0.53,-0.42,0.356,-0.249
0.54,-0.138,1.868,0.076
0.55,-0.107,0.948,0.118
0.56,-0.024,0.436,-0.027
0.57,-0.535,0.843,-0.232
0.58,-0.02,1.529,0.142
0.59,-0.22,1.18,0.188
0.6,0.084,0.436,0.022
0.61,-0.596,0.782,-0.2
0.62,0.007,1.763,0.113
0.63,-0.151,0.811,0.079
0.64,0.0,0.864,-0.035
0.65,-0.479,0.326,-0.152
0.66,-0.15,2.0,0.169
0.67,-0.041,0.643,0.124
0.68,-0.068,0.998,-0.012
0.69,-0.437,0.358,-0.152
0.7,-0.109,1.68,0.139
0.71,-0.201,1.057,0.099
0.72,0.045,0.597,-0.051
0.73,-0.572,0.861,-0.123
0.74,-0.071,1.222,0.239
0.75,-0.317,1.414,0.081
0.76,-0.061,0.438,-0.078
0.77,-0.427,0.791,-0.127
0.78,-0.118,1.292,0.175
0.79,-0.208,1.127,0.002
0.8,-0.142,0.908,-0.11
0.81,-0.361,0.298,-0.061
0.82,-0.211,1.474,0.226
0.83,-0.151,0.857,0.012
0.84,-0.273,1.092,-0.111
0.85,0.067,0.44,-0.007
0.86,-0.541,0.947,-0.161
0.87,0.021,1.574,0.194
0.88,-0.143,0.993,0.062
0.89,-0.042,0.774,-0.048
0.9,-0.426,0.414,-0.095
0.91,-0.145,1.828,0.14
0.92,-0.078,0.733,0.059
0.93,-0.194,1.05,-0.072
0.94,-0.341,0.172,-0.06
0.95,-0.273,1.542,0.242
0.96,-0.166,0.913,0.057
0.97,-0.318,0.866,-0.075
0.98,-0.305,0.512,-0.086
0.99,-0.157,1.171,0.268
1.0,-0.26,1.28,0.046
1.01,-0.244,0.521,-0.133
1.02,-0.371,1.068,-0.012
1.03,0.038,0.788,0.187
1.04,-0.268,1.436,-0.003
1.05,-0.227,0.419,-0.129
1.06,-0.335,0.968,-0.053
1.07,-0.015,0.982,0.139
1.08,-0.184,0.953,0.001
1.09,-0.362,0.827,-0.137
1.1,-0.27,0.688,-0.032
1.11,-0.135,1.155,0.15
1.12,-0.188,0.774,0.014
1.13,-0.301,0.894,-0.121
1.14,-0.313,1.413,0.008
1.15,-0.104,0.812,0.153
1.16,-0.288,1.015,-0.031
1.17,-0.25,0.394,-0.139
1.18,-0.435,1.888,0.029
1.19,-0.105,0.504,0.149
1.2,-0.286,1.156,-0.011
1.21,-0.274,0.304,-0.237
1.22,-0.273,1.896,0.073
1.23,-0.175,0.638,0.058
1.24,-0.112,0.724,-0.046
1.25,-0.356,0.783,-0.221
1.26,0.022,1.547,0.031
1.27,-0.19,1.129,0.109
1.28,-0.011,0.383,-0.007
1.29,-0.651,0.855,-0.16
1.3,-0.032,1.577,0.142
1.31,-0.146,0.946,0.098
1.32,0.011,0.741,-0.039
1.33,-0.456,0.407,-0.164
1.34,-0.08,1.986,0.219
1.35,-0.053,0.616,0.067
1.36,-0.137,0.973,-0.06
1.37,-0.334,0.261,-0.163
1.38,-0.182,1.808,0.099
1.39,-0.12,0.944,0.034
1.4,-0.019,0.67,-0.066
1.41,-0.407,0.726,-0.147
1.42,-0.101,1.304,0.192
1.43,-0.293,1.41,0.063
1.44,-0.041,0.395,-0.122
1.45,-0.449,0.852,-0.163
1.46,-0.042,1.255,0.191
1.47,-0.324,1.228,0.016
1.48,-0.164,0.821,-0.114
1.49,-0.387,0.347,-0.074
