t,ax,ay,az
0.0,-0.453,0.269,-0.193
0.01,-0.094,1.491,0.16
0.02,-0.229,1.135,0.043
0.03,-0.116,0.573,-0.074
0.04,-0.432,0.88,-0.148
0.05,-0.023,1.007,0.172
0.06,-0.319,1.322,0.018
0.07,-0.091,0.394,-0.125
0.08,-0.494,0.915,-0.162
0.09,-0.044,1.044,0.162
0.1,-0.236,1.136,0.072
0.11,-0.306,0.729,-0.061
0.12,-0.469,0.451,-0.024
0.13,-0.188,1.344,0.244
0.14,-0.149,0.718,0.072
0.15,-0.392,0.908,-0.157
0.16,-0.309,0.64,-0.049
0.17,-0.176,1.263,0.162
0.18,-0.204,0.924,0.04
0.19,-0.259,0.537,-0.126
0.2,-0.273,1.4,-0.074
0.21,-0.026,0.836,0.207
0.22,-0.275,1.261,0.047
0.23,-0.281,0.357,-0.166
0.24,-0.291,1.436,-0.045
0.25,-0.064,0.79,0.103
0.26,-0.214,1.062,0.039
0.27,-0.24,0.754,-0.233
0.28,-0.286,1.103,0.003
0.29,-0.09,1.171,0.147
0.3,-0.061,0.617,-0.002
0.31,-0.433,1.063,-0.222
0.32,-0.177,1.211,0.021
0.33,-0.177,1.118,0.18
0.34,-0.094,0.74,0.027
0.35,-0.502,0.792,-0.154
0.36,-0.264,1.71,0.086
0.37,-0.156,0.684,0.174
0.38,-0.118,1.066,0.036
0.39,-0.379,0.397,-0.164
0.4,-0.285,1.983,0.136
0.41,-0.045,0.716,0.105
0.42,-0.126,0.82,0.012
0.43,-0.381,0.615,-0.197
0.44,-0.151,1.677,0.107
0.45,-0.155,1.052,0.094
0.46,-0.05,0.543,-0.051
0.47,-0.444,0.873,-0.245
0.48,-0.001,1.528,0.178
0.49,-0.233,1.331,0.095
0.5,-0.011,0.286,0.001
0.51,-0.463,1.033,-0.158
0.52,-0.109,1.46,0.202
0.53,-0.256,1.136,0.149
0.54,-0.075,0.776,-0.094
0.55,-0.491,0.375,-0.106
0.56,-0.106,1.83,0.219
0.57,-0.187,0.858,0.167
0.58,-0.212,0.945,-0.062
0.59,-0.432,0.279,-0.133
0.6,-0.123,1.601,0.173
0.61,-0.142,1.079,-0.026
0.62,-0.071,0.641,-0.153
0.63,-0.411,0.79,-0.217
0.64,-0.031,0.972,0.152
0.65,-0.261,1.39,0.057
0.66,-0.196,0.359,-0.168
0.67,-0.394,0.981,-0.161
0.68,0.017,0.946,0.153
0.69,-0.216,1.229,0.01
0.7,-0.23,0.594,-0.105
0.71,-0.414,0.538,-0.117
0.72,-0.121,1.3,0.168
0.73,-0.165,0.794,0.013
0.74,-0.357,0.951,-0.105
0.75,-0.284,0.515,-0.052
0.76,-0.112,1.251,0.172
0.77,-0.141,0.914,0.004
0.78,-0.322,0.638,-0.135
0.79,-0.234,1.2,-0.124
0.8,-0.059,0.935,0.119
0.81,-0.301,1.2,0.024
0.82,-0.243,0.348,-0.165
0.83,-0.384,1.604,0.004
0.84,0.0,0.753,0.123
0.85,-0.327,1.097,0.077
0.86,-0.238,0.62,-0.144
0.87,-0.393,1.367,0.033
0.88,-0.038,1.12,0.16
0.89,-0.101,0.6,0.04
0.9,-0.404,1.003,-0.16
0.91,-0.219,1.323,0.086
0.92,-0.125,1.119,0.16
0.93,-0.057,0.554,0.068
0.94,-0.458,0.867,-0.145
0.95,-0.211,1.712,0.082
0.96,-0.123,0.686,0.128
0.97,-0.034,0.961,-0.002
0.98,-0.428,0.388,-0.212
0.99,-0.108,2.0,0.039
1.0,0.019,0.74,0.067
1.01,-0.073,0.785,-0.046
1.02,-0.371,0.502,-0.264
1.03,-0.022,1.803,0.062
1.04,-0.077,1.015,-0.027
1.05,0.017,0.4,-0.07
1.06,-0.447,1.06,-0.214
1.07,0.008,1.557,0.122
1.08,-0.18,1.256,0.063
1.09,0.041,0.349,-0.027
1.1,-0.403,0.881,-0.184
1.11,-0.073,1.539,0.117
1.12,-0.156,0.963,0.067
1.13,-0.138,0.859,-0.092
1.14,-0.342,0.345,-0.167
1.15,-0.221,1.863,0.154
1.16,-0.139,0.778,0.094
1.17,-0.16,0.981,-0.079
1.18,-0.398,0.316,-0.221
1.19,-0.095,1.464,0.181
1.2,-0.167,1.198,0.005
1.21,-0.066,0.543,-0.101
1.22,-0.515,0.92,-0.191
1.23,0.028,1.041,0.142
1.24,-0.372,1.366,0.047
1.25,-0.068,0.437,-0.102
1.26,-0.503,1.089,-0.038
1.27,0.006,0.892,0.19
1.28,-0.249,1.256,0.056
1.29,-0.284,0.47,-0.13
1.3,-0.345,0.899,-0.001
1.31,-0.102,1.188,0.19
1.32,-0.123,0.73,0.045
1.33,-0.382,0.949,-0.196
1.34,-0.186,0.734,-0.082
1.35,-0.103,1.285,0.134
1.36,-0.14,0.761,0.022
1.37,-0.377,0.814,-0.161
1.38,-0.23,1.273,-0.058
1.39,-0.078,0.883,0.103
1.4,-0.191,1.163,0.014
1.41,-0.232,0.434,-0.228
1.42,-0.28,1.73,-0.034
1.43,-0.018,0.678,0.134
1.44,-0.24,1.121,0.039
1.45,-0.318,0.486,-0.207
1.46,-0.265,1.511,0.049
1.47,-0.141,0.974,0.128
1.48,-0.037,0.612,0.033
1.49,-0.473,1.031,-0.188
1.5,-0.161,1.312,0.087
1.51,-0.138,1.119,0.128
1.52,0.057,0.542,0.044
1.53,-0.521,0.975,-0.166
1.54,-0.104,1.697,0.147
1.55,-0.173,0.875,0.176
1.56,-0.057,0.784,-0.005
1.57,-0.445,0.418,-0.205
1.58,-0.122,2.0,0.101
1.59,-0.047,0.626,0.113
1.6,-0.117,0.866,-0.015
1.61,-0.336,0.453,-0.225
1.62,-0.128,1.886,0.084
1.63,-0.172,0.991,0.125
1.64,0.037,0.523,-0.076
1.65,-0.442,0.957,-0.199
1.66,0.053,1.417,0.087
1.67,-0.283,1.413,0.072
1.68,0.048,0.398,-0.051
1.69,-0.522,0.923,-0.143
1.7,-0.076,1.538,0.251
1.71,-0.086,1.072,0.039
1.72,-0.113,0.801,-0.119
1.73,-0.373,0.345,-0.152
1.74,-0.165,1.774,0.187
1.75,-0.146,0.839,0.096
1.76,-0.167,0.981,-0.083
1.77,-0.407,0.261,-0.133
1.78,-0.116,1.434,0.187
1.79,-0.249,1.084,0.086
1.8,-0.152,0.656,-0.092
1.81,-0.367,0.791,-0.152
1.82,0.016,0.986,0.15
1.83,-0.239,1.434,-0.027
1.84,-0.087,0.326,-0.133
1.85,-0.46,0.972,-0.094
1.86,-0.032,1.034,0.147
1.87,-0.239,1.089,-0.002
1.88,-0.217,0.67,-0.142
1.89,-0.397,0.65,-0.05
1.9,-0.121,1.336,0.171
1.91,-0.141,0.697,0.05
1.92,-0.301,0.915,-0.148
1.93,-0.279,0.87,-0.054
1.94,-0.071,1.255,0.126
1.95,-0.272,0.853,0.049
1.96,-0.323,0.643,-0.169
1.97,-0.331,1.358,-0.052
1.98,-0.037,0.819,0.152
1.99,-0.333,1.251,0.046
2.0,-0.274,0.376,-0.177
2.01,-0.277,1.665,0.008
2.02,0.002,0.806,0.146
2.03,-0.222,0.991,0.018
2.04,-0.38,0.696,-0.236
2.05,-0.232,1.37,0.041
2.06,-0.06,0.928,0.12
2.07,0.007,0.626,-0.021
2.08,-0.513,0.939,-0.189
2.09,-0.108,1.469,0.107
2.1,-0.258,1.187,0.202
2.11,0.051,0.348,0.035
2.12,-0.58,1.051,-0.172
2.13,-0.053,1.696,0.089
2.14,-0.184,0.927,0.133
2.15,0.018,0.728,-0.032
2.16,-0.449,0.481,-0.207
2.17,-0.058,2.0,0.126
2.18,-0.123,0.74,0.125
2.19,-0.131,0.853,0.002
2.2,-0.367,0.337,-0.215
2.21,-0.099,1.903,0.098
2.22,-0.006,0.949,0.04
2.23,-0.051,0.594,-0.087
2.24,-0.427,0.735,-0.221
2.25,-0.028,1.318,0.206
2.26,-0.238,1.393,0.067
2.27,0.052,0.439,-0.081
2.28,-0.509,0.934,-0.163
2.29,-0.015,1.169,0.153
2.3,-0.228,1.159,0.042
2.31,-0.075,0.755,-0.104
2.32,-0.44,0.469,-0.146
2.33,-0.158,1.37,0.179
2.34,-0.04,0.854,-0.03
2.35,-0.321,0.93,-0.125
2.36,-0.352,0.313,-0.139
2.37,-0.222,1.363,0.172
2.38,-0.118,0.858,0.025
2.39,-0.262,0.724,-0.13
2.4,-0.414,0.839,-0.123
2.41,-0.03,0.958,0.208
2.42,-0.293,1.314,-0.009
2.43,-0.165,0.27,-0.154
2.44,-0.491,1.207,-0.049
2.45,-0.018,0.968,0.179
