t,ax,ay,az
0.0,-0.128,0.752,-0.053
0.01,-0.387,0.966,-0.108
0.02,-0.372,0.363,-0.072
0.03,-0.117,1.207,0.131
0.04,-0.222,1.051,-0.065
0.05,-0.196,0.483,-0.117
0.06,-0.394,1.17,-0.083
0.07,0.068,0.813,0.145
0.08,-0.328,1.309,-0.043
0.09,-0.194,0.298,-0.157
0.1,-0.235,1.588,-0.03
0.11,-0.095,0.871,0.166
0.12,-0.11,0.952,-0.007
0.13,-0.387,0.781,-0.227
0.14,-0.159,1.211,-0.001
0.15,-0.184,1.185,0.132
0.16,-0.035,0.67,0.031
0.17,-0.475,0.951,-0.214
0.18,-0.075,1.36,0.013
0.19,-0.18,1.044,0.143
0.2,-0.007,0.785,0.023
0.21,-0.435,0.685,-0.175
0.22,-0.209,1.913,0.092
0.23,-0.104,0.675,0.122
0.24,-0.115,1.073,0.066
0.25,-0.359,0.339,-0.215
0.26,-0.176,2.0,0.13
0.27,-0.173,0.631,0.127
0.28,-0.042,0.817,-0.027
0.29,-0.518,0.618,-0.213
0.3,-0.125,1.607,0.114
0.31,-0.124,1.173,0.105
0.32,0.006,0.319,0.001
0.33,-0.466,1.041,-0.234
0.34,0.046,1.415,0.119
0.35,-0.202,1.143,0.059
0.36,0.013,0.612,-0.029
0.37,-0.481,0.663,-0.168
0.38,-0.073,1.778,0.189
0.39,-0.092,0.807,0.101
0.4,-0.183,0.933,-0.109
0.41,-0.339,0.268,-0.163
0.42,-0.175,1.778,0.178
0.43,-0.157,0.884,0.146
0.44,-0.184,0.887,-0.034
0.45,-0.448,0.499,-0.123
0.46,-0.071,1.431,0.249
0.47,-0.287,1.354,0.088
0.48,-0.025,0.507,-0.067
0.49,-0.508,0.926,-0.179
0.5,-0.037,1.102,0.239
0.51,-0.27,1.303,0.061
0.52,-0.056,0.65,-0.142
0.53,-0.491,0.614,-0.157
0.54,-0.071,1.281,0.158
0.55,-0.166,0.869,0.009
0.56,-0.324,0.931,-0.101
0.57,-0.4,0.288,-0.093
0.58,-0.203,1.359,0.174
0.59,-0.11,0.716,0.042
0.6,-0.398,0.946,-0.178
0.61,-0.193,0.799,-0.06
0.62,-0.162,1.123,0.114
0.63,-0.186,0.993,-0.007
0.64,-0.236,0.607,-0.153
0.65,-0.297,1.583,-0.017
0.66,-0.03,0.734,0.125
0.67,-0.262,1.249,0.013
0.68,-0.24,0.367,-0.183
0.69,-0.289,1.813,-0.019
0.7,-0.036,0.785,0.12
0.71,-0.157,0.923,0.011
0.72,-0.391,0.778,-0.19
0.73,-0.244,1.436,0.049
0.74,-0.185,1.117,0.129
0.75,0.003,0.516,0.066
0.76,-0.519,0.994,-0.175
0.77,-0.155,1.482,0.145
0.78,-0.203,1.014,0.121
0.79,-0.032,0.735,0.041
0.8,-0.488,0.603,-0.15
0.81,-0.156,1.911,0.101
0.82,-0.052,0.682,0.121
0.83,-0.052,1.032,0.024
0.84,-0.357,0.301,-0.202
0.85,-0.143,2.0,0.117
0.86,-0.059,0.759,0.106
0.87,-0.06,0.708,-0.046
0.88,-0.395,0.678,-0.239
0.89,-0.025,1.626,0.11
0.9,-0.108,1.185,0.084
0.91,0.013,0.349,-0.075
0.92,-0.477,1.019,-0.183
0.93,0.02,1.485,0.083
0.94,-0.196,1.131,0.091
0.95,0.016,0.632,-0.037
0.96,-0.453,0.666,-0.135
0.97,-0.1,1.64,0.166
0.98,-0.103,0.804,0.1
