t,ax,ay,az
0.0,-0.072,1.969,0.123
0.01,-0.068,0.7,0.147
0.02,-0.166,0.92,-0.028
0.03,-0.374,0.237,-0.165
0.04,-0.116,1.96,0.126
0.05,0.036,0.788,0.136
0.06,-0.159,0.792,-0.062
0.07,-0.437,0.638,-0.178
0.08,-0.107,1.611,0.201
0.09,-0.083,1.254,0.088
0.1,0.059,0.477,-0.045
0.11,-0.484,0.927,-0.184
0.12,-0.04,1.331,0.161
0.13,-0.246,1.274,0.036
0.14,0.015,0.731,-0.087
0.15,-0.431,0.492,-0.13
0.16,-0.168,1.433,0.158
0.17,-0.219,0.85,0.023
0.18,-0.206,0.979,-0.172
0.19,-0.358,0.17,-0.095
0.2,-0.139,1.38,0.205
0.21,-0.275,0.868,-0.012
0.22,-0.284,0.745,-0.12
0.23,-0.297,0.728,-0.136
0.24,-0.061,0.865,0.129
0.25,-0.29,1.287,-0.081
0.26,-0.142,0.392,-0.192
0.27,-0.283,1.478,-0.033
0.28,0.034,0.69,0.103
0.29,-0.258,1.237,-0.034
0.3,-0.301,0.539,-0.223
0.31,-0.143,1.653,-0.054
0.32,-0.193,0.954,0.174
0.33,-0.083,0.679,-0.013
0.34,-0.483,0.975,-0.179
0.35,-0.178,1.395,0.125
0.36,-0.256,1.121,0.198
0.37,-0.089,0.622,0.028
0.38,-0.516,0.887,-0.158
0.39,-0.031,1.652,0.085
0.4,-0.117,0.863,0.167
0.41,-0.101,0.833,-0.056
0.42,-0.366,0.334,-0.145
0.43,-0.117,1.968,0.108
0.44,-0.007,0.618,0.148
0.45,-0.181,0.977,-0.025
0.46,-0.435,0.354,-0.181
0.47,-0.073,1.879,0.179
0.48,-0.073,0.978,0.098
0.49,-0.033,0.463,-0.058
0.5,-0.469,0.888,-0.139
0.51,-0.103,1.416,0.181
0.52,-0.22,1.331,0.045
0.53,0.059,0.549,-0.015
0.54,-0.478,0.805,-0.149
0.55,-0.079,1.413,0.159
0.56,-0.22,1.15,-0.022
0.57,-0.148,0.864,-0.125
0.58,-0.346,0.229,-0.117
0.59,-0.201,1.526,0.204
0.6,-0.184,0.853,-0.03
0.61,-0.303,0.998,-0.153
0.62,-0.341,0.261,-0.065
0.63,-0.102,1.226,0.172
0.64,-0.193,1.123,-0.029
0.65,-0.225,0.474,-0.15
0.66,-0.176,1.192,-0.022
0.67,-0.128,0.779,0.147
0.68,-0.234,1.228,-0.008
0.69,-0.316,0.379,-0.189
0.7,-0.209,1.872,0.017
0.71,-0.048,0.625,0.144
0.72,-0.266,1.094,-0.01
0.73,-0.349,0.509,-0.178
0.74,-0.255,1.688,0.091
0.75,-0.102,0.928,0.103
0.76,-0.099,0.574,0.032
0.77,-0.44,0.96,-0.152
0.78,-0.135,1.432,0.196
0.79,-0.136,1.163,0.179
0.8,-0.031,0.464,0.016
0.81,-0.468,0.791,-0.171
0.82,0.066,1.773,0.118
0.83,-0.117,0.89,0.111
0.84,-0.059,0.813,-0.099
0.85,-0.393,0.355,-0.168
0.86,-0.109,1.991,0.192
0.87,-0.014,0.678,0.081
0.88,-0.093,1.036,-0.03
0.89,-0.422,0.372,-0.136
0.9,-0.156,1.787,0.229
0.91,-0.082,0.977,0.002
0.92,-0.063,0.675,-0.084
0.93,-0.457,0.803,-0.14
0.94,-0.015,1.249,0.167
0.95,-0.365,1.425,0.065
0.96,-0.011,0.402,-0.053
0.97,-0.427,0.802,-0.143
0.98,-0.092,1.149,0.171
0.99,-0.292,1.051,0.016
1.0,-0.23,0.794,-0.122
1.01,-0.338,0.356,-0.028
1.02,-0.209,1.241,0.156
1.03,-0.204,0.781,0.025
1.04,-0.377,0.96,-0.116
1.05,-0.249,0.639,-0.01
1.06,-0.152,1.05,0.146
1.07,-0.2,1.043,-0.009
1.08,-0.312,0.619,-0.174
1.09,-0.216,1.542,0.005
1.1,-0.093,0.664,0.168
1.11,-0.257,1.272,0.058
1.12,-0.26,0.395,-0.184
1.13,-0.302,1.909,0.068
1.14,-0.103,0.804,0.167
1.15,-0.227,0.786,0.022
1.16,-0.412,0.662,-0.177
1.17,-0.138,1.603,0.092
1.18,-0.158,1.169,0.16
1.19,-0.024,0.368,-0.029
1.2,-0.521,1.016,-0.2
