t,ax,ay,az
0.0,-0.195,1.95,0.063
0.01,0.023,0.77,0.133
0.02,-0.156,0.866,0.035
0.03,-0.375,0.373,-0.185
0.04,-0.218,1.942,0.077
0.05,-0.021,0.838,0.122
0.06,-0.082,0.656,-0.027
0.07,-0.425,0.787,-0.261
0.08,-0.08,1.551,0.08
0.09,-0.095,1.239,0.132
0.1,0.025,0.255,-0.01
0.11,-0.447,1.1,-0.216
0.12,-0.117,1.506,0.087
0.13,-0.082,1.134,0.119
0.14,-0.047,0.577,-0.018
0.15,-0.365,0.672,-0.234
0.16,-0.158,1.907,0.022
0.17,0.009,0.734,0.095
0.18,-0.096,0.885,-0.008
0.19,-0.362,0.359,-0.257
0.2,-0.155,2.0,0.031
0.21,-0.051,0.835,0.111
0.22,-0.11,0.604,-0.037
0.23,-0.389,0.73,-0.249
0.24,-0.108,1.604,0.084
0.25,-0.171,1.23,0.088
0.26,0.051,0.303,-0.058
0.27,-0.479,1.102,-0.21
0.28,-0.085,1.41,0.107
0.29,-0.19,1.198,0.131
0.3,0.03,0.532,-0.014
0.31,-0.499,0.719,-0.189
0.32,-0.16,1.805,0.12
0.33,-0.132,0.822,0.074
0.34,-0.097,0.899,-0.02
0.35,-0.434,0.307,-0.171
0.36,-0.214,1.907,0.174
0.37,-0.171,0.817,0.088
0.38,-0.13,0.766,-0.014
0.39,-0.446,0.595,-0.193
0.4,-0.102,1.567,0.135
0.41,-0.225,1.208,0.085
0.42,0.066,0.405,-0.127
0.43,-0.51,1.04,-0.218
0.44,0.088,1.329,0.191
0.45,-0.21,1.264,0.026
0.46,-0.021,0.478,-0.053
0.47,-0.457,0.758,-0.203
0.48,-0.108,1.55,0.19
0.49,-0.174,0.894,0.076
0.5,-0.143,0.905,-0.083
0.51,-0.38,0.28,-0.173
0.52,-0.182,1.823,0.168
0.53,-0.117,0.795,0.105
0.54,-0.192,0.897,-0.087
0.55,-0.423,0.467,-0.183
0.56,-0.093,1.553,0.157
0.57,-0.289,1.206,0.078
0.58,0.023,0.459,-0.008
0.59,-0.594,0.981,-0.143
0.6,0.041,1.16,0.255
0.61,-0.27,1.359,0.063
0.62,-0.094,0.509,-0.038
0.63,-0.495,0.754,-0.164
0.64,-0.101,1.449,0.189
0.65,-0.122,0.987,0.05
0.66,-0.132,0.924,-0.126
0.67,-0.351,0.299,-0.227
0.68,-0.183,1.694,0.228
0.69,-0.106,0.841,0.09
0.7,-0.262,0.879,-0.057
0.71,-0.323,0.437,-0.194
0.72,-0.167,1.329,0.21
0.73,-0.13,1.171,0.055
0.74,-0.121,0.462,-0.086
0.75,-0.454,0.966,-0.143
0.76,-0.008,1.089,0.208
0.77,-0.251,1.358,0.096
0.78,-0.09,0.36,-0.139
0.79,-0.474,1.004,-0.176
0.8,0.0,0.928,0.152
0.81,-0.164,1.303,0.035
0.82,-0.242,0.573,-0.113
0.83,-0.438,0.594,-0.094
0.84,-0.084,1.309,0.212
0.85,-0.129,0.803,0.072
0.86,-0.356,0.907,-0.125
0.87,-0.358,0.44,-0.099
0.88,-0.166,1.34,0.196
0.89,-0.143,0.872,0.03
0.9,-0.273,0.708,-0.161
0.91,-0.443,0.797,-0.15
0.92,-0.067,1.004,0.225
0.93,-0.163,1.25,0.034
0.94,-0.231,0.322,-0.159
0.95,-0.479,1.135,-0.087
0.96,-0.036,0.864,0.161
0.97,-0.262,1.271,0.074
0.98,-0.254,0.484,-0.107
0.99,-0.363,1.022,-0.031
1.0,-0.118,1.148,0.204
1.01,-0.087,0.746,0.079
1.02,-0.379,0.965,-0.114
1.03,-0.29,0.766,-0.029
1.04,-0.208,1.319,0.208
1.05,-0.156,0.738,0.091
1.06,-0.431,0.838,-0.115
1.07,-0.284,1.012,-0.08
1.08,-0.075,0.928,0.173
1.09,-0.168,1.162,0.007
1.1,-0.219,0.349,-0.21
1.11,-0.191,1.69,-0.13
1.12,0.05,0.846,0.163
1.13,-0.208,1.073,0.106
1.14,-0.246,0.572,-0.182
1.15,-0.316,1.357,-0.053
1.16,-0.148,1.021,0.186
1.17,-0.119,0.715,0.035
1.18,-0.361,0.912,-0.206
1.19,-0.211,1.025,-0.052
1.2,-0.078,1.269,0.149
1.21,-0.007,0.619,0.039
1.22,-0.362,1.01,-0.177
1.23,-0.232,1.346,-0.113
1.24,-0.097,0.983,0.163
1.25,-0.123,1.012,0.059
1.26,-0.336,0.507,-0.246
1.27,-0.344,1.685,-0.074
1.28,-0.087,0.703,0.135
1.29,-0.205,1.088,0.031
1.3,-0.288,0.531,-0.168
1.31,-0.317,1.565,-0.061
1.32,-0.022,1.015,0.187
1.33,0.0,0.621,0.041
1.34,-0.425,1.076,-0.212
1.35,-0.188,1.184,-0.056
1.36,-0.238,1.191,0.153
1.37,0.011,0.56,0.066
1.38,-0.517,0.971,-0.215
1.39,-0.201,1.337,0.013
1.4,-0.124,0.929,0.086
1.41,-0.148,0.861,0.053
1.42,-0.249,0.619,-0.202
1.43,-0.354,1.838,0.018
1.44,0.006,0.708,0.154
1.45,-0.146,0.995,0.036
1.46,-0.314,0.498,-0.182
1.47,-0.279,1.691,0.002
1.48,-0.093,0.94,0.195
1.49,-0.051,0.651,0.057
1.5,-0.515,0.987,-0.188
1.51,-0.278,1.21,0.037
1.52,-0.23,1.098,0.164
1.53,-0.02,0.587,0.098
1.54,-0.5,0.998,-0.189
1.55,-0.237,1.435,0.072
1.56,-0.152,1.103,0.245
1.57,-0.084,0.693,0.081
1.58,-0.356,0.667,-0.138
1.59,-0.172,1.687,0.061
1.6,-0.054,0.867,0.211
1.61,-0.129,0.842,0.034
1.62,-0.386,0.399,-0.183
1.63,-0.268,2.0,0.097
1.64,-0.076,0.621,0.147
1.65,-0.084,0.904,0.031
1.66,-0.392,0.611,-0.236
1.67,-0.145,1.649,0.11
1.68,-0.18,1.1,0.126
1.69,0.088,0.355,0.026
1.7,-0.352,1.084,-0.171
1.71,-0.083,1.432,0.09
1.72,-0.198,1.172,0.14
1.73,0.062,0.5,0.005
1.74,-0.593,0.823,-0.163
1.75,-0.009,1.783,0.085
1.76,-0.209,0.754,0.125
1.77,0.041,0.832,0.023
1.78,-0.412,0.505,-0.226
1.79,-0.163,1.992,0.085
1.8,-0.01,0.64,0.126
1.81,-0.072,0.892,-0.022
1.82,-0.401,0.468,-0.249
1.83,-0.057,1.827,0.047
1.84,-0.147,1.015,0.113
1.85,0.042,0.431,-0.046
1.86,-0.439,1.008,-0.237
1.87,0.018,1.572,0.092
1.88,-0.15,1.277,0.159
1.89,0.088,0.326,0.001
1.9,-0.488,0.975,-0.247
1.91,-0.014,1.666,0.036
1.92,-0.088,0.946,0.096
1.93,-0.015,0.789,-0.084
1.94,-0.336,0.438,-0.256
1.95,-0.066,2.0,0.047
1.96,-0.026,0.68,0.084
1.97,-0.077,0.854,-0.041
1.98,-0.378,0.443,-0.238
1.99,-0.112,1.888,0.125
2.0,-0.128,1.027,0.068
2.01,-0.026,0.372,-0.01
2.02,-0.464,0.982,-0.224
2.03,-0.07,1.479,0.161
2.04,-0.219,1.248,0.126
2.05,0.074,0.409,0.014
2.06,-0.507,1.013,-0.177
2.07,-0.026,1.681,0.121
2.08,-0.196,1.074,0.063
2.09,0.056,0.711,-0.061
2.1,-0.418,0.514,-0.196
2.11,-0.073,1.988,0.13
2.12,-0.052,0.676,0.034
2.13,-0.103,0.914,-0.063
2.14,-0.306,0.36,-0.217
2.15,-0.104,1.978,0.114
2.16,-0.187,0.94,0.129
2.17,-0.021,0.608,-0.063
2.18,-0.473,0.89,-0.212
2.19,0.07,1.482,0.179
2.2,-0.318,1.377,0.104
2.21,0.139,0.297,-0.037
2.22,-0.555,1.018,-0.296
2.23,0.032,1.389,0.113
2.24,-0.233,1.052,0.018
2.25,-0.065,0.772,-0.07
2.26,-0.429,0.432,-0.165
2.27,-0.094,1.908,0.153
2.28,-0.096,0.895,0.074
2.29,-0.194,0.858,-0.071
2.3,-0.405,0.346,-0.162
2.31,-0.193,1.753,0.176
2.32,-0.254,1.003,0.15
2.33,-0.166,0.657,-0.047
2.34,-0.494,0.718,-0.118
2.35,-0.078,1.327,0.156
2.36,-0.332,1.383,0.125
2.37,-0.396,0.564,-0.153
2.38,-0.141,1.234,0.205
2.39,-0.231,0.832,0.12
2.4,-0.33,0.747,-0.135
2.41,-0.338,1.151,-0.063
2.42,-0.051,0.846,0.184
2.43,-0.199,1.276,0.035
2.44,-0.236,0.272,-0.183
2.45,-0.316,1.571,-0.05
2.46,0.032,0.782,0.173
2.47,-0.234,1.064,0.042
2.48,-0.286,0.614,-0.17
2.49,-0.224,1.272,-0.087
2.5,-0.088,1.144,0.157
2.51,-0.047,0.578,0.053
2.52,-0.478,1.062,-0.148
2.53,-0.19,1.07,-0.024
2.54,-0.155,1.23,0.162
2.55,-0.125,0.67,0.037
2.56,-0.405,0.896,-0.149
2.57,-0.281,1.523,-0.048
2.58,-0.026,0.838,0.136
2.59,-0.128,0.997,0.038
2.6,-0.264,0.521,-0.259
2.61,-0.39,1.804,0.015
2.62,-0.041,0.727,0.151
2.63,-0.233,0.954,0.056
2.64,-0.329,0.615,-0.264
2.65,-0.298,1.545,0.016
2.66,-0.123,0.986,0.114
2.67,-0.037,0.595,0.037
2.68,-0.45,1.138,-0.169
2.69,-0.21,1.311,0.068
2.7,-0.158,1.201,0.202
2.71,-0.06,0.495,0.12
2.72,-0.466,0.945,-0.167
2.73,-0.265,1.593,0.132
2.74,-0.198,0.794,0.188
2.75,-0.116,0.869,0.05
2.76,-0.408,0.462,-0.206
2.77,-0.34,1.896,0.161
2.78,-0.036,0.721,0.174
2.79,-0.116,0.912,0.065
2.8,-0.359,0.599,-0.178
2.81,-0.281,1.722,0.119
2.82,-0.181,0.92,0.161
2.83,0.067,0.511,0.037
2.84,-0.513,0.991,-0.178
2.85,-0.055,1.417,0.11
2.86,-0.308,1.213,0.174
2.87,0.1,0.403,0.006
2.88,-0.571,0.955,-0.204
2.89,0.008,1.752,0.089
2.9,-0.179,0.917,0.119
2.91,-0.002,0.725,0.022
2.92,-0.467,0.483,-0.184
2.93,-0.13,2.0,0.084
2.94,-0.089,0.664,0.157
2.95,-0.085,0.873,-0.009
2.96,-0.354,0.459,-0.245
2.97,-0.153,1.901,0.1
2.98,-0.073,0.965,0.113
2.99,0.002,0.439,-0.027
3.0,-0.475,0.982,-0.23
3.01,0.003,1.508,0.07
3.02,-0.127,1.283,0.111
3.03,0.081,0.391,-0.027
3.04,-0.497,1.011,-0.209
3.05,-0.028,1.704,0.074
3.06,-0.178,1.012,0.131
3.07,0.072,0.489,-0.025
3.08,-0.544,0.739,-0.17
3.09,-0.12,1.625,0.162
3.1,-0.243,0.842,0.122
3.11,-0.134,0.969,-0.08
3.12,-0.455,0.299,-0.186
3.13,-0.21,1.796,0.156
3.14,-0.148,0.817,0.135
3.15,-0.183,0.871,-0.079
3.16,-0.457,0.521,-0.199
3.17,-0.052,1.347,0.166
3.18,-0.237,1.378,0.091
3.19,-0.049,0.416,-0.057
3.2,-0.593,1.0,-0.159
3.21,0.002,1.177,0.211
3.22,-0.294,1.306,0.079
3.23,-0.049,0.545,-0.052
3.24,-0.516,0.731,-0.19
3.25,-0.136,1.341,0.197
3.26,-0.082,0.961,0.08
3.27,-0.204,0.897,-0.084
3.28,-0.393,0.28,-0.181
3.29,-0.209,1.497,0.192
3.3,-0.152,0.809,0.036
3.31,-0.214,0.879,-0.089
3.32,-0.437,0.459,-0.159
3.33,-0.099,1.201,0.144
3.34,-0.187,1.228,0.044
3.35,-0.021,0.478,-0.119
3.36,-0.576,0.996,-0.12
3.37,-0.011,0.926,0.207
3.38,-0.327,1.345,0.087
3.39,-0.119,0.438,-0.084
3.4,-0.454,0.778,-0.135
3.41,-0.108,1.205,0.133
3.42,-0.129,0.924,0.006
3.43,-0.239,0.885,-0.118
3.44,-0.424,0.356,-0.09
3.45,-0.24,1.342,0.229
3.46,-0.172,0.767,0.052
3.47,-0.345,0.828,-0.102
3.48,-0.381,0.605,-0.126
3.49,-0.132,1.135,0.16
3.5,-0.257,0.996,0.028
3.51,-0.21,0.515,-0.114
3.52,-0.472,1.095,-0.072
3.53,-0.054,0.84,0.202
3.54,-0.291,1.249,0.064
3.55,-0.2,0.381,-0.123
3.56,-0.374,1.046,-0.039
3.57,-0.028,1.021,0.154
3.58,-0.183,0.904,0.07
3.59,-0.318,0.785,-0.141
3.6,-0.329,0.752,-0.044
3.61,-0.157,1.326,0.169
3.62,-0.241,0.633,0.101
3.63,-0.356,0.966,-0.101
3.64,-0.332,0.92,-0.049
3.65,-0.111,1.114,0.195
3.66,-0.229,0.958,0.056
3.67,-0.288,0.54,-0.194
3.68,-0.295,1.425,-0.094
3.69,-0.051,0.802,0.161
3.7,-0.27,1.226,0.076
3.71,-0.227,0.325,-0.163
3.72,-0.274,1.526,-0.09
3.73,-0.029,0.924,0.155
3.74,-0.194,0.828,0.018
3.75,-0.365,0.791,-0.172
3.76,-0.264,1.121,0.002
3.77,-0.124,1.243,0.217
3.78,-0.058,0.54,0.035
3.79,-0.436,1.099,-0.197
3.8,-0.178,1.132,-0.04
3.81,-0.106,1.117,0.116
3.82,-0.152,0.804,-0.014
3.83,-0.339,0.662,-0.185
3.84,-0.223,1.743,-0.02
3.85,0.01,0.772,0.134
3.86,-0.118,1.06,0.045
3.87,-0.423,0.436,-0.227
3.88,-0.2,1.919,0.049
3.89,-0.029,0.776,0.094
