t,ax,ay,az
0.0,-0.023,0.474,-0.016
0.01,-0.558,0.948,-0.221
0.02,-0.034,1.361,0.21
0.03,-0.239,1.362,0.039
0.04,-0.002,0.461,-0.037
0.05,-0.439,0.901,-0.189
0.06,-0.117,1.626,0.138
0.07,-0.194,0.953,0.115
0.08,-0.117,0.835,-0.068
0.09,-0.366,0.354,-0.175
0.1,-0.185,1.928,0.142
0.11,-0.148,0.854,0.098
0.12,-0.195,0.854,-0.048
0.13,-0.415,0.395,-0.156
0.14,-0.212,1.612,0.236
0.15,-0.23,1.127,0.091
0.16,-0.115,0.501,-0.053
0.17,-0.531,0.908,-0.152
0.18,-0.036,1.146,0.194
0.19,-0.281,1.362,0.079
0.2,-0.037,0.464,-0.082
0.21,-0.493,0.825,-0.198
0.22,-0.045,1.265,0.162
0.23,-0.169,1.005,0.035
0.24,-0.168,0.888,-0.1
0.25,-0.425,0.306,-0.143
0.26,-0.22,1.519,0.2
0.27,-0.116,0.804,0.101
0.28,-0.24,0.954,-0.108
0.29,-0.389,0.338,-0.198
0.3,-0.123,1.304,0.168
0.31,-0.233,1.16,0.028
0.32,-0.152,0.441,-0.12
0.33,-0.476,0.965,-0.148
0.34,-0.001,0.983,0.161
0.35,-0.232,1.251,0.056
0.36,-0.125,0.429,-0.133
0.37,-0.494,0.881,-0.155
0.38,0.006,1.115,0.115
0.39,-0.174,1.054,0.063
0.4,-0.289,0.781,-0.13
0.41,-0.414,0.392,-0.114
0.42,-0.171,1.388,0.192
0.43,-0.128,0.823,0.089
0.44,-0.277,0.876,-0.142
0.45,-0.403,0.512,-0.169
0.46,-0.051,1.287,0.141
0.47,-0.234,1.033,0.008
0.48,-0.195,0.532,-0.146
0.49,-0.464,1.076,-0.075
0.5,-0.013,0.897,0.163
0.51,-0.299,1.303,0.066
0.52,-0.14,0.336,-0.091
0.53,-0.468,1.164,-0.057
0.54,-0.015,1.028,0.148
0.55,-0.265,1.0,0.042
0.56,-0.267,0.727,-0.13
0.57,-0.301,0.899,-0.026
0.58,-0.141,1.318,0.211
0.59,-0.137,0.626,0.067
0.6,-0.377,0.985,-0.127
0.61,-0.292,0.955,-0.067
0.62,-0.115,1.195,0.189
0.63,-0.233,0.909,0.055
0.64,-0.338,0.65,-0.145
0.65,-0.323,1.513,-0.065
0.66,-0.027,0.787,0.197
0.67,-0.163,1.041,0.048
0.68,-0.31,0.463,-0.209
0.69,-0.4,1.847,0.062
0.7,-0.008,0.704,0.123
0.71,-0.188,1.034,0.056
0.72,-0.365,0.607,-0.222
0.73,-0.311,1.546,0.063
0.74,-0.151,1.028,0.178
0.75,-0.015,0.566,0.044
0.76,-0.468,1.021,-0.22
0.77,-0.218,1.259,0.081
0.78,-0.219,1.174,0.157
0.79,-0.016,0.507,0.071
0.8,-0.507,0.924,-0.19
0.81,-0.192,1.6,0.051
0.82,-0.151,0.773,0.09
0.83,-0.038,0.888,-0.004
0.84,-0.41,0.463,-0.238
0.85,-0.187,1.923,0.094
0.86,-0.071,0.631,0.095
0.87,-0.109,0.891,0.054
0.88,-0.36,0.502,-0.171
0.89,-0.141,1.806,0.125
0.9,-0.204,0.982,0.166
0.91,-0.023,0.458,-0.032
0.92,-0.495,1.021,-0.211
0.93,-0.062,1.502,0.133
0.94,-0.239,1.222,0.18
0.95,0.017,0.349,-0.006
0.96,-0.447,0.935,-0.222
0.97,0.004,1.778,0.029
0.98,-0.079,0.955,0.112
0.99,-0.108,0.777,-0.034
1.0,-0.396,0.4,-0.169
1.01,-0.172,2.0,0.059
1.02,-0.09,0.769,0.126
1.03,-0.142,0.824,-0.036
1.04,-0.414,0.43,-0.217
1.05,-0.081,1.881,0.146
1.06,-0.066,1.0,0.065
1.07,-0.009,0.46,-0.029
1.08,-0.485,0.934,-0.257
1.09,-0.052,1.463,0.13
1.1,-0.247,1.348,0.093
1.11,-0.028,0.4,-0.05
1.12,-0.476,0.969,-0.175
1.13,-0.084,1.461,0.148
1.14,-0.262,1.023,0.189
1.15,-0.119,0.832,-0.066
1.16,-0.464,0.364,-0.131
1.17,-0.197,1.706,0.179
1.18,-0.152,0.794,0.096
1.19,-0.168,1.039,-0.115
1.2,-0.408,0.294,-0.16
1.21,-0.128,1.501,0.188
1.22,-0.164,1.121,0.06
1.23,-0.086,0.611,-0.1
1.24,-0.511,0.857,-0.171
1.25,0.03,1.048,0.137
1.26,-0.271,1.398,0.047
1.27,-0.04,0.361,-0.095
1.28,-0.534,0.954,-0.2
1.29,0.0,1.122,0.117
1.3,-0.191,0.991,-0.005
1.31,-0.151,0.817,-0.116
1.32,-0.385,0.41,-0.134
1.33,-0.151,1.356,0.176
1.34,-0.017,0.841,0.007
1.35,-0.264,0.939,-0.16
1.36,-0.359,0.361,-0.181
1.37,-0.099,1.312,0.15
1.38,-0.097,0.998,-0.024
1.39,-0.221,0.49,-0.171
1.4,-0.421,0.942,-0.141
1.41,0.012,0.939,0.14
1.42,-0.24,1.303,-0.018
1.43,-0.137,0.317,-0.132
1.44,-0.472,0.998,-0.119
1.45,-0.037,1.0,0.156
1.46,-0.203,1.055,0.016
1.47,-0.321,0.706,-0.096
1.48,-0.353,1.023,-0.005
1.49,-0.122,1.081,0.203
1.5,-0.16,0.781,0.047
1.51,-0.383,0.874,-0.132
1.52,-0.174,0.965,-0.073
1.53,-0.098,1.318,0.154
1.54,-0.135,0.685,0.049
1.55,-0.39,0.877,-0.155
1.56,-0.275,1.32,-0.062
1.57,-0.105,0.89,0.126
1.58,-0.217,1.077,0.006
1.59,-0.25,0.442,-0.232
1.6,-0.327,1.702,-0.014
1.61,0.001,0.71,0.108
1.62,-0.181,1.119,0.023
1.63,-0.29,0.568,-0.218
1.64,-0.273,1.556,0.007
1.65,-0.125,0.945,0.189
1.66,-0.034,0.643,0.037
1.67,-0.435,1.075,-0.242
1.68,-0.196,1.196,0.04
1.69,-0.149,1.144,0.157
1.7,-0.025,0.581,0.062
1.71,-0.521,0.992,-0.219
1.72,-0.142,1.552,0.085
1.73,-0.094,0.93,0.132
1.74,-0.072,0.821,0.034
1.75,-0.353,0.542,-0.187
1.76,-0.31,1.904,0.101
1.77,-0.06,0.708,0.153
1.78,-0.214,0.916,0.055
1.79,-0.427,0.388,-0.217
1.8,-0.182,1.743,0.085
1.81,-0.169,0.965,0.097
1.82,0.021,0.513,0.012
1.83,-0.493,1.001,-0.22
1.84,-0.089,1.405,0.053
1.85,-0.2,1.093,0.15
1.86,0.098,0.409,0.049
1.87,-0.548,0.952,-0.201
1.88,-0.013,1.657,0.092
1.89,-0.251,0.877,0.166
1.9,-0.029,0.801,0.014
1.91,-0.508,0.471,-0.223
1.92,-0.116,2.0,0.092
1.93,-0.05,0.668,0.156
1.94,-0.073,0.91,0.033
1.95,-0.364,0.42,-0.247
1.96,-0.112,1.789,0.069
1.97,-0.037,0.976,0.028
1.98,-0.037,0.551,-0.036
1.99,-0.456,0.981,-0.245
2.0,-0.056,1.566,0.093
2.01,-0.16,1.318,0.081
2.02,0.032,0.268,-0.009
2.03,-0.516,0.999,-0.207
2.04,-0.078,1.544,0.069
2.05,-0.137,0.989,0.1
2.06,-0.007,0.83,-0.067
2.07,-0.44,0.394,-0.159
2.08,-0.125,1.992,0.184
2.09,-0.112,0.811,0.075
2.1,-0.139,0.897,-0.057
2.11,-0.417,0.409,-0.196
2.12,-0.1,1.747,0.149
2.13,-0.081,1.029,0.076
2.14,-0.057,0.475,-0.097
2.15,-0.425,0.836,-0.189
2.16,-0.083,1.291,0.115
2.17,-0.312,1.321,0.146
2.18,-0.081,0.463,-0.046
2.19,-0.581,0.886,-0.162
2.2,-0.027,1.314,0.227
2.21,-0.145,1.208,0.075
2.22,-0.11,0.75,-0.076
2.23,-0.512,0.397,-0.146
2.24,-0.197,1.663,0.193
2.25,-0.13,0.821,0.119
2.26,-0.168,1.047,-0.051
2.27,-0.439,0.268,-0.157
2.28,-0.159,1.454,0.188
2.29,-0.115,0.839,0.054
2.3,-0.229,0.759,-0.114
2.31,-0.403,0.632,-0.146
2.32,-0.039,1.134,0.138
2.33,-0.224,1.202,0.023
2.34,-0.059,0.432,-0.119
2.35,-0.595,1.095,-0.114
2.36,0.046,0.941,0.158
2.37,-0.297,1.226,0.053
2.38,-0.204,0.448,-0.1
2.39,-0.525,0.837,-0.039
2.4,-0.104,1.167,0.146
2.41,-0.193,0.828,0.055
2.42,-0.268,0.857,-0.126
2.43,-0.386,0.563,-0.085
2.44,-0.106,1.34,0.14
2.45,-0.161,0.741,0.062
2.46,-0.308,0.821,-0.104
2.47,-0.436,1.015,-0.072
2.48,-0.063,1.067,0.225
2.49,-0.21,1.097,0.038
2.5,-0.222,0.399,-0.173
2.51,-0.297,1.53,-0.069
2.52,-0.085,0.778,0.172
2.53,-0.215,1.163,0.051
2.54,-0.311,0.469,-0.172
2.55,-0.234,1.326,-0.06
2.56,-0.089,1.013,0.115
2.57,-0.11,0.733,0.045
2.58,-0.395,0.976,-0.141
2.59,-0.207,0.975,-0.035
2.6,-0.235,1.213,0.156
2.61,-0.081,0.651,0.012
2.62,-0.381,0.959,-0.173
2.63,-0.19,1.369,-0.027
2.64,-0.087,0.959,0.115
2.65,-0.091,0.903,-0.023
2.66,-0.337,0.556,-0.218
2.67,-0.26,1.844,0.065
2.68,-0.129,0.622,0.1
2.69,-0.168,1.031,0.046
2.7,-0.322,0.446,-0.183
2.71,-0.339,1.642,0.071
2.72,-0.056,0.879,0.104
2.73,-0.038,1.598,0.104
2.74,-0.192,1.32,0.087
2.75,0.042,0.343,-0.049
2.76,-0.491,0.978,-0.202
