t,ax,ay,az
0.0,-0.259,1.628,-0.063
0.01,0.031,0.738,0.123
0.02,-0.301,1.188,0.022
0.03,-0.247,0.434,-0.192
0.04,-0.258,1.604,-0.045
0.05,-0.043,0.93,0.149
0.06,-0.162,0.77,-0.011
0.07,-0.384,0.94,-0.218
0.08,-0.232,1.275,0.025
0.09,-0.113,1.175,0.118
0.1,-0.119,0.554,0.067
0.11,-0.452,1.053,-0.18
0.12,-0.323,1.459,0.097
0.13,-0.143,0.981,0.198
0.14,-0.134,0.82,0.079
0.15,-0.355,0.603,-0.228
0.16,-0.342,1.93,0.095
0.17,-0.013,0.666,0.16
0.18,-0.256,0.987,0.067
0.19,-0.287,0.434,-0.201
0.2,-0.311,1.92,0.019
0.21,-0.086,0.762,0.111
0.22,-0.027,0.675,0.011
0.23,-0.424,0.855,-0.239
0.24,-0.132,1.453,0.076
0.25,-0.252,1.173,0.161
0.26,0.062,0.386,0.057
0.27,-0.53,1.052,-0.167
0.28,-0.084,1.623,0.056
0.29,-0.155,1.002,0.164
0.3,-0.026,0.686,0.018
0.31,-0.466,0.533,-0.171
0.32,-0.134,2.0,0.1
0.33,-0.152,0.585,0.16
0.34,-0.116,0.99,0.059
0.35,-0.396,0.328,-0.205
0.36,-0.107,2.0,0.143
0.37,-0.094,0.826,0.14
0.38,0.025,0.606,0.007
0.39,-0.441,0.81,-0.285
0.4,0.023,1.553,0.107
0.41,-0.171,1.217,0.148
0.42,0.115,0.326,-0.015
0.43,-0.52,1.033,-0.214
0.44,0.002,1.679,0.104
0.45,-0.083,1.073,0.061
0.46,-0.013,0.6,-0.018
0.47,-0.388,0.639,-0.162
0.48,-0.167,2.0,0.106
0.49,-0.083,0.689,0.104
0.5,-0.056,0.983,-0.011
0.51,-0.346,0.307,-0.248
0.52,-0.088,1.978,0.113
0.53,-0.077,0.859,0.09
0.54,-0.056,0.562,-0.007
0.55,-0.478,0.733,-0.202
0.56,-0.02,1.575,0.182
0.57,-0.217,1.163,0.104
0.58,0.062,0.385,-0.016
0.59,-0.565,0.994,-0.238
0.6,0.041,1.516,0.152
0.61,-0.23,1.181,0.099
0.62,0.025,0.584,-0.054
0.63,-0.524,0.846,-0.177
0.64,-0.082,1.4,0.145
0.65,-0.204,0.928,0.094
0.66,-0.169,0.968,-0.077
0.67,-0.434,0.198,-0.149
0.68,-0.21,1.678,0.232
0.69,-0.149,0.848,0.136
0.7,-0.235,0.97,-0.045
0.71,-0.427,0.362,-0.125
0.72,-0.154,1.457,0.215
0.73,-0.147,1.185,0.045
0.74,-0.039,0.519,-0.118
0.75,-0.438,0.924,-0.217
0.76,0.032,1.03,0.151
0.77,-0.216,1.36,-0.007
0.78,-0.051,0.493,-0.089
0.79,-0.48,0.793,-0.142
0.8,-0.087,1.223,0.178
0.81,-0.196,0.998,0.098
0.82,-0.228,0.906,-0.115
0.83,-0.373,0.297,-0.133
0.84,-0.2,1.438,0.163
0.85,-0.088,0.875,0.005
0.86,-0.207,0.916,-0.105
0.87,-0.407,0.429,-0.158
0.88,-0.125,1.203,0.225
0.89,-0.151,1.105,-0.025
0.9,-0.158,0.449,-0.187
0.91,-0.472,0.999,-0.1
0.92,-0.033,0.857,0.17
0.93,-0.274,1.369,0.044
0.94,-0.2,0.361,-0.1
0.95,-0.455,0.913,-0.079
0.96,-0.074,0.995,0.155
0.97,-0.219,1.002,0.076
0.98,-0.245,0.829,-0.188
0.99,-0.321,0.447,-0.11
1.0,-0.187,1.257,0.107
1.01,-0.109,0.787,-0.009
1.02,-0.322,0.853,-0.104
1.03,-0.415,0.684,-0.033
1.04,-0.057,1.098,0.177
1.05,-0.324,1.15,0.029
1.06,-0.222,0.441,-0.104
1.07,-0.415,1.333,-0.07
1.08,0.027,0.809,0.161
1.09,-0.306,1.294,-0.001
1.1,-0.216,0.347,-0.175
1.11,-0.304,1.495,-0.11
1.12,-0.035,0.892,0.161
1.13,-0.202,0.884,0.005
1.14,-0.382,0.795,-0.154
1.15,-0.16,1.082,-0.06
1.16,-0.218,1.217,0.137
1.17,-0.078,0.619,0.034
1.18,-0.427,0.998,-0.18
1.19,-0.246,1.211,-0.028
1.2,-0.055,0.997,0.082
1.21,-0.198,0.906,-0.016
1.22,-0.339,0.601,-0.184
1.23,-0.281,1.807,0.028
1.24,-0.059,0.662,0.157
1.25,-0.238,1.067,0.069
1.26,-0.322,0.372,-0.228
1.27,-0.317,1.887,0.046
1.28,-0.085,0.797,0.132
1.29,-0.178,0.711,0.026
1.3,-0.402,0.84,-0.218
1.31,-0.189,1.443,0.065
1.32,-0.185,1.168,0.189
1.33,0.019,0.41,0.048
1.34,-0.503,1.044,-0.213
1.35,-0.131,1.546,0.079
1.36,-0.157,0.97,0.111
1.37,-0.046,0.721,-0.022
1.38,-0.411,0.596,-0.19
1.39,-0.166,2.0,0.1
1.4,-0.071,0.657,0.157
1.41,-0.085,0.914,0.051
1.42,-0.406,0.33,-0.191
1.43,-0.111,2.0,0.114
1.44,-0.049,0.691,0.076
1.45,-0.046,0.873,-0.044
1.46,-0.417,0.477,-0.255
1.47,-0.067,1.852,0.115
1.48,-0.158,1.085,0.073
1.49,0.088,0.396,-0.074
1.5,-0.461,0.962,-0.204
1.51,-0.094,1.376,0.1
1.52,-0.136,1.323,0.081
1.53,-0.014,0.463,-0.046
1.54,-0.448,0.759,-0.15
1.55,-0.085,1.679,0.125
1.56,-0.16,1.007,0.102
1.57,-0.085,0.927,-0.072
1.58,-0.366,0.279,-0.156
1.59,-0.163,1.927,0.136
1.6,-0.082,0.834,0.096
1.61,-0.151,0.849,-0.063
1.62,-0.323,0.416,-0.161
1.63,-0.182,1.477,0.172
1.64,-0.209,1.133,0.106
1.65,-0.056,0.542,-0.064
1.66,-0.489,0.908,-0.151
1.67,-0.05,1.149,0.126
1.68,-0.238,1.345,0.046
1.69,-0.031,0.515,-0.076
1.7,-0.493,0.765,-0.138
1.71,-0.066,1.239,0.188
1.72,-0.215,1.073,0.052
1.73,-0.156,0.888,-0.068
1.74,-0.405,0.25,-0.114
1.75,-0.219,1.475,0.228
1.76,-0.123,0.854,0.029
1.77,-0.208,0.895,-0.11
1.78,-0.346,0.447,-0.149
1.79,-0.115,1.223,0.159
1.8,-0.182,1.061,-0.053
1.81,-0.115,0.499,-0.154
1.82,-0.43,0.974,-0.109
1.83,-0.032,0.852,0.216
1.84,-0.319,1.345,-0.054
1.85,-0.124,0.364,-0.123
1.86,-0.459,0.948,-0.086
1.87,-0.071,0.993,0.168
1.88,-0.262,1.009,0.06
1.89,-0.287,0.825,-0.123
1.9,-0.347,0.613,-0.05
1.91,-0.106,1.285,0.146
1.92,-0.142,0.725,0.016
1.93,-0.357,0.91,-0.15
1.94,-0.286,0.856,-0.082
1.95,-0.031,1.121,0.126
1.96,-0.332,1.059,-0.007
1.97,-0.178,0.484,-0.173
1.98,-0.444,1.43,-0.031
1.99,0.051,0.729,0.189
2.0,-0.314,1.307,-0.007
2.01,-0.252,0.389,-0.209
2.02,-0.261,1.529,-0.005
2.03,-0.086,0.901,0.187
2.04,-0.146,0.851,0.021
2.05,-0.412,0.842,-0.162
2.06,-0.174,1.241,0.024
2.07,-0.166,1.166,0.142
2.08,-0.043,0.572,0.054
2.09,-0.511,1.043,-0.168
2.1,-0.204,1.367,0.047
2.11,-0.092,0.985,0.163
2.12,-0.117,0.823,0.024
2.13,-0.428,0.588,-0.242
2.14,-0.188,1.906,0.059
2.15,-0.078,0.703,0.118
2.16,-0.133,0.986,0.032
2.17,-0.346,0.396,-0.219
2.18,-0.228,1.969,0.06
2.19,-0.116,0.833,0.145
2.2,-0.073,0.625,0.007
2.21,-0.499,0.832,-0.19
2.22,-0.167,1.509,0.134
2.23,-0.122,1.008,0.121
2.24,0.01,0.368,-0.011
2.25,-0.527,1.026,-0.19
2.26,-0.068,1.514,0.112
2.27,-0.247,1.23,0.177
2.28,0.081,0.462,0.026
2.29,-0.147,0.643,0.028
2.3,-0.464,0.961,-0.213
2.31,-0.156,1.256,0.056
2.32,-0.186,1.132,0.135
2.33,-0.003,0.532,0.051
2.34,-0.525,0.924,-0.205
2.35,-0.065,1.661,0.065
2.36,-0.142,0.871,0.148
2.37,-0.009,0.808,0.003
2.38,-0.422,0.443,-0.207
2.39,-0.129,2.0,0.134
2.4,0.012,0.67,0.074
2.41,-0.167,0.857,-0.015
2.42,-0.324,0.473,-0.184
2.43,-0.18,1.92,0.122
2.44,-0.098,0.858,0.158
2.45,-0.061,0.496,-0.008
2.46,-0.477,0.89,-0.195
2.47,-0.049,1.481,0.087
2.48,-0.112,1.308,0.095
