"y_mean","y_std","y_var","y_rms","y_max","y_min","y_peak_to_peak","y_skewness","y_kurtosis","y_spectral_energy","y_spectral_centroid","PCA dimension 0","PCA dimension 1","Cluster","y_mean (Right)","y_std (Right)","y_var (Right)","y_rms (Right)","y_max (Right)","y_min (Right)","y_peak_to_peak (Right)","y_skewness (Right)","y_kurtosis (Right)","y_spectral_energy (Right)","y_spectral_centroid (Right)","PCA dimension 0 (Right)","PCA dimension 1 (Right)","Cluster (Right)"
0.5919776744485697,0.3810522889921812,0.14818159794787225,0.3810517935443155,0.22306631677416458,0.6670442826505187,0.30925245103878785,0.7667870218546137,0.015282595195265702,0.14817982891883083,0.8301039434713045,0.39283012588919414,0.0975886827473685,"cluster_1",0.5919776744485697,0.3810522889921812,0.14818159794787225,0.3810517935443155,0.22306631677416458,0.6670442826505187,0.30925245103878785,0.7667870218546137,0.015282595195265702,0.14817982891883083,0.8301039434713045,0.39283012588919414,0.0975886827473685,"Cluster_0"
0.5682532604658207,0.3737981174582065,0.14268330828265094,0.3737975859753616,0.23411467248726472,0.7221855101377276,0.2894145904567475,0.8248144534707391,0.01162602944126443,0.14268094049471738,0.847881265548434,0.42939056549740634,0.13474091557751583,"cluster_1",0.5682532604658207,0.3737981174582065,0.14268330828265094,0.3737975859753616,0.23411467248726472,0.7221855101377276,0.2894145904567475,0.8248144534707391,0.01162602944126443,0.14268094049471738,0.847881265548434,0.42939056549740634,0.13474091557751583,"Cluster_0"
0.5613326032533782,0.3843770364568976,0.150736313584831,0.3843765071922677,0.23411467248726472,0.7003109650777379,0.3001510674732775,0.7848928571257274,0.014064117065836101,0.15073437460260417,0.8760138249647458,0.4027387069791899,0.14906723956628007,"cluster_1",0.5613326032533782,0.3843770364568976,0.150736313584831,0.3843765071922677,0.23411467248726472,0.7003109650777379,0.3001510674732775,0.7848928571257274,0.014064117065836101,0.15073437460260417,0.8760138249647458,0.4027387069791899,0.14906723956628007,"Cluster_0"
0.5649277791619376,0.3640890386617324,0.1354869409675865,0.3640885280815979,0.21559083309385826,0.6891373072258582,0.2935191209588251,0.746096627277585,0.014505966748255529,0.13548829338992902,0.8889155649547651,0.43400615076243143,0.1438423368580967,"cluster_1",0.5649277791619376,0.3640890386617324,0.1354869409675865,0.3640885280815979,0.21559083309385826,0.6891373072258582,0.2935191209588251,0.746096627277585,0.014505966748255529,0.13548829338992902,0.8889155649547651,0.43400615076243143,0.1438423368580967,"Cluster_0"
0.6034295176177564,0.3614579013655404,0.13356880096928053,0.3614575222734296,0.21559083309385826,0.7111305196296686,0.28272439956710693,0.7587930256856482,0.01342883170236403,0.13356705106683747,0.8945445766968771,0.44944691380553525,0.15424304153610446,"cluster_1",0.6034295176177564,0.3614579013655404,0.13356880096928053,0.3614575222734296,0.21559083309385826,0.7111305196296686,0.28272439956710693,0.7587930256856482,0.01342883170236403,0.13356705106683747,0.8945445766968771,0.44944691380553525,0.15424304153610446,"Cluster_0"
0.5826916586026415,0.3536141063658849,0.12793167727953925,0.3536136131050866,0.2005194746637088,0.6839094319330336,0.2862270858643409,0.7839532422690478,0.013609563216421386,0.12793087451717444,0.8892978166277561,0.45553062805661276,0.1538384980614621,"cluster_1",0.5826916586026415,0.3536141063658849,0.12793167727953925,0.3536136131050866,0.2005194746637088,0.6839094319330336,0.2862270858643409,0.7839532422690478,0.013609563216421386,0.12793087451717444,0.8892978166277561,0.45553062805661276,0.1538384980614621,"Cluster_0"
0.6293879939387386,0.3500540822738941,0.12541326886698054,0.35005407920787096,0.2333098738645345,0.7078789763002508,0.295910123227458,0.7819938411619552,0.011839556368240967,0.12541639647827432,0.9112963946061257,0.4600494970557742,0.17546244406689035,"cluster_1",0.6293879939387386,0.3500540822738941,0.12541326886698054,0.35005407920787096,0.2333098738645345,0.7078789763002508,0.295910123227458,0.7819938411619552,0.011839556368240967,0.12541639647827432,0.9112963946061257,0.4600494970557742,0.17546244406689035,"Cluster_0"
0.5876992287809951,0.3543601933455012,0.1284626412664506,0.35435971752826134,0.2333098738645345,0.7078789763002508,0.295910123227458,0.7390365080369268,0.012224275521673898,0.12846053519537243,0.8642496538645874,0.4477937179706386,0.11819622271041898,"cluster_1",0.5876992287809951,0.3543601933455012,0.1284626412664506,0.35435971752826134,0.2333098738645345,0.7078789763002508,0.295910123227458,0.7390365080369268,0.012224275521673898,0.12846053519537243,0.8642496538645874,0.4477937179706386,0.11819622271041898,"Cluster_0"
0.5737252097111869,0.34924844913697933,0.12484682593401358,0.34924794859614133,0.20217334865249106,0.7133153772054057,0.27287582053102927,0.706203477592703,0.008376256982840877,0.12484636930666303,0.8742696938625851,0.4690438881746591,0.11608613228625811,"cluster_1",0.5737252097111869,0.34924844913697933,0.12484682593401358,0.34924794859614133,0.20217334865249106,0.7133153772054057,0.27287582053102927,0.706203477592703,0.008376256982840877,0.12484636930666303,0.8742696938625851,0.4690438881746591,0.11608613228625811,"Cluster_0"
0.5963822984445046,0.34647355013604897,0.12290559665877725,0.3464731382416028,0.2089880402241047,0.7052537322425604,0.2812900449366173,0.6804550680891598,0.0112461121263384,0.12290376101291724,0.8463001345798014,0.4632302529557659,0.08074885550663664,"cluster_1",0.5963822984445046,0.34647355013604897,0.12290559665877725,0.3464731382416028,0.2089880402241047,0.7052537322425604,0.2812900449366173,0.6804550680891598,0.0112461121263384,0.12290376101291724,0.8463001345798014,0.4632302529557659,0.08074885550663664,"Cluster_0"
