mean,std,var,rms,max,min,peak_to_peak,skewness,kurtosis,crest_factor,shape_factor,impulse_factor,clearance_factor,fft_points,frequency_resolution,freq_min,freq_max,nyquist_frequency,dominant_frequency,dominant_amplitude,spectral_energy,spectral_centroid,bandwidth,peak1_freq,peak2_freq,peak3_freq,peak1_amp,peak2_amp,peak3_amp,axis,window_id,start_sample,end_sample,start_time_s,end_time_s,center_time_s,window_duration_s,motor,speed,folder,source_file
0.00043183351715380883,0.1105021095074543,0.012210716205597423,0.11050295328987347,0.227682328297132,-0.31636602099926725,0.5440483492963992,-0.4638368077522958,-0.6971451837571494,2.862964396701415,1.1876314143773785,3.4001464557665795,3.8663803880536625,1000,0.1,0.0,50.0,50.0,22.1,36.08746805621556,6105.560234666986,27.07194937633978,11.584007982611045,22.1,21.900000000000002,22.0,36.08746805621556,30.27084552987071,21.468063875858913,X,1,0,999,0.0,9.99,4.995,10.0,1,,M1_1260,bloco_001.csv
7.86178029067259e-05,0.15417560673109892,0.02377011771090248,0.15417562677563992,0.356089906081901,-0.3991958050218424,0.7552857111037434,0.01395973193092765,-0.6863228001816735,2.589227709790742,1.2035809080100965,3.116345037994844,3.5844817577838577,1000,0.1,0.0,50.0,50.0,43.800000000000004,70.1674099252007,11885.12157770947,31.30249255909677,11.307139365706206,43.800000000000004,43.7,22.1,70.1674099252007,34.424714033929476,31.41518595889418,Y,1,0,999,0.0,9.99,4.995,10.0,1,,M1_1260,bloco_001.csv
0.0004271182146163833,0.1272723970417914,0.016198263048763397,0.12727311373079805,0.26978138278747876,-0.268340251347184,0.5381216341346627,-0.11193315732456806,-1.1597847703590682,2.1197044283689586,1.1568800087344162,2.452243677605862,2.7564054520312715,1000,0.1,0.0,50.0,50.0,22.1,49.92032831579768,8099.317200025705,25.1599696403066,10.040671422132545,22.1,21.900000000000002,22.0,49.92032831579768,39.88933404533631,27.2261414326574,Z,1,0,999,0.0,9.99,4.995,10.0,1,,M1_1260,bloco_001.csv
0.0002016217123531552,0.11192434309734679,0.0125270585777726,0.11192452469895725,0.227682328297132,-0.31636602099926725,0.5440483492963992,-0.4863043099139099,-0.7459265671469746,2.8266014249351974,1.1761896791217636,3.3246194229996497,3.7396533423493015,1000,0.1,0.0,50.0,50.0,21.700000000000003,50.09551774914489,6263.571276427152,27.774580453648184,11.244475542431289,21.700000000000003,21.900000000000002,21.8,50.09551774914489,21.62214310091552,21.441197438077168,X,2,500,1499,5.0,14.99,9.995000000000001,10.0,1,,M1_1260,bloco_001.csv
-2.198150713742128e-05,0.15128901581087167,0.02288836630502218,0.151289017407771,0.37336937227892414,-0.33448211473146033,0.7078514870103845,0.058541542890606424,-0.7394044656870573,2.467921192670433,1.1915250175009697,2.9405898422876517,3.3449748998742126,1000,0.1,0.0,50.0,50.0,43.800000000000004,73.9870655319815,11444.190272719845,31.582573063464697,11.242037802602475,43.800000000000004,21.700000000000003,43.7,73.9870655319815,36.79299741071663,27.197349621413256,Y,2,500,1499,5.0,14.99,9.995000000000001,10.0,1,,M1_1260,bloco_001.csv
4.241008420367098e-05,0.12241611194586532,0.014985704463942632,0.12241611929218257,0.25899671919877715,-0.268340251347184,0.5273369705459612,-0.05995029997677316,-1.2080971115445112,2.1920336382066643,1.1513709402212426,2.523843831018598,2.8266883505520335,1000,0.1,0.0,50.0,50.0,21.700000000000003,63.19004431372225,7492.854643346431,25.659774586671087,9.207029987885942,21.700000000000003,21.8,21.900000000000002,63.19004431372225,27.248947981321365,25.040040188604113,Z,2,500,1499,5.0,14.99,9.995000000000001,10.0,1,,M1_1260,bloco_001.csv
-8.23539773892186e-05,0.11388217885897002,0.012969150661666439,0.11388220863613434,0.22263562000029935,-0.2990380288038109,0.5216736488041103,-0.44525491670839445,-0.7554704271746191,2.6258537868655933,1.1823908504731675,3.1047854922701963,3.5168195402208076,1000,0.1,0.0,50.0,50.0,21.8,49.14176854486435,6484.582287557423,27.68208209105961,10.898004020453822,21.8,21.6,21.5,49.14176854486435,22.088366069590155,19.294569115493843,X,3,1000,1999,10.0,19.99,14.995,10.0,1,,M1_1260,bloco_001.csv
-5.1327367529589524e-05,0.15549859527620719,0.024179813132873682,0.15549860374734026,0.37336937227892414,-0.36015405927755434,0.7335234315564785,0.027870237752790804,-0.7040112140769335,2.4011107706509582,1.1992528184647495,2.8795388591492284,3.3035211897013754,1000,0.1,0.0,50.0,50.0,43.800000000000004,77.64149980347796,12089.959187627586,32.02579963022742,11.419440846404726,43.800000000000004,21.8,43.7,77.64149980347796,34.485914135594854,23.092713924458625,Y,3,1000,1999,10.0,19.99,14.995,10.0,1,,M1_1260,bloco_001.csv
-0.0002557103935257267,0.1197111389520388,0.014330756789194342,0.11971141205833176,0.21661179484131257,-0.22210678073169668,0.43871857557300925,-0.048873565566289835,-1.2436149424120422,1.85535177401024,1.1480507139297103,2.1300379287432105,2.3818922789112293,1000,0.1,0.0,50.0,50.0,21.8,60.145910546495564,7165.443870749892,24.82224924266643,9.478581795610976,21.8,21.6,21.5,60.145910546495564,26.21633798180586,24.54925525402115,Z,3,1000,1999,10.0,19.99,14.995,10.0,1,,M1_1260,bloco_001.csv
7.32419103261511e-05,0.1112681666781969,0.012380604915927008,0.11126819078381942,0.2274599767249141,-0.2881682234133662,0.5156282001382803,-0.40119900594247077,-0.6853910875698603,2.5898526918015774,1.1915482316515225,3.085934395154105,3.521451763081201,1000,0.1,0.0,50.0,50.0,21.700000000000003,46.75627242400556,6190.308221746113,27.754981488834165,10.69254357541633,21.700000000000003,21.5,43.800000000000004,46.75627242400556,23.7107652629684,18.671491493625854,X,4,1500,2499,15.0,24.99,19.994999999999997,10.0,1,,M1_1260,bloco_001.csv
