y_mean,y_std,y_var,y_rms,y_max,y_min,y_peak_to_peak,y_skewness,y_kurtosis,y_crest_factor,y_shape_factor,y_impulse_factor,y_clearance_factor,y_fft_points,y_frequency_resolution,y_freq_min,y_freq_max,y_nyquist_frequency,y_dominant_frequency,y_dominant_amplitude,y_spectral_energy,y_spectral_centroid,y_bandwidth,y_peak1_freq,y_peak2_freq,y_peak3_freq,y_peak1_amp,y_peak2_amp,y_peak3_amp,window_id,start_sample,end_sample,start_time_s,end_time_s,center_time_s,window_duration_s,motor,speed,folder,source_file
7.86178029067259e-05,0.15417560673109892,0.02377011771090248,0.15417562677563992,0.356089906081901,-0.3991958050218424,0.7552857111037434,0.01395973193092765,-0.6863228001816735,2.589227709790742,1.2035809080100965,3.116345037994844,3.5844817577838577,1000,0.1,0.0,50.0,50.0,43.800000000000004,70.1674099252007,11885.12157770947,31.30249255909677,11.307139365706206,43.800000000000004,43.7,22.1,70.1674099252007,34.424714033929476,31.41518595889418,1,0,999,0.0,9.99,4.995,10.0,1,,M1_1260,bloco_001.csv
-2.198150713742128e-05,0.15128901581087167,0.02288836630502218,0.151289017407771,0.37336937227892414,-0.33448211473146033,0.7078514870103845,0.058541542890606424,-0.7394044656870573,2.467921192670433,1.1915250175009697,2.9405898422876517,3.3449748998742126,1000,0.1,0.0,50.0,50.0,43.800000000000004,73.9870655319815,11444.190272719845,31.582573063464697,11.242037802602475,43.800000000000004,21.700000000000003,43.7,73.9870655319815,36.79299741071663,27.197349621413256,2,500,1499,5.0,14.99,9.995000000000001,10.0,1,,M1_1260,bloco_001.csv
-5.1327367529589524e-05,0.15549859527620719,0.024179813132873682,0.15549860374734026,0.37336937227892414,-0.36015405927755434,0.7335234315564785,0.027870237752790804,-0.7040112140769335,2.4011107706509582,1.1992528184647495,2.8795388591492284,3.3035211897013754,1000,0.1,0.0,50.0,50.0,43.800000000000004,77.64149980347796,12089.959187627586,32.02579963022742,11.419440846404726,43.800000000000004,21.8,43.7,77.64149980347796,34.485914135594854,23.092713924458625,3,1000,1999,10.0,19.99,14.995,10.0,1,,M1_1260,bloco_001.csv
-0.00015225438671311186,0.15174652389889812,0.023027007515398854,0.1517466002808535,0.36685908425659175,-0.37326745313163523,0.740126537388227,-0.010895474535178877,-0.7252490267432505,2.459807682286059,1.1981285384268787,2.9471657831886033,3.393766062521939,1000,0.1,0.0,50.0,50.0,43.800000000000004,74.9496486380055,11513.613505071302,31.626397745374046,11.626534322226387,43.800000000000004,21.700000000000003,43.7,74.9496486380055,32.101487373550064,27.270000188539058,4,1500,2499,15.0,24.99,19.994999999999997,10.0,1,,M1_1260,bloco_001.csv
-3.60826404669361e-05,0.14742556447581384,0.021734297061012344,0.1474255688914555,0.3443983593110914,-0.37326745313163523,0.7176658124427266,-0.0019364611974603313,-0.697596966768463,2.531904444652064,1.2012124187566013,3.041355062021095,3.5031533080079886,1000,0.1,0.0,50.0,50.0,43.800000000000004,77.01648610652578,10867.444023362092,32.22906566928271,11.440049990832035,43.800000000000004,21.700000000000003,43.6,77.01648610652578,29.919978094728503,27.008440654396473,5,2000,2999,20.0,29.99,24.994999999999997,10.0,1,,M1_1260,bloco_001.csv
0.00012717738049594095,0.14637857833914913,0.021426688196590424,0.14637863358658781,0.3443983593110914,-0.34745624070766573,0.6918546000187571,0.007818036251979549,-0.7132335301606494,2.373681405504676,1.1980042520106629,2.8436804167132483,3.258239158176937,1000,0.1,0.0,50.0,50.0,43.7,65.69254036368461,10713.388181638293,32.31775036774199,11.610304948911605,43.7,43.800000000000004,21.700000000000003,65.69254036368461,38.48263771295138,37.522561718518986,6,2500,3499,25.0,34.99,29.995,10.0,1,,M1_1260,bloco_001.csv
3.9242044759921404e-05,0.14325736355671848,0.020522672213221814,0.1432573689314441,0.3208269759034954,-0.3794028824282549,0.7002298583317503,0.027148342422449182,-0.7106098853472131,2.6484004645500527,1.192531018998388,3.1582997047056787,3.6004804806793005,1000,0.1,0.0,50.0,50.0,43.800000000000004,54.53282621541095,10261.448354982233,32.23508801848145,11.48363005403766,43.800000000000004,43.7,21.700000000000003,54.53282621541095,52.45217208154596,21.665594922734407,7,3000,3999,30.0,39.99,34.995000000000005,10.0,1,,M1_1260,bloco_001.csv
1.1846377272475984e-05,0.14325044688301988,0.0205206905321849,0.14325044737284962,0.3208269759034954,-0.3794028824282549,0.7002298583317503,-0.04570008032952277,-0.7141629605133666,2.648528429658248,1.1942862332138742,3.1631010418164065,3.6215760057144553,1000,0.1,0.0,50.0,50.0,43.800000000000004,72.02767526215311,10260.345469153499,30.953487976690525,11.337513465586982,43.800000000000004,43.7,21.5,72.02767526215311,30.44088479260736,25.630671975199018,8,3500,4499,35.0,44.99,39.995000000000005,10.0,1,,M1_1260,bloco_001.csv
0.000237249848864896,0.14184075337985652,0.02011879931936528,0.1418409517976246,0.3721106790436594,-0.35127224875780405,0.7233829278014634,0.025642956998388637,-0.7363047361384343,2.623436139758695,1.1926551775483516,3.1288546950506686,3.579748322770556,1000,0.1,0.0,50.0,50.0,43.800000000000004,59.46732303930769,10059.823590566552,32.58167412345422,12.035660283882336,43.800000000000004,43.6,43.7,59.46732303930769,29.41324612150481,21.870770392935462,9,0,999,0.0,9.99,4.995,10.0,1,,M1_1260,bloco_002.csv
6.0475787574657156e-05,0.14355424761728605,0.02060782200896508,0.14355426035574825,0.3721106790436594,-0.35127224875780405,0.7233829278014634,-0.007360669930702762,-0.7307198417894964,2.592125640308516,1.1973737559641513,3.1037432138671885,3.5673931461739743,1000,0.1,0.0,50.0,50.0,43.7,56.92470349865629,10303.91947933082,31.840455911926792,11.526103456799122,43.7,43.800000000000004,21.5,56.92470349865629,49.3058954656153,22.99816464025523,10,500,1499,5.0,14.99,9.995000000000001,10.0,1,,M1_1260,bloco_002.csv
