x_mean,x_std,x_var,x_rms,x_max,x_min,x_peak_to_peak,x_skewness,x_kurtosis,x_crest_factor,x_shape_factor,x_impulse_factor,x_clearance_factor,x_fft_points,x_frequency_resolution,x_freq_min,x_freq_max,x_nyquist_frequency,x_dominant_frequency,x_dominant_amplitude,x_spectral_energy,x_spectral_centroid,x_bandwidth,x_peak1_freq,x_peak2_freq,x_peak3_freq,x_peak1_amp,x_peak2_amp,x_peak3_amp,window_id,start_sample,end_sample,start_time_s,end_time_s,center_time_s,window_duration_s,motor,speed,folder,source_file
0.00043183351715380883,0.1105021095074543,0.012210716205597423,0.11050295328987347,0.227682328297132,-0.31636602099926725,0.5440483492963992,-0.4638368077522958,-0.6971451837571494,2.862964396701415,1.1876314143773785,3.4001464557665795,3.8663803880536625,1000,0.1,0.0,50.0,50.0,22.1,36.08746805621556,6105.560234666986,27.07194937633978,11.584007982611045,22.1,21.900000000000002,22.0,36.08746805621556,30.27084552987071,21.468063875858913,1,0,999,0.0,9.99,4.995,10.0,1,,M1_1260,bloco_001.csv
0.0002016217123531552,0.11192434309734679,0.0125270585777726,0.11192452469895725,0.227682328297132,-0.31636602099926725,0.5440483492963992,-0.4863043099139099,-0.7459265671469746,2.8266014249351974,1.1761896791217636,3.3246194229996497,3.7396533423493015,1000,0.1,0.0,50.0,50.0,21.700000000000003,50.09551774914489,6263.571276427152,27.774580453648184,11.244475542431289,21.700000000000003,21.900000000000002,21.8,50.09551774914489,21.62214310091552,21.441197438077168,2,500,1499,5.0,14.99,9.995000000000001,10.0,1,,M1_1260,bloco_001.csv
-8.23539773892186e-05,0.11388217885897002,0.012969150661666439,0.11388220863613434,0.22263562000029935,-0.2990380288038109,0.5216736488041103,-0.44525491670839445,-0.7554704271746191,2.6258537868655933,1.1823908504731675,3.1047854922701963,3.5168195402208076,1000,0.1,0.0,50.0,50.0,21.8,49.14176854486435,6484.582287557423,27.68208209105961,10.898004020453822,21.8,21.6,21.5,49.14176854486435,22.088366069590155,19.294569115493843,3,1000,1999,10.0,19.99,14.995,10.0,1,,M1_1260,bloco_001.csv
7.32419103261511e-05,0.1112681666781969,0.012380604915927008,0.11126819078381942,0.2274599767249141,-0.2881682234133662,0.5156282001382803,-0.40119900594247077,-0.6853910875698603,2.5898526918015774,1.1915482316515225,3.085934395154105,3.521451763081201,1000,0.1,0.0,50.0,50.0,21.700000000000003,46.75627242400556,6190.308221746113,27.754981488834165,10.69254357541633,21.700000000000003,21.5,43.800000000000004,46.75627242400556,23.7107652629684,18.671491493625854,4,1500,2499,15.0,24.99,19.994999999999997,10.0,1,,M1_1260,bloco_001.csv
-1.4466063569442967e-05,0.10878684072322344,0.011834576714539984,0.1087868416850447,0.25378796327798675,-0.29164814973509157,0.5454361130130783,-0.33062737072995385,-0.6900976075216536,2.6809138423143084,1.1905641329409937,3.191799864164443,3.6376394098623384,1000,0.1,0.0,50.0,50.0,21.700000000000003,43.23962244824549,5917.296971516711,27.866811679624472,10.68966961944782,21.700000000000003,21.6,21.8,43.23962244824549,30.04741609303452,24.76333644881537,5,2000,2999,20.0,29.99,24.994999999999997,10.0,1,,M1_1260,bloco_001.csv
-0.00023891851996064127,0.10830065981393298,0.011729032916133239,0.10830092334875274,0.25378796327798675,-0.29164814973509157,0.5454361130130783,-0.2654533938398565,-0.6545808133525122,2.6929424119120435,1.1995606970374373,3.2303478767148888,3.7140229624454446,1000,0.1,0.0,50.0,50.0,21.700000000000003,58.03086021764686,5864.579768000417,27.88627552134081,11.38446834347027,21.700000000000003,43.400000000000006,43.7,58.03086021764686,17.7530176317408,12.158801690062058,6,2500,3499,25.0,34.99,29.995,10.0,1,,M1_1260,bloco_001.csv
8.088570740474449e-05,0.10666607486968754,0.011377651528105787,0.10666610553781107,0.2757336815248906,-0.27900912443247455,0.5547428059573651,-0.18750546146983177,-0.7190259015580875,2.615724301789299,1.190974760993829,3.115261625149261,3.5597113935882043,1000,0.1,0.0,50.0,50.0,21.700000000000003,32.93214317935254,5688.836505522285,27.61063053869213,10.692429602393497,21.700000000000003,21.5,21.6,32.93214317935254,31.923107964170434,29.46376159890925,7,3000,3999,30.0,39.99,34.995000000000005,10.0,1,,M1_1260,bloco_001.csv
-9.738255565780451e-08,0.1084627343182682,0.011764164735795234,0.10846273431831191,0.2757336815248906,-0.27318382974131955,0.5489175112662101,-0.233665802087476,-0.8293014504687131,2.542197403171479,1.1764998090829173,2.990894759482333,3.367756207677027,1000,0.1,0.0,50.0,50.0,21.5,47.14069352392271,5882.084016878782,27.041234532588696,10.570703837113516,21.5,21.400000000000002,21.6,47.14069352392271,29.08833985419838,17.996099036893785,8,3500,4499,35.0,44.99,39.995000000000005,10.0,1,,M1_1260,bloco_001.csv
-0.0003526846363833838,0.10557419664344435,0.011145910996908657,0.10557478573675344,0.23004781037684502,-0.2599387771644831,0.4899865875413281,-0.2297372204785691,-0.933309456949063,2.4621293365693413,1.160811460648472,2.8580679514885103,3.193213718529321,1000,0.1,0.0,50.0,50.0,21.400000000000002,34.12487495249768,5573.128901378899,26.971666808998524,11.62805350533896,21.400000000000002,21.5,21.6,34.12487495249768,33.74766206827886,32.582328482557216,9,0,999,0.0,9.99,4.995,10.0,1,,M1_1260,bloco_002.csv
-0.00022545957949798734,0.10684527528648609,0.011415912851044993,0.10684551316301018,0.21876151076743602,-0.2599387771644831,0.4787002879319191,-0.24546266978116574,-0.9403657624595523,2.432846915788633,1.1642572491784302,2.832459657848302,3.1707537687676743,1000,0.1,0.0,50.0,50.0,21.5,39.456703779196374,5708.007300606695,26.41664809326304,10.972524787123254,21.5,21.3,21.400000000000002,39.456703779196374,26.79169618108989,25.666726720625483,10,500,1499,5.0,14.99,9.995000000000001,10.0,1,,M1_1260,bloco_002.csv
