z_mean,z_std,z_var,z_rms,z_max,z_min,z_peak_to_peak,z_skewness,z_kurtosis,z_crest_factor,z_shape_factor,z_impulse_factor,z_clearance_factor,z_fft_points,z_frequency_resolution,z_freq_min,z_freq_max,z_nyquist_frequency,z_dominant_frequency,z_dominant_amplitude,z_spectral_energy,z_spectral_centroid,z_bandwidth,z_peak1_freq,z_peak2_freq,z_peak3_freq,z_peak1_amp,z_peak2_amp,z_peak3_amp,window_id,start_sample,end_sample,start_time_s,end_time_s,center_time_s,window_duration_s,motor,speed,folder,source_file
0.0004271182146163833,0.1272723970417914,0.016198263048763397,0.12727311373079805,0.26978138278747876,-0.268340251347184,0.5381216341346627,-0.11193315732456806,-1.1597847703590682,2.1197044283689586,1.1568800087344162,2.452243677605862,2.7564054520312715,1000,0.1,0.0,50.0,50.0,22.1,49.92032831579768,8099.317200025705,25.1599696403066,10.040671422132545,22.1,21.900000000000002,22.0,49.92032831579768,39.88933404533631,27.2261414326574,1,0,999,0.0,9.99,4.995,10.0,1,,M1_1260,bloco_001.csv
4.241008420367098e-05,0.12241611194586532,0.014985704463942632,0.12241611929218257,0.25899671919877715,-0.268340251347184,0.5273369705459612,-0.05995029997677316,-1.2080971115445112,2.1920336382066643,1.1513709402212426,2.523843831018598,2.8266883505520335,1000,0.1,0.0,50.0,50.0,21.700000000000003,63.19004431372225,7492.854643346431,25.659774586671087,9.207029987885942,21.700000000000003,21.8,21.900000000000002,63.19004431372225,27.248947981321365,25.040040188604113,2,500,1499,5.0,14.99,9.995000000000001,10.0,1,,M1_1260,bloco_001.csv
-0.0002557103935257267,0.1197111389520388,0.014330756789194342,0.11971141205833176,0.21661179484131257,-0.22210678073169668,0.43871857557300925,-0.048873565566289835,-1.2436149424120422,1.85535177401024,1.1480507139297103,2.1300379287432105,2.3818922789112293,1000,0.1,0.0,50.0,50.0,21.8,60.145910546495564,7165.443870749892,24.82224924266643,9.478581795610976,21.8,21.6,21.5,60.145910546495564,26.21633798180586,24.54925525402115,3,1000,1999,10.0,19.99,14.995,10.0,1,,M1_1260,bloco_001.csv
0.00016389005363900337,0.11954757412909994,0.014291622480152645,0.1195476864690502,0.21059283675968415,-0.22832347340977302,0.4389163101694572,-0.05612246026139777,-1.2657402936919657,1.9098945379330605,1.1453238189087118,2.1874477058983826,2.4423810013278544,1000,0.1,0.0,50.0,50.0,21.700000000000003,59.41605371885563,7145.842421283679,25.480699404398642,9.315803015235876,21.700000000000003,21.5,21.8,59.41605371885563,27.899619699933538,22.024992834560575,4,1500,2499,15.0,24.99,19.994999999999997,10.0,1,,M1_1260,bloco_001.csv
0.0002099497958434286,0.12015971329115176,0.014438356698211792,0.12015989670904584,0.21538240267260092,-0.25405404500052764,0.46943644767312853,-0.02682155362698311,-1.2600099175103878,2.1142997951778533,1.1466037726484613,2.4242641216607956,2.7146240010009617,1000,0.1,0.0,50.0,50.0,21.700000000000003,55.310316401109986,7219.231559594398,25.421579826812724,9.5930399070358,21.700000000000003,21.6,21.8,55.310316401109986,38.70051299320569,31.251684967895876,5,2000,2999,20.0,29.99,24.994999999999997,10.0,1,,M1_1260,bloco_001.csv
-0.00014358587425813412,0.11959952527089054,0.014304046445022386,0.11959961146226886,0.23801122303006556,-0.25405404500052764,0.4920652680305932,-0.0034571829026196176,-1.2374932338947027,2.1242046014562206,1.151057905361111,2.445082499110631,2.7464531396803697,1000,0.1,0.0,50.0,50.0,21.700000000000003,73.02447848898177,7152.044627101977,25.484017981848037,9.59275916876952,21.700000000000003,21.6,21.8,73.02447848898177,12.888391407653161,12.10404042358621,6,2500,3499,25.0,34.99,29.995,10.0,1,,M1_1260,bloco_001.csv
-0.0001177041043896416,0.11819989274791501,0.013971214645618612,0.11819995135309828,0.23801122303006556,-0.24144877575931706,0.4794599987893826,0.02433587565264828,-1.2264256453342592,2.0427146796197744,1.1524503183029797,2.354127182729978,2.644788267791672,1000,0.1,0.0,50.0,50.0,21.700000000000003,42.299910549643556,6985.621456435332,25.29700248605424,9.211358723109571,21.700000000000003,21.6,21.5,42.299910549643556,38.1815702349587,37.7777628838585,7,3000,3999,30.0,39.99,34.995000000000005,10.0,1,,M1_1260,bloco_001.csv
-1.5429041988888865e-05,0.11494847315531423,0.013213151480737996,0.11494847419080137,0.22366612640502787,-0.22374930831627726,0.4474154347213051,0.05425558820458398,-1.248381086577463,1.9465182977973148,1.1457954603077039,2.230311829022043,2.489490986665544,1000,0.1,0.0,50.0,50.0,21.5,55.87529043975475,6606.576140276965,25.2296673837708,8.982682844488393,21.5,21.400000000000002,21.6,55.87529043975475,33.811817836338136,22.849576717127878,8,3500,4499,35.0,44.99,39.995000000000005,10.0,1,,M1_1260,bloco_001.csv
-0.0005015019135543058,0.11505570886665065,0.013237816142807474,0.11505680182838723,0.21746530225891647,-0.27434212973153654,0.491807431990453,0.051879136260488325,-1.223806078343201,2.384406009657135,1.1522381110258975,2.7474034764861353,3.0903930253088765,1000,0.1,0.0,50.0,50.0,21.400000000000002,41.18646508269951,6619.160273937796,23.766359036950018,10.223233570706073,21.400000000000002,21.6,21.5,41.18646508269951,40.577788300564094,39.55925607950826,9,0,999,0.0,9.99,4.995,10.0,1,,M1_1260,bloco_002.csv
-0.00021463936448045507,0.11440373534544493,0.013088214660990605,0.11440393669383668,0.21746530225891647,-0.2161033788170306,0.43356868107594704,0.06822279201442011,-1.2626113780881103,1.9008550627142191,1.144528873575332,2.1755835037582725,2.42931684340999,1000,0.1,0.0,50.0,50.0,21.5,47.59199480526779,6544.163096203827,24.733582924216982,9.613975836626254,21.5,21.3,21.400000000000002,47.59199480526779,32.17787834392511,30.605096809160944,10,500,1499,5.0,14.99,9.995000000000001,10.0,1,,M1_1260,bloco_002.csv
