t,ax,ay,az
0.0,-0.362,1.819,-0.014
0.01,-0.022,0.578,0.156
0.02,-0.28,1.195,-0.003
0.03,-0.319,0.37,-0.179
0.04,-0.304,1.868,0.027
0.05,-0.151,0.691,0.107
0.06,-0.099,0.779,-0.005
0.07,-0.468,0.751,-0.192
0.08,-0.138,1.523,0.086
0.09,-0.247,1.055,0.144
0.1,-0.051,0.437,0.028
0.11,-0.527,0.819,-0.208
0.12,-0.027,1.649,0.074
0.13,-0.116,0.922,0.11
0.14,-0.06,0.692,-0.025
0.15,-0.497,0.386,-0.157
0.16,-0.101,2.0,0.161
0.17,-0.076,0.595,0.097
0.18,-0.116,0.98,-0.018
0.19,-0.488,0.239,-0.16
0.2,-0.147,1.973,0.176
0.21,-0.038,0.838,0.068
0.22,-0.029,0.686,-0.05
0.23,-0.428,0.695,-0.15
0.24,-0.093,1.502,0.163
0.25,-0.134,1.224,0.076
0.26,-0.033,0.475,-0.042
0.27,-0.492,0.954,-0.19
0.28,-0.008,1.426,0.128
0.29,-0.269,1.225,0.03
0.3,0.006,0.741,-0.085
0.31,-0.352,0.463,-0.128
0.32,-0.185,1.511,0.19
0.33,-0.095,0.875,0.033
0.34,-0.284,1.079,-0.151
0.35,-0.249,0.221,-0.09
0.36,-0.235,1.506,0.224
0.37,-0.305,0.956,0.088
0.38,-0.188,0.729,-0.066
0.39,-0.39,0.664,-0.131
0.4,-0.039,0.995,0.204
0.41,-0.285,1.512,-0.085
0.42,-0.132,0.295,-0.109
0.43,-0.144,1.715,-0.067
0.44,0.008,0.688,0.144
0.45,-0.265,1.163,-0.027
0.46,-0.279,0.518,-0.24
0.47,-0.33,1.651,-0.007
0.48,-0.149,0.804,0.134
0.49,-0.161,0.868,0.017
0.5,-0.404,0.791,-0.189
0.51,-0.154,1.434,0.096
0.52,-0.237,1.056,0.188
0.53,-0.022,0.526,0.05
0.54,-0.485,0.869,-0.216
0.55,-0.068,1.584,0.03
0.56,-0.073,0.894,0.118
0.57,0.032,0.787,-0.05
0.58,-0.455,0.374,-0.231
0.59,-0.058,1.982,0.059
0.6,-0.104,0.519,0.041
0.61,-0.104,0.998,-0.026
0.62,-0.433,0.203,-0.225
0.63,-0.063,1.983,0.069
0.64,-0.183,0.748,0.11
0.65,-0.081,0.648,-0.027
0.66,-0.578,0.645,-0.138
0.67,0.024,1.647,0.138
0.68,-0.298,1.132,0.113
0.69,0.177,0.443,0.008
0.7,-0.649,0.92,-0.126
0.71,0.001,1.531,0.183
0.72,-0.167,1.075,0.076
0.73,0.01,0.77,-0.027
0.74,-0.388,0.435,-0.16
0.75,-0.115,1.864,0.147
0.76,-0.104,0.759,0.093
0.77,-0.165,1.037,-0.047
0.78,-0.363,0.221,-0.115
0.79,-0.188,1.643,0.155
0.8,-0.21,0.917,0.078
0.81,-0.076,0.816,-0.097
0.82,-0.449,0.662,-0.092
0.83,-0.142,1.075,0.273
0.84,-0.346,1.399,0.057
0.85,-0.143,0.378,-0.071
0.86,-0.417,0.962,-0.09
0.87,-0.036,0.948,0.214
0.88,-0.313,1.287,-0.027
0.89,-0.163,0.734,-0.168
0.9,-0.348,0.541,-0.078
0.91,-0.013,1.272,0.194
0.92,-0.143,0.844,0.008
0.93,-0.194,1.049,-0.122
0.94,-0.292,0.196,-0.091
0.95,-0.208,1.658,0.191
0.96,-0.189,0.954,0.065
0.97,-0.189,0.882,-0.134
0.98,-0.368,0.615,-0.115
0.99,-0.104,1.183,0.274
1.0,-0.312,1.355,0.046
1.01,-0.102,0.433,-0.096
1.02,-0.408,1.213,-0.084
1.03,0.041,0.835,0.162
1.04,-0.269,1.232,-0.004
1.05,-0.192,0.549,-0.177
1.06,-0.248,1.054,-0.096
1.07,-0.056,1.067,0.149
1.08,-0.099,0.822,-0.001
1.09,-0.344,0.92,-0.131
1.1,-0.284,0.645,-0.057
1.11,-0.212,1.202,0.207
1.12,-0.08,0.829,-0.019
1.13,-0.33,0.834,-0.139
1.14,-0.249,1.48,-0.072
1.15,-0.09,0.756,0.126
1.16,-0.138,0.814,0.035
1.17,-0.355,0.515,-0.19
1.18,-0.323,1.874,0.068
1.19,-0.133,0.593,0.154
1.2,-0.267,1.052,0.037
1.21,-0.386,0.214,-0.182
1.22,-0.389,2.0,0.106
1.23,-0.181,0.541,0.14
1.24,-0.16,0.871,0.015
1.25,-0.479,0.574,-0.194
1.26,-0.033,1.598,0.086
1.27,-0.124,1.066,0.115
1.28,0.04,0.375,-0.019
1.29,-0.51,0.893,-0.205
1.3,0.011,1.555,0.121
1.31,-0.142,1.077,0.08
1.32,0.07,0.629,-0.08
1.33,-0.431,0.516,-0.216
1.34,0.029,2.0,0.123
1.35,-0.248,0.564,0.085
1.36,-0.064,0.992,-0.031
1.37,-0.462,0.219,-0.155
1.38,-0.074,2.0,0.156
1.39,-0.173,0.718,0.101
1.4,-0.042,0.732,-0.042
1.41,-0.434,0.615,-0.17
1.42,-0.136,1.408,0.095
1.43,-0.272,1.268,0.073
1.44,0.04,0.532,-0.088
1.45,-0.456,0.965,-0.147
1.46,0.082,1.397,0.175
1.47,-0.222,1.291,0.004
1.48,-0.074,0.679,-0.069
1.49,-0.437,0.575,-0.123
1.5,-0.177,1.544,0.166
1.51,-0.14,1.029,0.032
1.52,-0.222,0.918,-0.127
1.53,-0.306,0.217,-0.054
1.54,-0.143,1.486,0.148
1.55,-0.25,0.882,0.025
1.56,-0.2,0.954,-0.106
1.57,-0.38,0.553,-0.048
1.58,-0.089,1.189,0.298
1.59,-0.328,1.396,0.013
1.6,-0.051,0.448,-0.124
1.61,-0.438,0.985,-0.083
1.62,0.131,0.853,0.164
1.63,-0.3,1.448,-0.043
1.64,-0.196,0.518,-0.141
1.65,-0.188,1.213,-0.071
1.66,-0.067,1.033,0.134
1.67,-0.16,0.736,-0.028
1.68,-0.388,0.901,-0.176
1.69,-0.259,0.769,-0.051
1.7,-0.165,1.176,0.148
1.71,-0.246,0.758,-0.031
1.72,-0.359,0.8,-0.101
1.73,-0.319,1.148,-0.012
1.74,-0.156,0.799,0.171
1.75,-0.191,1.207,-0.048
1.76,-0.255,0.413,-0.166
1.77,-0.302,1.894,0.012
1.78,-0.106,0.582,0.16
1.79,-0.215,1.144,0.022
1.8,-0.337,0.404,-0.169
1.81,-0.256,1.741,0.053
1.82,-0.129,0.871,0.137
1.83,-0.094,0.603,0.012
1.84,-0.538,0.812,-0.196
1.85,-0.115,1.493,0.076
1.86,-0.313,1.01,0.087
1.87,0.022,0.528,0.025
1.88,-0.57,0.877,-0.204
1.89,-0.034,1.653,0.068
1.9,-0.093,0.833,0.134
1.91,-0.028,0.756,-0.011
1.92,-0.469,0.326,-0.132
1.93,-0.14,2.0,0.117
1.94,-0.041,0.635,0.124
1.95,-0.099,0.964,-0.036
1.96,-0.374,0.212,-0.158
1.97,-0.074,2.0,0.206
1.98,-0.088,0.687,0.099
1.99,-0.043,0.786,-0.044
2.0,-0.481,0.555,-0.181
2.01,-0.138,1.48,0.153
2.02,-0.318,1.301,0.075
2.03,0.049,0.472,-0.041
2.04,-0.426,0.959,-0.138
2.05,-0.035,1.294,0.135
2.06,-0.217,1.276,0.033
2.07,-0.058,0.709,-0.094
2.08,-0.446,0.633,-0.087
2.09,-0.113,1.645,0.186
2.1,-0.136,0.944,0.006
2.11,-0.075,1.021,-0.1
2.12,-0.379,0.255,-0.141
2.13,-0.214,1.55,0.2
2.14,-0.285,0.929,0.014
2.15,-0.207,0.927,-0.073
2.16,-0.299,0.574,-0.08
2.17,-0.035,1.049,0.222
2.18,-0.226,1.232,-0.054
2.19,-0.188,0.501,-0.166
2.2,-0.332,1.021,-0.1
2.21,0.081,0.823,0.186
2.22,-0.291,1.372,-0.044
2.23,-0.224,0.478,-0.148
2.24,-0.241,1.145,-0.08
2.25,-0.033,0.947,0.169
2.26,-0.157,0.845,-0.06
2.27,-0.377,0.885,-0.151
2.28,-0.158,1.174,-0.047
2.29,-0.14,1.13,0.166
2.3,-0.161,0.648,0.024
2.31,-0.399,0.874,-0.158
2.32,-0.294,1.364,-0.011
2.33,-0.169,0.79,0.112
2.34,-0.222,1.104,-0.012
2.35,-0.234,0.384,-0.159
2.36,-0.37,1.901,0.086
2.37,-0.062,0.493,0.127
2.38,-0.198,1.085,0.015
2.39,-0.343,0.359,-0.213
2.4,-0.148,1.882,0.043
2.41,-0.083,0.846,0.06
2.42,-0.1,0.581,0.002
2.43,-0.469,0.815,-0.223
2.44,-0.136,1.502,0.061
2.45,-0.257,1.06,0.135
2.46,-0.028,0.456,0.035
2.47,-0.621,0.811,-0.116
2.48,-0.005,1.634,0.092
2.49,-0.09,0.964,0.056
2.5,-0.043,0.717,-0.071
2.51,-0.313,0.321,-0.233
2.52,-0.147,1.993,0.148
2.53,0.002,0.568,0.137
2.54,-0.204,0.991,-0.01
2.55,-0.388,0.287,-0.174
2.56,-0.173,1.918,0.208
2.57,-0.112,0.902,0.067
2.58,-0.049,0.59,-0.037
2.59,-0.402,0.802,-0.129
2.6,-0.076,1.488,0.175
2.61,-0.191,1.289,0.057
2.62,0.004,0.496,-0.046
2.63,-0.427,0.872,-0.201
2.64,-0.011,1.491,0.182
2.65,-0.187,1.209,0.012
2.66,-0.087,0.782,-0.112
2.67,-0.335,0.359,-0.121
2.68,-0.181,1.748,0.177
2.69,-0.113,0.916,0.034
2.7,-0.214,1.033,-0.114
2.71,-0.343,0.249,-0.128
2.72,-0.153,1.548,0.205
