t,ax,ay,az
0.0,-0.114,0.604,0.126
0.01,-0.18,1.106,-0.148
0.02,-0.413,0.558,-0.144
0.03,-0.073,1.221,0.191
0.04,-0.274,1.104,0.051
0.05,-0.013,0.595,-0.097
0.06,-0.528,1.01,-0.183
0.07,0.102,0.825,0.2
0.08,-0.33,1.245,0.016
0.09,-0.038,0.497,-0.155
0.1,-0.451,0.827,-0.195
0.11,0.037,1.181,0.15
0.12,-0.199,0.957,0.059
0.13,-0.195,0.942,-0.171
0.14,-0.302,0.372,-0.126
0.15,-0.152,1.508,0.209
0.16,-0.077,0.831,0.081
0.17,-0.208,0.94,-0.089
0.18,-0.283,0.575,-0.182
0.19,-0.112,1.266,0.185
0.2,-0.337,0.975,0.042
0.21,-0.012,0.68,-0.099
0.22,-0.467,0.888,-0.151
0.23,0.037,0.893,0.191
0.24,-0.254,1.281,0.013
0.25,-0.164,0.531,-0.158
0.26,-0.439,0.873,-0.157
0.27,0.009,1.164,0.22
0.28,-0.203,0.894,0.046
0.29,-0.198,0.893,-0.161
0.3,-0.369,0.464,-0.132
0.31,-0.02,1.447,0.192
0.32,-0.308,0.59,0.101
0.33,-0.325,0.936,-0.121
0.34,-0.394,0.505,-0.151
0.35,-0.026,1.171,0.206
0.36,-0.229,1.046,0.027
0.37,-0.293,0.707,-0.118
0.38,-0.438,0.837,-0.134
0.39,0.113,0.915,0.189
0.4,-0.245,1.284,0.016
0.41,-0.205,0.302,-0.146
0.42,-0.367,1.348,-0.112
0.43,0.115,0.942,0.203
0.44,-0.299,0.929,0.052
0.45,-0.062,1.162,0.185
0.46,0.036,0.489,0.073
0.47,-0.524,0.998,-0.195
0.48,-0.234,1.532,-0.088
0.49,-0.123,1.003,0.117
0.5,0.018,0.658,0.056
0.51,-0.521,0.708,-0.195
0.52,-0.325,1.752,-0.019
0.53,-0.166,0.522,0.151
0.54,-0.11,1.129,0.035
0.55,-0.38,0.281,-0.224
0.56,-0.347,2.0,-0.026
0.57,-0.012,0.712,0.12
0.58,-0.054,0.815,0.072
0.59,-0.462,0.69,-0.215
0.6,-0.305,1.738,-0.056
0.61,-0.146,1.083,0.159
0.62,0.106,0.509,0.103
0.63,-0.598,1.017,-0.234
0.64,-0.213,1.435,0.03
0.65,-0.289,0.813,0.064
0.66,-0.064,0.743,0.057
0.67,-0.487,0.605,-0.233
0.68,-0.346,1.949,0.02
0.69,-0.084,0.656,0.121
0.7,-0.09,0.959,0.068
0.71,-0.321,0.4,-0.212
0.72,-0.394,2.0,-0.028
0.73,-0.035,0.674,0.141
0.74,-0.034,0.912,0.113
0.75,-0.558,0.64,-0.217
0.76,-0.244,1.655,0.057
0.77,-0.259,0.84,0.108
0.78,-0.01,0.555,0.082
0.79,-0.541,0.924,-0.232
0.8,-0.277,1.481,0.034
0.81,-0.131,1.046,0.15
0.82,0.041,0.603,0.095
0.83,-0.485,0.689,-0.192
0.84,-0.227,2.0,-0.006
0.85,-0.081,0.694,0.145
0.86,-0.011,1.058,0.098
0.87,-0.472,0.351,-0.237
0.88,-0.332,2.0,0.069
0.89,-0.169,0.492,0.067
0.9,-0.042,0.928,0.075
0.91,-0.478,0.576,-0.266
0.92,-0.219,1.696,0.017
0.93,-0.076,1.133,0.079
0.94,0.113,0.458,0.075
0.95,-0.509,0.96,-0.212
0.96,-0.177,1.649,0.047
0.97,-0.163,1.052,0.133
0.98,0.076,0.649,0.117
0.99,-0.534,0.721,-0.233
1.0,-0.288,1.997,0.045
1.01,-0.195,0.454,0.064
1.02,-0.048,1.104,0.066
1.03,-0.433,0.25,-0.295
1.04,-0.304,2.0,-0.006
1.05,-0.042,0.742,0.079
1.06,-0.002,0.831,0.095
1.07,-0.441,0.645,-0.203
1.08,-0.305,1.82,0.113
1.09,-0.114,1.069,0.136
1.1,0.13,0.511,0.092
1.11,-0.519,0.896,-0.263
1.12,-0.02,1.715,0.057
1.13,-0.235,1.104,0.058
1.14,0.172,0.513,0.075
1.15,-0.533,0.864,-0.236
1.16,-0.047,1.776,0.039
1.17,-0.121,0.922,0.054
1.18,0.066,0.814,0.005
1.19,-0.376,0.43,-0.218
1.2,-0.242,2.0,0.098
1.21,-0.027,0.641,0.107
1.22,-0.053,1.01,0.053
1.23,-0.394,0.411,-0.3
1.24,-0.133,2.0,0.056
1.25,-0.188,0.841,0.055
1.26,0.095,0.573,0.016
1.27,-0.559,0.906,-0.25
1.28,0.022,1.573,0.027
1.29,-0.222,1.251,0.111
1.3,0.12,0.477,0.045
1.31,-0.499,0.887,-0.201
1.32,0.047,1.902,-0.009
1.33,-0.163,0.852,0.072
1.34,0.078,0.906,0.024
1.35,-0.542,0.417,-0.212
1.36,-0.201,2.0,0.176
1.37,-0.181,0.565,0.1
1.38,0.011,0.979,0.054
1.39,-0.404,0.425,-0.262
1.4,-0.167,1.85,-0.014
1.41,-0.016,1.024,0.083
1.42,0.063,0.583,0.013
1.43,-0.421,0.906,-0.209
1.44,0.006,1.672,0.042
1.45,-0.252,1.16,0.138
1.46,0.154,0.536,0.065
1.47,-0.566,0.888,-0.215
1.48,0.001,1.872,0.044
1.49,-0.222,0.811,0.092
1.5,0.128,0.895,0.039
1.51,-0.415,0.37,-0.221
1.52,-0.255,2.0,0.097
1.53,-0.13,0.66,0.112
1.54,-0.042,0.953,0.07
1.55,-0.355,0.403,-0.255
1.56,-0.173,2.0,0.056
1.57,-0.172,0.875,0.107
1.58,0.09,0.595,0.083
1.59,-0.534,0.87,-0.214
1.6,-0.049,1.639,0.039
1.61,-0.261,1.137,0.068
1.62,0.159,0.492,0.044
1.63,-0.5,0.876,-0.212
1.64,-0.184,1.838,0.058
1.65,-0.228,0.748,0.12
1.66,0.046,0.893,0.092
1.67,-0.434,0.376,-0.223
1.68,-0.245,2.0,0.113
1.69,-0.111,0.648,0.145
1.7,-0.043,0.965,0.101
1.71,-0.395,0.414,-0.209
1.72,-0.265,2.0,0.109
1.73,-0.187,0.871,0.124
1.74,0.047,0.598,0.07
1.75,-0.506,0.934,-0.236
1.76,-0.133,1.624,0.048
1.77,-0.239,1.016,0.074
1.78,0.1,0.544,0.117
1.79,-0.61,0.828,-0.149
1.8,-0.086,1.762,0.083
1.81,-0.214,0.858,0.134
1.82,0.085,0.867,0.067
1.83,-0.436,0.414,-0.236
1.84,-0.205,2.0,0.11
1.85,-0.075,0.681,0.136
1.86,-0.015,0.963,0.061
1.87,-0.402,0.508,-0.268
1.88,-0.142,1.986,0.074
1.89,-0.203,0.866,0.096
1.9,0.084,0.649,0.062
1.91,-0.447,0.706,-0.228
1.92,-0.04,1.699,0.124
1.93,-0.242,1.154,0.135
1.94,0.124,0.514,0.005
1.95,-0.543,1.007,-0.174
1.96,0.096,1.625,0.102
1.97,-0.303,1.043,0.09
1.98,0.066,0.721,0.053
1.99,-0.575,0.622,-0.187
2.0,0.023,2.0,0.173
2.01,-0.258,0.69,0.1
2.02,-0.006,1.021,0.055
2.03,-0.408,0.319,-0.247
2.04,-0.136,2.0,0.151
2.05,-0.212,0.771,0.162
2.06,0.006,0.856,0.045
2.07,-0.534,0.69,-0.221
2.08,-0.001,1.789,0.116
2.09,-0.316,1.085,0.086
2.1,0.208,0.509,-0.008
2.11,-0.554,0.984,-0.216
2.12,0.075,1.619,0.096
2.13,-0.261,1.093,0.05
2.14,0.061,0.7,-0.006
2.15,-0.458,0.598,-0.189
2.16,0.052,2.0,0.092
2.17,-0.182,0.692,0.054
2.18,0.005,1.031,-0.003
2.19,-0.435,0.299,-0.23
2.2,0.012,2.0,0.084
2.21,-0.224,0.718,0.064
2.22,0.035,0.893,-0.021
2.23,-0.469,0.686,-0.241
2.24,0.0,1.747,0.057
2.25,-0.24,1.169,0.028
2.26,0.142,0.51,-0.031
2.27,-0.481,1.002,-0.232
2.28,0.114,1.458,0.085
2.29,-0.238,1.137,0.02
2.3,0.103,0.7,-0.037
2.31,-0.448,0.647,-0.204
2.32,0.029,2.0,0.099
2.33,-0.185,0.678,0.041
2.34,-0.046,1.067,-0.003
2.35,-0.421,0.318,-0.231
2.36,-0.039,2.0,0.139
2.37,-0.169,0.858,0.1
2.38,-0.007,0.779,-0.019
2.39,-0.391,0.726,-0.251
2.4,0.006,1.509,0.109
2.41,-0.217,1.132,0.046
2.42,0.138,0.629,-0.01
2.43,-0.6,1.019,-0.222
2.44,0.134,1.625,0.119
2.45,-0.337,1.118,0.026
2.46,0.123,0.759,-0.016
2.47,-0.48,0.681,-0.207
2.48,-0.08,1.667,0.149
2.49,-0.211,0.771,0.126
2.5,-0.059,1.125,0.044
2.51,-0.467,0.313,-0.167
2.52,-0.038,1.853,0.154
2.53,-0.215,0.775,0.045
2.54,-0.053,0.933,-0.018
2.55,-0.435,0.725,-0.232
2.56,0.091,1.564,0.212
2.57,-0.309,1.276,0.021
2.58,0.091,0.531,-0.033
2.59,-0.533,1.014,-0.174
2.6,0.048,1.336,0.192
2.61,-0.38,1.084,0.077
2.62,0.104,0.832,-0.024
2.63,-0.495,0.604,-0.17
2.64,0.012,1.62,0.142
2.65,-0.194,0.675,0.133
2.66,-0.069,1.166,-0.067
2.67,-0.387,0.28,-0.162
2.68,-0.031,1.794,0.171
2.69,-0.216,0.835,0.079
2.7,-0.053,0.947,-0.05
2.71,-0.358,0.494,-0.141
2.72,-0.089,1.401,0.165
2.73,-0.22,1.064,0.081
2.74,-0.001,0.647,-0.106
2.75,-0.368,0.946,-0.171
2.76,-0.023,0.967,0.225
2.77,-0.27,1.235,0.011
2.78,-0.032,0.567,-0.159
2.79,-0.332,0.816,-0.198
2.8,-0.01,1.2,0.172
2.81,-0.172,0.992,0.064
2.82,-0.203,0.94,-0.147
2.83,-0.206,0.364,-0.207
2.84,-0.082,1.528,0.227
2.85,-0.095,0.713,0.081
2.86,-0.226,1.0,-0.127
2.87,-0.333,0.518,-0.167
2.88,-0.052,1.245,0.155
