t,ax,ay,az
0.0,-0.214,0.916,0.024
0.01,-0.205,1.043,-0.096
0.02,-0.333,0.211,-0.098
0.03,-0.182,1.379,0.18
0.04,-0.214,0.861,-0.023
0.05,-0.228,0.875,-0.121
0.06,-0.344,0.735,-0.114
0.07,-0.039,0.97,0.15
0.08,-0.351,1.245,0.016
0.09,-0.207,0.392,-0.164
0.1,-0.293,1.29,-0.036
0.11,-0.069,0.771,0.132
0.12,-0.311,1.259,0.031
0.13,-0.373,0.463,-0.222
0.14,-0.21,1.21,-0.023
0.15,-0.149,1.025,0.159
0.16,-0.093,0.829,-0.003
0.17,-0.534,0.901,-0.206
0.18,-0.088,1.141,0.041
0.19,-0.219,1.164,0.147
0.2,-0.028,0.655,0.041
0.21,-0.492,0.956,-0.202
0.22,-0.138,1.571,0.007
0.23,-0.156,0.799,0.115
0.24,-0.053,0.933,-0.009
0.25,-0.487,0.352,-0.195
0.26,-0.142,2.0,0.094
0.27,-0.118,0.656,0.128
0.28,-0.13,0.867,-0.002
0.29,-0.466,0.386,-0.175
0.3,-0.049,2.0,0.117
0.31,-0.155,0.861,0.092
0.32,-0.008,0.484,-0.038
0.33,-0.496,0.876,-0.21
0.34,-0.003,1.546,0.189
0.35,-0.104,1.282,0.117
0.36,-0.036,0.288,-0.025
0.37,-0.399,0.865,-0.165
0.38,-0.101,1.564,0.155
0.39,-0.095,1.026,0.093
0.4,-0.031,0.882,-0.073
0.41,-0.332,0.31,-0.18
0.42,-0.231,1.828,0.222
0.43,-0.035,0.843,0.072
0.44,-0.156,0.968,-0.122
0.45,-0.279,0.242,-0.133
0.46,-0.232,1.438,0.212
0.47,-0.196,1.051,0.041
0.48,-0.041,0.788,-0.109
0.49,-0.439,0.77,-0.131
0.5,0.004,0.93,0.22
0.51,-0.285,1.393,-0.025
0.52,-0.068,0.458,-0.114
0.53,-0.455,0.97,-0.091
0.54,-0.022,0.924,0.154
0.55,-0.35,1.131,-0.029
0.56,-0.171,0.729,-0.132
0.57,-0.257,0.753,-0.032
0.58,-0.163,1.201,0.131
0.59,-0.167,0.725,-0.053
0.6,-0.458,0.971,-0.169
0.61,-0.215,0.927,0.011
0.62,-0.173,1.076,0.124
0.63,-0.168,0.914,-0.014
0.64,-0.411,0.678,-0.208
0.65,-0.184,1.635,0.074
0.66,-0.084,0.739,0.124
0.67,-0.21,1.097,0.008
0.68,-0.38,0.356,-0.235
0.69,-0.237,2.0,0.04
0.7,-0.12,0.689,0.123
0.71,-0.153,0.838,0.011
0.72,-0.459,0.649,-0.178
0.73,-0.141,1.707,0.08
0.74,-0.106,0.962,0.104
0.75,-0.09,0.426,-0.036
0.76,-0.461,0.873,-0.156
0.77,-0.069,1.551,0.144
0.78,-0.181,1.29,0.134
0.79,0.018,0.342,0.005
0.8,-0.474,0.844,-0.149
0.81,-0.036,1.511,0.162
0.82,-0.142,1.088,0.055
0.83,-0.083,0.859,-0.072
0.84,-0.392,0.296,-0.144
0.85,-0.215,1.687,0.203
0.86,-0.073,0.822,0.022
0.87,-0.125,1.086,-0.129
0.88,-0.344,0.237,-0.148
0.89,-0.164,1.362,0.157
0.9,-0.202,1.029,-0.028
0.91,-0.145,0.685,-0.072
0.92,-0.461,0.849,-0.085
0.93,-0.038,0.896,0.193
0.94,-0.305,1.35,-0.015
0.95,-0.158,0.404,-0.13
0.96,-0.422,1.005,-0.041
0.97,-0.043,0.862,0.139
0.98,-0.298,1.138,0.002
0.99,-0.225,0.651,-0.165
1.0,-0.33,0.794,-0.038
1.01,-0.146,1.16,0.174
1.02,-0.24,0.74,0.01
1.03,-0.384,0.93,-0.127
1.04,-0.224,1.005,-0.007
1.05,-0.119,1.141,0.15
1.06,-0.232,0.905,-0.005
1.07,-0.413,0.707,-0.193
1.08,-0.212,1.593,0.031
1.09,-0.133,0.696,0.16
