t,ax,ay,az
0.0,-0.168,1.024,0.075
0.01,-0.388,0.406,-0.179
0.02,-0.289,1.887,0.102
0.03,-0.107,0.794,0.145
0.04,-0.049,0.713,0.032
0.05,-0.459,0.843,-0.203
0.06,-0.135,1.496,0.112
0.07,-0.272,1.069,0.185
0.08,0.078,0.442,0.045
0.09,-0.577,1.074,-0.154
0.1,-0.081,1.589,0.112
0.11,-0.235,1.056,0.116
0.12,0.038,0.559,-0.008
0.13,-0.424,0.735,-0.184
0.14,-0.127,1.967,0.067
0.15,-0.118,0.629,0.092
0.16,-0.037,0.937,-0.04
0.17,-0.361,0.266,-0.207
0.18,-0.146,1.967,0.077
0.19,-0.145,0.846,0.091
0.2,-0.071,0.675,-0.064
0.21,-0.429,0.731,-0.239
0.22,-0.073,1.676,0.137
0.23,-0.21,1.261,0.031
0.24,0.06,0.355,-0.086
0.25,-0.558,1.009,-0.165
0.26,-0.017,1.375,0.232
0.27,-0.267,1.238,0.064
0.28,-0.012,0.588,-0.09
0.29,-0.452,0.599,-0.165
0.3,-0.101,1.669,0.187
0.31,-0.155,0.829,0.064
0.32,-0.172,0.986,-0.105
0.33,-0.376,0.216,-0.119
0.34,-0.193,1.57,0.188
0.35,-0.153,0.909,0.077
0.36,-0.134,0.813,-0.102
0.37,-0.406,0.639,-0.175
0.38,-0.099,1.047,0.184
0.39,-0.315,1.323,0.105
0.4,-0.058,0.403,-0.133
0.41,-0.46,1.008,-0.144
0.42,0.017,0.972,0.167
0.43,-0.24,1.273,0.008
0.44,-0.12,0.554,-0.104
0.45,-0.452,0.671,-0.087
0.46,-0.079,1.283,0.195
0.47,-0.342,0.956,0.034
0.48,-0.258,0.773,-0.132
0.49,-0.405,0.725,-0.02
0.5,-0.145,1.327,0.189
0.51,-0.137,0.729,0.038
0.52,-0.435,0.939,-0.16
0.53,-0.24,0.858,-0.022
0.54,-0.107,1.13,0.09
0.55,-0.217,1.029,0.036
0.56,-0.254,0.525,-0.186
0.57,-0.254,1.658,-0.04
0.58,0.021,0.743,0.116
0.59,-0.225,1.187,0.04
0.6,-0.344,0.401,-0.201
0.61,-0.274,1.614,-0.01
0.62,-0.087,0.794,0.105
0.63,-0.136,0.879,0.013
0.64,-0.437,0.802,-0.21
0.65,-0.218,1.28,0.057
0.66,-0.16,1.25,0.159
0.67,0.035,0.506,0.07
0.68,-0.551,1.113,-0.171
0.69,-0.158,1.451,0.076
0.7,-0.212,0.937,0.131
0.71,0.002,0.771,0.027
0.72,-0.42,0.615,-0.189
0.73,-0.19,1.906,0.073
0.74,-0.1,0.65,0.116
0.75,-0.095,0.939,0.006
0.76,-0.324,0.38,-0.18
0.77,-0.19,2.0,0.104
0.78,-0.067,0.772,0.247
0.79,-0.097,0.622,0.017
0.8,-0.456,0.808,-0.232
0.81,-0.053,1.674,0.11
0.82,-0.311,1.118,0.094
0.83,0.06,0.356,0.008
0.84,-0.511,1.083,-0.221
0.85,-0.005,1.479,0.107
0.86,-0.168,1.181,0.069
0.87,0.024,0.553,-0.043
0.88,-0.406,0.536,-0.173
0.89,-0.172,1.77,0.127
0.9,-0.118,0.797,0.087
0.91,-0.131,1.041,-0.097
0.92,-0.367,0.238,-0.188
