t,ax,ay,az
0.0,-0.26,0.95,0.008
0.01,-0.345,1.05,-0.167
0.02,-0.13,0.992,-0.035
0.03,-0.221,0.986,0.156
0.04,-0.09,0.769,0.138
0.05,-0.411,1.119,-0.217
0.06,-0.224,0.87,-0.06
0.07,-0.061,1.297,0.073
0.08,-0.105,0.68,0.13
0.09,-0.295,0.955,0.034
0.1,-0.406,1.095,-0.246
0.11,-0.029,0.892,0.012
0.12,-0.176,1.165,0.174
0.13,-0.084,0.626,0.029
0.14,-0.506,1.236,-0.163
0.15,-0.081,0.908,-0.096
0.16,-0.12,1.063,0.058
0.17,-0.159,0.838,0.228
0.18,-0.379,0.883,-0.112
0.19,-0.287,1.115,-0.172
0.2,0.002,0.974,0.042
0.21,-0.151,0.986,0.086
0.22,-0.234,0.641,0.059
0.23,-0.37,1.342,-0.217
0.24,-0.119,0.812,-0.057
0.25,-0.106,1.061,0.238
0.26,-0.172,0.859,0.086
0.27,-0.48,0.883,-0.18
0.28,-0.132,1.244,-0.053
0.29,-0.113,0.833,0.134
0.3,-0.262,1.003,0.22
0.31,-0.162,0.749,-0.109
0.32,-0.341,1.166,-0.255
0.33,-0.105,0.941,0.146
0.34,-0.102,1.007,0.123
0.35,-0.219,0.876,0.052
0.36,-0.394,0.959,-0.154
0.37,-0.215,1.224,-0.042
0.38,-0.237,0.717,0.168
0.39,-0.116,1.094,0.135
0.4,-0.352,0.75,-0.188
0.41,-0.315,1.144,-0.083
0.42,-0.019,1.024,0.023
0.43,-0.135,0.762,0.102
0.44,-0.206,1.008,0.053
0.45,-0.362,0.942,-0.228
0.46,-0.195,1.147,-0.049
0.47,-0.023,0.771,0.142
0.48,-0.161,1.002,0.075
0.49,-0.46,0.842,-0.124
0.5,-0.181,1.267,-0.063
0.51,-0.177,0.767,0.083
0.52,-0.086,0.924,0.159
0.53,-0.357,1.02,-0.146
0.54,-0.341,0.876,-0.155
0.55,-0.037,1.257,0.096
0.56,-0.137,0.685,0.139
0.57,-0.267,1.053,0.026
0.58,-0.288,0.942,-0.256
0.59,-0.092,1.068,-0.094
0.6,-0.125,0.874,0.15
0.61,-0.103,0.863,0.136
0.62,-0.426,1.061,-0.152
0.63,-0.315,0.875,-0.071
0.64,-0.044,1.239,0.045
0.65,-0.119,0.61,0.096
0.66,-0.332,1.073,0.009
0.67,-0.333,0.918,-0.216
0.68,-0.186,1.069,0.04
0.69,-0.09,0.959,0.135
0.7,-0.115,0.732,0.052
0.71,-0.508,1.205,-0.199
0.72,-0.074,0.859,-0.095
0.73,-0.198,1.159,0.122
0.74,-0.109,0.696,0.159
0.75,-0.352,1.091,-0.123
0.76,-0.281,0.93,-0.169
0.77,-0.056,1.07,0.047
0.78,-0.149,0.926,0.125
0.79,-0.216,0.72,0.008
0.8,-0.403,1.334,-0.155
0.81,-0.138,0.805,-0.048
0.82,-0.181,1.128,0.164
0.83,-0.034,0.78,0.126
0.84,-0.449,1.01,-0.2
0.85,-0.24,1.025,-0.096
0.86,-0.009,1.046,0.049
0.87,-0.149,0.929,0.091
0.88,-0.246,0.714,0.016
0.89,-0.4,1.391,-0.249
0.9,-0.029,0.767,-0.043
0.91,-0.136,1.148,0.145
0.92,-0.101,0.712,0.063
0.93,-0.498,1.019,-0.178
0.94,-0.006,1.147,-0.077
0.95,-0.135,0.873,0.068
0.96,-0.276,1.015,0.219
