t,ax,ay,az
0.0,-0.057,1.036,0.087
0.01,-0.201,0.881,0.136
0.02,-0.243,0.777,-0.043
0.03,-0.318,1.237,-0.203
0.04,-0.16,0.875,0.1
0.05,-0.166,1.157,0.144
0.06,-0.156,0.604,0.007
0.07,-0.496,1.328,-0.185
0.08,-0.063,0.898,-0.052
0.09,-0.207,1.038,0.129
0.1,-0.101,0.852,0.141
0.11,-0.353,0.854,-0.159
0.12,-0.263,1.143,-0.145
0.13,-0.059,0.937,0.128
0.14,-0.129,1.084,0.1
0.15,-0.211,0.645,-0.015
0.16,-0.14,1.07,0.129
0.17,-0.146,0.721,0.016
0.18,-0.441,1.142,-0.169
0.19,-0.08,1.07,-0.062
0.2,-0.163,0.868,0.132
0.21,-0.142,1.017,0.12
0.22,-0.305,0.728,-0.158
0.23,-0.243,1.275,-0.058
0.24,-0.095,0.951,0.118
0.25,-0.177,0.907,0.078
0.26,-0.24,0.87,0.028
0.27,-0.335,1.1,-0.202
0.28,-0.158,1.058,-0.004
0.29,-0.136,0.756,0.24
0.3,-0.174,1.063,0.078
0.31,-0.383,0.748,-0.171
0.32,-0.241,1.209,-0.087
0.33,-0.03,0.92,0.067
0.34,-0.147,0.805,0.143
0.35,-0.317,0.98,-0.031
0.36,-0.3,0.953,-0.219
0.37,-0.058,1.133,-0.015
0.38,-0.093,0.783,0.201
0.39,-0.2,1.034,0.074
0.4,-0.394,0.817,-0.211
0.41,-0.119,1.183,-0.106
0.42,-0.087,0.886,0.118
0.43,-0.17,0.796,0.162
0.44,-0.357,1.102,-0.109
0.45,-0.287,0.839,-0.193
0.46,-0.131,1.273,0.095
0.47,-0.084,0.695,0.163
0.48,-0.287,1.027,0.036
0.49,-0.366,1.006,-0.161
0.5,-0.176,1.045,-0.045
0.51,-0.229,0.917,0.13
0.52,-0.131,0.783,0.139
0.53,-0.392,1.148,-0.17
0.54,-0.216,0.812,-0.072
0.55,-0.133,1.238,0.056
0.56,-0.103,0.638,0.117
0.57,-0.286,1.006,0.004
0.58,-0.333,1.003,-0.211
0.59,-0.134,0.971,0.07
0.6,-0.197,1.097,0.108
0.61,-0.074,0.684,0.094
0.62,-0.462,1.239,-0.157
0.63,-0.241,0.868,-0.039
0.64,-0.039,1.171,0.077
0.65,-0.177,0.737,0.107
0.66,-0.246,0.917,-0.049
0.67,-0.338,1.092,-0.215
0.68,-0.068,0.879,0.066
0.69,-0.146,1.16,0.152
0.7,-0.12,0.623,0.05
0.71,-0.47,1.249,-0.203
0.72,-0.016,0.942,-0.062
0.73,-0.147,1.08,0.119
0.74,-0.226,0.807,0.206
0.75,-0.346,0.894,-0.115
0.76,-0.342,0.983,-0.119
0.77,0.021,1.05,0.08
0.78,-0.167,0.996,0.118
0.79,-0.309,0.695,0.044
0.8,-0.33,1.29,-0.218
0.81,-0.073,0.847,-0.059
0.82,-0.144,1.104,0.204
0.83,-0.107,0.79,0.062
0.84,-0.483,0.986,-0.191
0.85,-0.199,1.129,-0.012
0.86,-0.041,0.931,0.075
0.87,-0.198,0.997,0.105
0.88,-0.176,0.719,-0.045
0.89,-0.382,1.308,-0.168
0.9,-0.144,0.88,0.016
0.91,-0.051,1.028,0.108
0.92,-0.219,0.815,-0.008
0.93,-0.437,0.977,-0.158
0.94,-0.134,1.178,-0.07
0.95,-0.13,0.771,0.109
0.96,-0.102,1.079,0.145
0.97,-0.307,0.731,-0.178
0.98,-0.294,1.181,-0.134
0.99,-0.052,1.035,0.102
1.0,-0.114,0.825,0.085
1.01,-0.261,0.963,0.065
1.02,-0.323,0.968,-0.206
1.03,-0.135,1.139,-0.075
1.04,-0.099,0.778,0.209
1.05,-0.176,1.061,0.07
1.06,-0.334,0.803,-0.169
1.07,-0.196,1.146,-0.117
1.08,-0.087,0.982,0.114
1.09,-0.148,0.73,0.14
1.1,-0.298,1.086,-0.001
1.11,-0.302,0.867,-0.179
1.12,-0.138,1.222,0.015
1.13,-0.064,0.799,0.153
1.14,-0.199,0.957,-0.007
1.15,-0.402,0.9,-0.145
1.16,-0.082,1.066,-0.116
1.17,-0.142,0.99,0.086
1.18,-0.179,0.694,0.178
1.19,-0.405,1.135,-0.095
1.2,-0.272,0.812,-0.191
1.21,-0.056,1.302,0.09
1.22,-0.064,0.725,0.123
1.23,-0.3,0.95,0.062
1.24,-0.367,1.086,-0.169
1.25,-0.126,0.906,-0.075
1.26,-0.185,1.089,0.165
1.27,-0.092,0.717,0.147
1.28,-0.463,1.159,-0.166
1.29,-0.272,0.871,-0.065
1.3,-0.092,1.251,0.096
1.31,-0.124,0.729,0.088
1.32,-0.316,0.901,0.025
1.33,-0.304,1.185,-0.21
1.34,-0.079,0.851,-0.01
1.35,-0.204,1.19,0.195
1.36,-0.077,0.634,0.093
1.37,-0.511,1.187,-0.177
1.38,-0.148,0.961,-0.078
1.39,-0.077,1.071,0.081
1.4,-0.216,0.815,0.161
1.41,-0.302,0.823,-0.044
1.42,-0.292,1.215,-0.169
1.43,-0.086,0.863,0.07
1.44,-0.159,1.131,0.11
1.45,-0.099,0.638,0.023
1.46,-0.489,1.203,-0.168
1.47,-0.08,1.005,-0.066
1.48,-0.12,0.948,0.099
1.49,-0.168,0.945,0.158
1.5,-0.365,0.745,-0.147
1.51,-0.229,1.229,-0.142
1.52,-0.02,0.905,0.089
1.53,-0.184,1.025,0.149
1.54,-0.211,0.749,-0.001
1.55,-0.359,1.17,-0.172
1.56,-0.128,1.031,-0.041
1.57,-0.128,0.796,0.167
1.58,-0.163,0.893,0.086
1.59,-0.476,0.907,-0.169
1.6,-0.194,1.259,-0.04
1.61,-0.039,0.847,0.083
1.62,-0.209,1.0,0.154
1.63,-0.257,0.757,-0.052
1.64,-0.32,1.23,-0.198
1.65,-0.083,0.967,0.046
1.66,-0.148,0.932,0.205
1.67,-0.241,0.918,0.04
1.68,-0.439,0.872,-0.156
1.69,-0.047,1.326,-0.091
1.7,-0.064,0.709,0.079
1.71,-0.209,1.015,0.182
1.72,-0.369,0.818,-0.132
1.73,-0.26,1.059,-0.155
1.74,-0.057,1.125,0.12
1.75,-0.149,0.693,0.154
1.76,-0.328,1.004,-0.019
1.77,-0.272,0.903,-0.154
1.78,-0.172,1.232,-0.016
1.79,-0.153,0.702,0.217
1.8,-0.09,0.985,0.067
1.81,-0.411,0.966,-0.231
1.82,-0.208,0.973,-0.031
1.83,-0.059,1.137,0.079
1.84,-0.127,0.609,0.11
1.85,-0.317,1.151,-0.024
1.86,-0.283,0.87,-0.2
1.87,-0.133,1.184,0.051
1.88,-0.096,0.834,0.157
1.89,-0.18,0.846,0.006
1.9,-0.387,1.093,-0.187
1.91,-0.099,0.998,-0.07
1.92,-0.161,1.056,0.066
1.93,-0.138,0.646,0.197
1.94,-0.394,1.147,-0.158
1.95,-0.196,0.801,-0.202
1.96,-0.025,1.212,0.108
1.97,-0.088,0.835,0.119
1.98,-0.285,0.828,0.024
1.99,-0.372,1.225,-0.189
2.0,-0.102,0.813,-0.016
2.01,-0.187,1.162,0.213
2.02,-0.087,0.701,0.09
2.03,-0.497,1.123,-0.207
2.04,-0.211,0.951,-0.028
2.05,-0.072,1.099,0.077
2.06,-0.169,0.845,0.128
2.07,-0.304,0.781,0.016
2.08,-0.35,1.268,-0.22
2.09,-0.094,0.825,0.043
2.1,-0.134,1.175,0.133
2.11,-0.076,0.659,0.014
2.12,-0.49,1.139,-0.174
2.13,-0.05,1.123,-0.078
2.14,-0.136,0.866,0.089
2.15,-0.163,0.927,0.2
2.16,-0.341,0.815,-0.119
2.17,-0.324,1.218,-0.171
2.18,-0.018,0.892,0.079
2.19,-0.179,1.053,0.132
2.2,-0.215,0.745,-0.003
2.21,-0.35,1.144,-0.187
2.22,-0.116,1.065,-0.04
2.23,-0.194,0.828,0.159
2.24,-0.093,1.04,0.117
2.25,-0.329,0.77,-0.203
2.26,-0.218,1.286,-0.092
2.27,-0.079,0.896,0.074
2.28,-0.138,0.882,0.131
2.29,-0.243,0.885,-0.024
2.3,-0.355,1.07,-0.216
2.31,-0.166,1.114,0.028
2.32,-0.117,0.827,0.198
2.33,-0.226,1.011,0.076
2.34,-0.405,0.765,-0.189
2.35,-0.111,1.242,-0.057
2.36,-0.155,0.92,0.093
2.37,-0.192,0.761,0.169
2.38,-0.219,1.054,-0.118
2.39,-0.299,1.009,-0.179
2.4,-0.045,1.137,0.097
2.41,-0.102,0.731,0.098
2.42,-0.338,1.036,0.055
2.43,-0.32,0.887,-0.171
2.44,-0.132,1.179,-0.039
2.45,-0.194,0.747,0.197
2.46,-0.07,0.934,0.082
2.47,-0.453,0.991,-0.199
2.48,-0.17,0.948,-0.079
2.49,-0.052,1.201,0.055
2.5,-0.165,0.666,0.146
2.51,-0.316,1.095,0.006
2.52,-0.288,0.885,-0.226
2.53,-0.247,1.136,0.038
2.54,-0.06,0.89,0.172
2.55,-0.109,0.852,0.021
2.56,-0.447,1.074,-0.213
2.57,-0.063,0.901,-0.064
2.58,-0.122,1.157,0.104
2.59,-0.208,0.625,0.203
2.6,-0.354,1.138,-0.034
2.61,-0.3,0.886,-0.138
2.62,-0.234,1.119,0.087
2.63,-0.081,0.935,0.126
2.64,-0.159,0.765,0.036
2.65,-0.424,1.26,-0.154
2.66,-0.121,0.901,-0.036
2.67,-0.243,1.082,0.133
2.68,-0.05,0.713,0.165
2.69,-0.481,1.114,-0.178
2.7,-0.252,0.894,-0.123
2.71,-0.037,1.152,0.074
2.72,-0.162,0.922,0.12
2.73,-0.277,0.719,0.032
2.74,-0.335,1.31,-0.22
2.75,-0.131,0.793,-0.012
2.76,-0.125,1.194,0.184
2.77,-0.083,0.729,0.078
2.78,-0.475,1.03,-0.165
2.79,-0.145,1.094,-0.058
2.8,-0.053,0.917,0.084
2.81,-0.222,1.004,0.165
2.82,-0.212,0.732,-0.062
2.83,-0.381,1.221,-0.191
2.84,-0.13,0.904,0.122
2.85,-0.112,1.123,0.135
2.86,-0.157,0.703,0.026
2.87,-0.37,1.065,-0.165
2.88,-0.154,1.206,-0.068
2.89,-0.146,0.731,0.143
2.9,-0.178,1.069,0.165
2.91,-0.336,0.75,-0.159
2.92,-0.255,1.151,-0.182
2.93,0.045,1.035,0.028
2.94,-0.156,0.907,0.139
2.95,-0.297,0.872,0.057
2.96,-0.295,1.029,-0.189
2.97,-0.108,1.125,-0.071
2.98,-0.164,0.709,0.23
2.99,-0.111,1.086,0.098
3.0,-0.428,0.776,-0.227
3.01,-0.216,1.12,-0.076
3.02,-0.078,1.045,0.035
3.03,-0.195,0.748,0.162
3.04,-0.218,1.013,0.006
3.05,-0.382,0.932,-0.224
3.06,-0.174,1.114,-0.006
3.07,-0.031,0.811,0.168
3.08,-0.15,1.028,0.034
3.09,-0.385,0.868,-0.18
3.1,-0.085,1.152,-0.111
3.11,-0.122,0.944,0.064
3.12,-0.105,0.732,0.207
3.13,-0.407,1.128,-0.087
3.14,-0.268,0.741,-0.208
3.15,-0.17,1.273,0.119
3.16,-0.171,0.779,0.168
3.17,-0.183,0.903,0.023
3.18,-0.387,1.052,-0.231
3.19,-0.055,1.014,-0.078
3.2,-0.135,1.005,0.097
3.21,-0.083,0.833,0.124
3.22,-0.37,1.098,-0.197
3.23,-0.159,0.859,-0.089
3.24,-0.129,1.29,0.059
3.25,-0.099,0.592,0.088
3.26,-0.211,1.083,0.014
3.27,-0.375,1.015,-0.21
3.28,-0.122,0.99,-0.013
3.29,-0.153,1.024,0.164
3.3,-0.094,0.701,0.077
3.31,-0.45,1.184,-0.194
3.32,-0.112,0.876,-0.045
3.33,-0.108,1.177,0.098
3.34,-0.153,0.682,0.222
3.35,-0.298,1.034,-0.054
3.36,-0.253,0.979,-0.213
3.37,-0.133,0.997,0.109
3.38,-0.106,1.09,0.134
3.39,-0.166,0.651,-0.003
3.4,-0.468,1.308,-0.169
3.41,-0.138,0.844,-0.049
3.42,-0.182,1.088,0.14
3.43,-0.091,0.79,0.18
3.44,-0.437,0.937,-0.131
3.45,-0.212,1.03,-0.139
3.46,-0.046,1.034,0.091
3.47,-0.202,1.022,0.095
3.48,-0.132,0.646,0.01
3.49,-0.428,1.435,-0.186
3.5,-0.115,0.841,-0.029
3.51,-0.208,1.033,0.182
