t,ax,ay,az
0.0,-0.354,1.279,-0.142
0.01,-0.122,0.904,0.124
0.02,-0.097,1.106,0.141
0.03,-0.154,0.638,0.035
0.04,-0.497,1.2,-0.17
0.05,-0.06,1.056,-0.049
0.06,-0.165,0.871,0.148
0.07,-0.249,0.965,0.21
0.08,-0.279,0.766,-0.13
0.09,-0.306,1.265,-0.15
0.1,-0.049,0.862,0.126
0.11,-0.146,0.994,0.134
0.12,-0.251,0.815,-0.018
0.13,-0.38,1.135,-0.186
0.14,-0.043,1.054,-0.034
0.15,-0.182,0.786,0.205
0.16,-0.136,1.052,0.11
0.17,-0.349,0.78,-0.193
0.18,-0.28,1.275,-0.034
0.19,-0.013,0.877,0.101
0.2,-0.201,0.889,0.095
0.21,-0.268,0.94,-0.039
0.22,-0.312,1.015,-0.174
0.23,-0.141,1.143,0.031
0.24,-0.01,0.708,0.159
0.25,-0.219,1.035,-0.014
0.26,-0.464,0.867,-0.127
0.27,-0.073,1.241,-0.072
0.28,-0.132,0.81,0.101
0.29,-0.208,0.856,0.206
0.3,-0.309,1.048,-0.133
0.31,-0.335,0.911,-0.14
0.32,-0.081,1.192,0.119
0.33,-0.042,0.653,0.152
0.34,-0.399,1.067,-0.017
0.35,-0.252,0.909,-0.204
0.36,-0.098,1.106,-0.008
0.37,-0.171,0.927,0.138
0.38,-0.102,0.775,0.069
0.39,-0.425,1.217,-0.218
0.4,-0.045,1.046,0.108
0.41,-0.201,0.877,0.142
0.42,-0.27,0.818,-0.127
0.43,-0.236,1.227,-0.19
0.44,-0.107,0.913,0.121
0.45,-0.142,1.041,0.141
0.46,-0.256,0.681,-0.023
0.47,-0.42,1.318,-0.209
0.48,-0.056,0.888,0.039
0.49,-0.285,1.058,0.205
0.5,-0.109,0.783,0.055
0.51,-0.38,0.979,-0.2
0.52,-0.245,1.214,0.003
0.53,-0.084,0.794,0.133
0.54,-0.177,1.057,0.089
0.55,-0.216,0.716,-0.097
0.56,-0.363,1.22,-0.147
0.57,-0.142,0.993,0.156
0.58,-0.138,0.908,0.149
0.59,-0.281,0.917,0.024
0.6,-0.367,0.981,-0.172
0.61,-0.157,1.188,-0.068
0.62,-0.085,0.74,0.111
0.63,-0.177,1.08,0.133
0.64,-0.352,0.797,-0.181
0.65,-0.279,1.135,-0.143
0.66,-0.005,1.03,0.106
0.67,-0.149,0.771,0.164
0.68,-0.311,1.003,0.007
0.69,-0.303,0.918,-0.205
0.7,-0.101,1.229,-0.016
0.71,-0.116,0.75,0.174
0.72,-0.165,0.998,0.057
0.73,-0.37,0.92,-0.233
0.74,-0.136,1.098,-0.082
0.75,-0.122,0.965,0.083
0.76,-0.171,0.709,0.158
0.77,-0.305,1.113,-0.125
0.78,-0.24,0.835,-0.177
0.79,-0.096,1.309,0.124
0.8,-0.185,0.704,0.153
0.81,-0.221,0.928,-0.031
0.82,-0.378,1.099,-0.195
0.83,-0.061,0.912,-0.077
0.84,-0.142,1.09,0.192
0.85,-0.123,0.693,0.093
0.86,-0.444,1.164,-0.155
0.87,-0.2,0.922,-0.087
0.88,-0.08,1.14,0.025
0.89,-0.096,0.78,0.148
0.9,-0.265,0.905,-0.015
0.91,-0.451,1.112,-0.223
0.92,-0.088,0.865,0.094
0.93,-0.176,1.19,0.136
0.94,-0.132,0.595,0.049
0.95,-0.405,1.24,-0.207
0.96,-0.11,0.93,-0.099
0.97,-0.17,0.966,0.118
0.98,-0.075,0.902,0.104
0.99,-0.338,0.858,-0.134
1.0,-0.364,1.135,-0.145
1.01,-0.002,0.936,0.105
1.02,-0.222,1.095,0.126
1.03,-0.152,0.654,0.025
1.04,-0.392,1.294,-0.205
1.05,-0.156,0.933,-0.059
1.06,-0.102,0.857,0.16
1.07,-0.083,1.001,0.126
1.08,-0.411,0.812,-0.179
1.09,-0.329,1.253,-0.076
1.1,0.025,0.863,0.068
1.11,-0.192,0.984,0.099
1.12,-0.216,0.783,-0.015
1.13,-0.307,1.179,-0.214
1.14,-0.135,1.049,0.004
1.15,-0.105,0.828,0.193
1.16,-0.206,1.003,0.025
1.17,-0.409,0.824,-0.219
1.18,-0.052,1.308,-0.062
1.19,-0.151,0.779,0.124
1.2,-0.233,0.923,0.178
1.21,-0.215,0.891,-0.114
1.22,-0.365,1.003,-0.148
1.23,-0.1,1.113,0.132
1.24,-0.066,0.713,0.121
1.25,-0.376,0.968,-0.017
1.26,-0.232,0.912,-0.218
1.27,-0.109,1.238,-0.028
1.28,-0.098,0.744,0.206
1.29,-0.127,0.977,0.071
1.3,-0.419,0.876,-0.173
1.31,-0.187,1.106,-0.058
1.32,-0.047,0.984,0.062
1.33,-0.131,0.754,0.22
1.34,-0.372,1.118,-0.073
1.35,-0.31,0.732,-0.202
1.36,-0.135,1.291,0.111
1.37,-0.148,0.797,0.107
1.38,-0.197,0.894,-0.005
1.39,-0.402,1.065,-0.152
1.4,-0.104,1.043,-0.041
1.41,-0.232,1.049,0.129
1.42,-0.055,0.694,0.157
1.43,-0.436,1.171,-0.126
1.44,-0.234,0.849,-0.105
1.45,-0.069,1.255,0.065
1.46,-0.131,0.71,0.099
1.47,-0.206,0.893,0.022
1.48,-0.406,1.204,-0.212
1.49,-0.101,0.824,0.027
1.5,-0.16,1.193,0.172
1.51,-0.163,0.676,0.114
1.52,-0.513,1.109,-0.183
1.53,-0.109,0.952,-0.06
1.54,-0.045,1.139,0.065
1.55,-0.178,0.77,0.133
1.56,-0.313,0.843,-0.028
1.57,-0.343,1.211,-0.217
1.58,-0.052,0.79,0.057
1.59,-0.103,1.171,0.166
1.6,-0.128,0.669,-0.01
1.61,-0.532,1.171,-0.184
1.62,-0.049,0.961,-0.06
1.63,-0.126,0.949,0.102
1.64,-0.151,0.969,0.194
1.65,-0.304,0.768,-0.174
1.66,-0.317,1.248,-0.137
1.67,-0.038,0.907,0.118
1.68,-0.19,1.01,0.104
1.69,-0.272,0.747,0.066
1.7,-0.352,1.183,-0.246
1.71,-0.113,1.009,-0.048
1.72,-0.161,0.871,0.214
1.73,-0.073,0.987,0.061
1.74,-0.352,0.791,-0.185
1.75,-0.196,1.299,-0.046
1.76,-0.028,0.819,0.096
1.77,-0.216,0.943,0.164
1.78,-0.24,0.858,-0.049
1.79,-0.38,1.021,-0.16
1.8,-0.193,1.141,0.078
1.81,-0.12,0.766,0.167
1.82,-0.149,1.014,-0.021
1.83,-0.354,0.86,-0.183
1.84,-0.206,1.197,-0.041
1.85,-0.115,0.735,0.08
1.86,-0.111,0.941,0.163
1.87,-0.321,1.002,-0.121
1.88,-0.306,0.855,-0.155
1.89,-0.06,1.249,0.083
1.9,-0.11,0.665,0.135
1.91,-0.227,1.039,-0.009
1.92,-0.376,0.964,-0.186
1.93,-0.118,1.112,-0.039
1.94,-0.185,0.856,0.162
1.95,-0.121,0.809,0.118
1.96,-0.404,1.132,-0.196
1.97,-0.258,0.85,-0.061
1.98,-0.107,1.283,0.068
1.99,-0.071,0.624,0.107
2.0,-0.33,1.035,-0.007
2.01,-0.303,0.966,-0.239
2.02,-0.099,1.016,-0.011
2.03,-0.119,1.007,0.166
2.04,-0.101,0.688,0.041
2.05,-0.515,1.222,-0.207
2.06,-0.02,0.879,-0.091
2.07,-0.157,1.123,0.056
2.08,-0.083,0.667,0.18
2.09,-0.381,1.121,-0.153
2.1,-0.275,0.9,-0.128
2.11,-0.058,1.136,0.042
2.12,-0.141,0.819,0.116
2.13,-0.213,0.777,0.054
2.14,-0.446,1.304,-0.241
2.15,-0.009,0.822,-0.046
2.16,-0.173,1.211,0.138
