t,ax,ay,az
0.0,-0.112,0.909,0.051
0.01,-0.078,1.101,0.107
0.02,-0.159,0.72,0.047
0.03,-0.409,1.107,-0.159
0.04,-0.108,1.121,-0.077
0.05,-0.115,0.843,0.102
0.06,-0.171,1.022,0.168
0.07,-0.317,0.782,-0.156
0.08,-0.279,1.199,-0.146
0.09,-0.133,0.931,0.059
0.1,-0.1,0.999,0.177
0.11,-0.172,0.795,0.039
0.12,-0.483,1.075,-0.164
0.13,-0.149,1.115,-0.032
0.14,-0.116,0.771,0.137
0.15,-0.169,1.06,0.136
0.16,-0.29,0.777,-0.181
0.17,-0.266,1.171,-0.121
0.18,-0.133,0.931,0.126
0.19,-0.087,0.942,0.133
0.2,-0.182,0.856,-0.033
0.21,-0.415,1.031,-0.113
0.22,-0.126,1.187,-0.023
0.23,-0.137,0.724,0.081
0.24,-0.123,1.063,0.169
0.25,-0.364,0.827,-0.19
0.26,-0.281,1.121,-0.079
0.27,-0.018,0.998,0.035
0.28,-0.088,0.811,0.124
0.29,-0.319,0.98,0.019
0.3,-0.313,0.986,-0.207
0.31,-0.096,1.158,-0.058
0.32,-0.142,0.768,0.19
0.33,-0.148,1.058,0.066
0.34,-0.394,0.812,-0.192
0.35,-0.178,1.12,-0.022
0.36,-0.082,1.018,0.058
0.37,-0.196,0.695,0.13
0.38,-0.295,1.085,-0.024
0.39,-0.271,0.857,-0.199
0.4,-0.178,1.213,0.044
0.41,-0.13,0.802,0.192
0.42,-0.104,0.952,0.05
0.43,-0.401,0.925,-0.174
0.44,-0.126,1.088,-0.062
0.45,-0.148,0.97,0.072
0.46,-0.129,0.726,0.208
0.47,-0.348,1.177,-0.121
0.48,-0.258,0.777,-0.166
0.49,-0.167,1.297,0.095
0.5,-0.104,0.78,0.118
0.51,-0.192,0.915,0.013
0.52,-0.405,1.056,-0.151
0.53,-0.147,0.997,-0.065
0.54,-0.179,0.971,0.112
0.55,-0.119,0.722,0.188
0.56,-0.402,1.146,-0.177
0.57,-0.25,0.761,-0.146
0.58,-0.131,1.302,0.134
0.59,-0.124,0.74,0.116
0.6,-0.212,0.878,0.019
0.61,-0.377,1.167,-0.144
0.62,-0.124,0.929,-0.018
0.63,-0.276,1.051,0.165
0.64,-0.021,0.693,0.134
0.65,-0.459,1.197,-0.157
0.66,-0.254,0.804,-0.125
0.67,-0.01,1.238,0.062
0.68,-0.103,0.781,0.097
0.69,-0.236,0.861,0.008
0.7,-0.341,1.198,-0.196
0.71,-0.083,0.829,0.015
0.72,-0.239,1.14,0.174
0.73,-0.02,0.703,0.084
0.74,-0.487,1.135,-0.191
0.75,-0.222,0.943,-0.037
0.76,-0.061,1.204,0.061
0.77,-0.155,0.778,0.1
0.78,-0.258,0.881,0.005
0.79,-0.312,1.271,-0.285
0.8,-0.132,0.742,0.011
0.81,-0.195,1.191,0.207
0.82,-0.104,0.637,0.016
0.83,-0.464,1.226,-0.186
0.84,-0.061,0.915,-0.071
0.85,-0.198,1.103,0.071
0.86,-0.165,0.705,0.199
0.87,-0.263,1.01,-0.088
0.88,-0.291,1.034,-0.197
0.89,-0.154,0.895,0.142
0.9,-0.139,1.154,0.128
0.91,-0.099,0.565,0.012
0.92,-0.53,1.307,-0.159
0.93,-0.053,0.931,-0.069
0.94,-0.231,1.034,0.058
0.95,-0.093,0.832,0.197
0.96,-0.326,0.901,-0.153
0.97,-0.304,1.09,-0.136
0.98,0.009,0.955,0.102
0.99,-0.144,1.097,0.078
1.0,-0.202,0.609,0.025
1.01,-0.382,1.336,-0.179
1.02,-0.141,0.922,-0.048
1.03,-0.223,0.942,0.173
1.04,-0.074,0.916,0.103
1.05,-0.357,0.845,-0.189
1.06,-0.306,1.197,-0.059
1.07,0.046,0.917,-0.006
1.08,-0.162,1.002,0.148
1.09,-0.248,0.705,0.043
1.1,-0.352,1.27,-0.216
1.11,-0.138,0.914,-0.048
1.12,-0.159,0.974,0.187
1.13,-0.144,0.955,0.1
1.14,-0.365,0.802,-0.19
1.15,-0.235,1.288,-0.042
1.16,-0.093,0.901,0.082
1.17,-0.159,0.978,0.153
1.18,-0.174,0.765,0.01
1.19,-0.394,1.166,-0.197
1.2,-0.136,0.981,0.012
1.21,-0.228,0.901,0.175
1.22,-0.177,0.984,0.053
1.23,-0.355,0.764,-0.141
1.24,-0.234,1.325,-0.053
1.25,-0.068,0.886,0.07
1.26,-0.208,0.918,0.15
1.27,-0.229,0.86,0.023
1.28,-0.344,1.138,-0.208
1.29,-0.104,1.053,-0.052
1.3,-0.076,0.85,0.169
1.31,-0.189,1.06,0.051
1.32,-0.375,0.768,-0.147
1.33,-0.243,1.277,-0.031
1.34,-0.023,0.877,0.022
1.35,-0.125,0.867,0.119
1.36,-0.224,0.937,-0.053
1.37,-0.343,1.017,-0.203
1.38,-0.021,1.122,-0.045
1.39,-0.097,0.833,0.174
1.4,-0.181,1.021,0.048
1.41,-0.386,0.792,-0.202
1.42,-0.157,1.219,-0.065
1.43,-0.037,0.884,0.09
1.44,-0.17,0.853,0.164
1.45,-0.278,1.023,-0.073
1.46,-0.216,0.909,-0.202
1.47,-0.215,1.16,0.059
1.48,-0.056,0.776,0.142
1.49,-0.216,1.009,0.014
1.5,-0.329,0.892,-0.161
1.51,-0.102,1.196,-0.09
1.52,-0.183,0.869,0.114
1.53,-0.177,0.793,0.224
1.54,-0.309,1.086,-0.085
1.55,-0.262,0.849,-0.174
1.56,-0.215,1.236,0.126
1.57,-0.054,0.729,0.157
1.58,-0.248,1.01,0.013
1.59,-0.405,0.921,-0.133
1.6,-0.167,1.067,-0.074
1.61,-0.121,0.901,0.061
1.62,-0.062,0.822,0.183
1.63,-0.424,1.009,-0.149
1.64,-0.284,0.858,-0.059
1.65,-0.032,1.272,0.039
1.66,-0.136,0.654,0.148
1.67,-0.29,1.061,0.018
1.68,-0.319,0.968,-0.179
1.69,-0.123,1.059,-0.056
1.7,-0.213,0.833,0.197
1.71,-0.066,0.878,0.122
1.72,-0.392,1.062,-0.186
1.73,-0.232,0.861,-0.046
1.74,-0.097,1.307,0.063
1.75,-0.135,0.597,0.163
1.76,-0.343,1.072,0.039
1.77,-0.361,0.991,-0.203
1.78,-0.136,1.005,-0.049
1.79,-0.17,0.92,0.176
1.8,-0.079,0.849,0.1
1.81,-0.413,1.074,-0.191
1.82,-0.246,0.841,-0.025
1.83,-0.171,1.323,0.064
1.84,-0.074,0.615,0.126
1.85,-0.255,1.073,0.032
1.86,-0.334,1.005,-0.233
1.87,-0.193,0.945,0.03
1.88,-0.143,1.036,0.154
1.89,-0.139,0.75,0.055
1.9,-0.438,1.143,-0.201
1.91,-0.123,0.91,-0.036
1.92,-0.102,1.248,0.031
1.93,-0.181,0.647,0.176
1.94,-0.25,1.008,0.004
1.95,-0.264,1.059,-0.21
1.96,-0.189,0.922,0.054
1.97,-0.109,1.099,0.138
1.98,-0.092,0.679,0.072
1.99,-0.525,1.179,-0.16
2.0,-0.122,0.861,-0.041
2.01,-0.128,1.228,0.083
2.02,-0.195,0.703,0.134
2.03,-0.272,0.957,-0.027
2.04,-0.062,0.87,0.046
2.05,-0.38,1.062,-0.214
2.06,-0.22,0.881,-0.013
2.07,-0.089,1.226,0.064
2.08,-0.114,0.655,0.117
2.09,-0.342,1.147,0.026
2.1,-0.268,0.902,-0.204
2.11,-0.178,1.113,-0.024
2.12,-0.084,0.887,0.119
2.13,-0.142,0.81,0.081
2.14,-0.478,1.138,-0.164
2.15,-0.126,0.892,-0.062
2.16,-0.139,1.218,0.065
2.17,-0.164,0.634,0.163
2.18,-0.285,1.128,-0.034
2.19,-0.355,0.934,-0.189
2.2,-0.204,1.032,0.028
2.21,-0.107,1.029,0.12
2.22,-0.153,0.726,0.059
2.23,-0.421,1.183,-0.162
2.24,-0.078,0.894,-0.096
2.25,-0.172,1.144,0.085
2.26,-0.104,0.653,0.215
2.27,-0.309,1.143,-0.104
2.28,-0.291,0.915,-0.197
2.29,-0.143,1.009,0.061
2.3,-0.117,1.089,0.125
2.31,-0.107,0.686,0.004
2.32,-0.483,1.223,-0.168
2.33,-0.141,0.885,-0.041
2.34,-0.166,1.177,0.097
2.35,-0.175,0.704,0.163
2.36,-0.291,1.046,-0.092
2.37,-0.271,0.859,-0.136
2.38,-0.093,1.169,0.102
2.39,-0.085,0.924,0.088
2.4,-0.258,0.71,-0.037
2.41,-0.298,1.268,-0.137
