t,ax,ay,az
0.0,-0.289,0.165,-0.029
0.01,-0.25,-0.041,-0.096
0.02,-0.332,-0.063,-0.041
0.03,-0.407,-0.079,0.089
0.04,-0.383,0.064,0.115
0.05,-0.277,0.278,0.084
0.06,-0.115,0.284,-0.017
0.07,-0.044,0.012,-0.109
0.08,-0.037,-0.179,-0.076
0.09,-0.076,-0.408,0.085
0.1,-0.271,-0.206,0.3
0.11,-0.307,0.05,0.326
0.12,-0.316,0.149,0.121
0.13,-0.311,0.307,-0.108
0.14,-0.289,0.023,-0.166
0.15,-0.403,-0.075,-0.074
0.16,-0.316,-0.052,0.017
0.17,-0.308,0.049,0.046
0.18,-0.171,0.039,0.032
0.19,-0.061,0.219,-0.02
0.2,-0.104,0.064,0.088
0.21,-0.144,-0.13,0.152
0.22,-0.27,-0.163,0.131
0.23,-0.317,-0.272,0.12
0.24,-0.248,0.027,-0.005
0.25,-0.311,0.202,0.034
0.26,-0.268,0.25,-0.846
0.27,-0.317,0.267,-0.047
0.28,-0.323,-0.003,-0.03
0.29,-0.178,-0.14,-0.056
0.3,-0.254,-0.12,0.046
0.31,-0.191,-0.015,0.133
0.32,-0.126,0.129,0.107
0.33,-0.13,0.193,0.034
0.34,-0.1,-0.075,0.063
0.35,-0.242,-0.108,0.123
0.36,-0.267,-0.147,0.132
0.37,-0.0,-0.0,-0.827
0.38,-0.12,0.219,-0.018
0.39,-0.078,-0.022,0.012
0.4,-0.125,-0.149,0.097
0.41,-0.24,-0.107,0.149
0.42,-0.27,-0.051,0.167
0.43,-0.31,0.032,0.135
0.44,-0.348,0.037,0.007
0.45,-0.278,-0.037,-0.073
0.46,-0.243,-0.189,-0.023
0.47,-0.239,0.029,0.049
0.48,-0.27,0.169,0.126
0.49,-0.295,0.257,0.055
0.5,-0.178,0.379,-0.099
0.51,-0.121,-0.011,-0.116
0.52,-0.123,-0.155,-0.066
0.53,-0.176,-0.287,0.086
0.54,-0.31,-0.302,0.309
0.55,-0.293,0.047,0.269
0.56,-0.232,0.161,0.131
0.57,-0.201,0.157,-0.061
0.58,-0.215,0.094,-0.164
0.59,-0.292,-0.079,-0.067
0.6,-0.312,-0.06,0.008
0.61,-0.309,0.165,0.033
0.62,-0.24,0.137,0.05
0.63,-0.119,0.15,-0.023
0.64,-0.176,0.186,0.009
0.65,-0.148,-0.199,0.152
0.66,-0.26,-0.127,0.103
0.67,-0.334,-0.193,0.108
0.68,-0.223,-0.155,0.048
0.69,-0.195,0.111,-0.016
0.7,-0.28,0.198,-0.002
0.71,-0.266,0.001,0.017
0.72,-0.314,0.152,0.042
0.73,-0.244,-0.042,0.017
0.74,-0.281,0.064,0.005
0.75,-0.247,0.139,0.014
0.76,-0.196,0.094,-0.849
0.77,-0.148,0.091,0.001
0.78,-0.161,-0.14,0.014
0.79,-0.239,-0.288,0.099
0.8,-0.201,-0.169,0.119
0.81,-0.235,-0.055,0.13
0.82,-0.349,0.046,0.102
0.83,-0.256,0.257,-0.012
0.84,-0.185,0.202,-0.017
0.85,-0.274,0.1,-0.037
0.86,-0.26,0.004,-0.046
0.87,-0.256,-0.06,0.015
0.88,-0.132,-0.041,0.005
0.89,-0.203,0.044,0.054
0.9,-0.24,-0.081,0.136
0.91,-0.177,0.002,0.106
0.92,-0.28,-0.035,0.086
0.93,-0.0,-0.0,-0.833
0.94,-0.285,0.302,-0.016
0.95,-0.221,0.23,-0.148
0.96,-0.146,-0.193,-0.079
0.97,-0.066,-0.255,0.017
0.98,-0.049,-0.36,0.192
0.99,-0.207,-0.202,0.347
1.0,-0.194,0.14,0.254
1.01,-0.298,0.233,0.075
