t,ax,ay,az
0.0,-0.106,-0.087,0.057
0.01,-0.133,0.092,0.121
0.02,-0.134,0.165,0.096
0.03,-0.258,-0.017,0.08
0.04,-0.383,0.001,-0.028
0.05,-0.323,-0.094,-0.103
0.06,-0.354,-0.049,-0.023
0.07,-0.374,0.111,-0.032
0.08,-0.271,0.115,-0.038
0.09,-0.247,0.094,-0.087
0.1,-0.229,0.148,-0.049
0.11,-0.149,0.019,0.026
0.12,-0.107,-0.044,0.053
0.13,-0.14,-0.04,0.048
0.14,-0.115,-0.124,0.085
0.15,-0.155,0.067,0.037
0.16,-0.323,0.072,0.059
0.17,-0.303,-0.023,-0.007
0.18,-0.265,-0.072,-0.151
0.19,-0.365,0.016,-0.081
0.2,-0.353,0.013,0.021
0.21,-0.34,0.224,0.056
0.22,-0.284,0.29,0.018
0.23,-0.043,0.082,-0.119
0.24,-0.011,-0.041,-0.132
0.25,-0.076,-0.37,0.018
0.26,-0.161,-0.3,0.194
0.27,-0.309,-0.004,0.311
0.28,-0.239,0.099,0.156
0.29,-0.305,0.192,-0.094
0.3,-0.374,0.192,-0.233
0.31,-0.345,-0.11,-0.15
0.32,-0.352,-0.07,-0.07
0.33,-0.258,0.005,-0.016
0.34,-0.236,-0.0,0.031
0.35,-0.096,0.305,-0.017
0.36,-0.028,0.182,0.028
0.37,-0.12,0.005,0.087
0.38,-0.211,-0.105,0.098
0.39,-0.298,-0.296,0.066
0.4,-0.371,-0.153,0.038
0.41,-0.386,-0.042,-0.003
0.42,-0.333,0.124,-0.012
0.43,-0.275,0.29,-0.085
0.44,-0.279,0.075,-0.071
0.45,-0.214,0.015,-0.12
0.46,-0.093,-0.0,-0.112
0.47,-0.203,0.038,0.063
0.48,-0.146,0.082,0.07
0.49,-0.165,0.228,0.07
0.5,-0.211,-0.104,0.053
0.51,-0.282,-0.219,0.058
0.52,-0.356,-0.198,0.072
0.53,-0.333,-0.256,0.081
0.54,-0.337,-0.005,-0.022
0.55,-0.263,0.223,-0.087
0.56,-0.159,0.202,-0.139
0.57,-0.118,0.224,-0.126
0.58,-0.192,0.109,-0.038
0.59,-0.178,-0.15,0.021
0.6,-0.163,0.041,0.014
0.61,-0.279,-0.015,0.069
0.62,-0.244,-0.021,0.084
0.63,-0.221,0.14,0.056
0.64,-0.289,-0.049,0.038
0.65,-0.343,-0.125,-0.041
0.66,-0.344,-0.092,-0.058
0.67,-0.214,0.019,-0.058
0.68,-0.22,0.202,-0.052
0.69,-0.246,0.23,-0.041
0.7,-0.192,0.154,-0.051
0.71,-0.243,0.22,-0.011
0.72,-0.177,-0.115,0.025
0.73,-0.15,-0.167,0.031
0.74,-0.199,-0.188,0.044
0.75,-0.225,-0.081,0.118
0.76,-0.294,0.026,0.085
0.77,-0.316,0.104,0.038
0.78,-0.161,0.006,-0.094
0.79,-0.264,-0.078,-0.121
0.8,-0.341,0.029,-0.067
0.81,-0.289,0.044,0.028
0.82,-0.307,0.329,0.033
0.83,-0.245,0.334,-0.062
0.84,-0.095,0.044,-0.132
0.85,-0.085,-0.124,-0.118
0.86,-0.147,-0.402,0.055
0.87,-0.191,-0.288,0.246
0.88,-0.29,-0.065,0.293
0.89,-0.274,0.086,0.097
0.9,-0.276,0.194,-0.107
0.91,-0.222,0.177,-0.214
0.92,-0.33,-0.039,-0.133
0.93,-0.355,-0.074,-0.049
0.94,-0.238,0.129,-0.042
0.95,-0.228,0.154,0.009
0.96,-0.137,0.226,-0.015
0.97,-0.154,0.217,-0.031
0.98,-0.182,-0.14,0.079
0.99,-0.247,-0.241,0.097
1.0,-0.297,-0.321,0.096
1.01,-0.228,-0.244,0.02
1.02,-0.252,0.092,0.028
1.03,-0.281,0.237,0.038
1.04,-0.222,0.311,-0.078
1.05,-0.364,0.15,-0.069
1.06,-0.271,-0.06,-0.094
1.07,-0.245,-0.02,-0.127
1.08,-0.294,-0.038,-0.028
1.09,-0.172,0.07,0.051
1.1,-0.149,0.192,0.042
1.11,-0.109,-0.031,0.078
1.12,-0.099,-0.311,0.009
1.13,-0.194,-0.167,0.101
1.14,-0.234,-0.127,0.131
1.15,-0.337,0.068,0.042
1.16,-0.383,0.286,-0.048
1.17,-0.284,0.198,-0.136
1.18,-0.303,0.211,-0.129
1.19,-0.266,-0.05,-0.087
1.2,-0.231,-0.217,-0.018
1.21,-0.17,-0.076,0.003
1.22,-0.087,-0.071,0.065
1.23,-0.073,0.069,0.102
1.24,-0.139,0.234,0.117
1.25,-0.272,-0.041,0.086
1.26,-0.351,-0.029,-0.037
1.27,-0.39,-0.125,-0.071
1.28,-0.352,0.076,-0.036
1.29,-0.33,0.1,-0.056
1.3,-0.311,0.202,-0.06
1.31,-0.243,0.081,-0.064
1.32,-0.189,0.093,-0.038
1.33,-0.144,-0.066,0.01
1.34,-0.077,-0.186,0.053
1.35,-0.09,-0.046,0.075
1.36,-0.171,-0.023,0.075
1.37,-0.272,0.063,0.079
1.38,-0.301,0.143,0.018
1.39,-0.268,0.029,-0.064
1.4,-0.333,-0.111,-0.104
1.41,-0.298,0.063,-0.077
1.42,-0.329,0.06,0.052
1.43,-0.36,0.354,0.04
1.44,-0.122,0.262,-0.06
1.45,0.005,-0.034,-0.164
1.46,-0.079,-0.219,-0.081
1.47,-0.146,-0.36,0.125
1.48,-0.256,-0.26,0.337
1.49,-0.218,0.108,0.243
1.5,-0.273,0.102,0.041
1.51,-0.294,0.191,-0.166
1.52,-0.308,0.107,-0.167
1.53,-0.428,-0.102,-0.065
1.54,-0.375,0.026,-0.085
1.55,-0.3,0.037,-0.066
1.56,-0.209,0.111,-0.028
1.57,-0.106,0.263,-0.002
1.58,-0.11,0.059,0.088
1.59,-0.099,-0.131,0.078
1.6,-0.181,-0.202,0.064
1.61,-0.265,-0.226,0.141
1.62,-0.224,0.028,0.033
1.63,-0.333,0.149,0.036
1.64,-0.361,0.135,-0.058
1.65,-0.339,0.168,-0.159
1.66,-0.406,0.012,-0.161
1.67,-0.211,-0.121,-0.094
1.68,-0.258,0.008,-0.005
1.69,-0.164,0.149,0.105
1.7,-0.034,0.061,0.082
1.71,-0.08,0.13,0.067
1.72,-0.084,-0.073,0.017
1.73,-0.216,-0.241,0.115
1.74,-0.356,-0.105,0.134
1.75,-0.376,-0.14,0.005
1.76,-0.468,0.001,-0.07
1.77,-0.313,0.187,-0.171
1.78,-0.247,0.14,-0.067
1.79,-0.211,0.096,-0.058
1.8,-0.146,-0.009,-0.008
1.81,-0.117,-0.09,-0.017
1.82,-0.061,0.047,0.006
1.83,-0.155,0.059,0.12
1.84,-0.187,0.132,0.096
1.85,-0.283,0.055,0.037
1.86,-0.376,-0.127,-0.056
1.87,-0.389,-0.156,-0.101
1.88,-0.435,-0.076,-0.008
1.89,-0.291,0.033,0.032
1.9,-0.159,0.217,-0.07
1.91,-0.203,0.222,-0.079
1.92,-0.139,0.123,-0.021
1.93,-0.03,0.164,-0.043
1.94,-0.156,-0.107,0.036
1.95,-0.243,-0.201,0.05
1.96,-0.21,-0.014,0.058
1.97,-0.282,-0.062,0.112
1.98,-0.39,0.104,0.06
1.99,-0.297,0.028,-0.062
2.0,-0.225,-0.167,-0.095
2.01,-0.262,-0.106,-0.07
2.02,-0.227,0.122,0.058
2.03,-0.273,0.197,0.091
2.04,-0.26,0.354,-0.043
2.05,-0.102,0.244,-0.179
2.06,-0.096,-0.169,-0.149
2.07,-0.202,-0.257,-0.006
2.08,-0.291,-0.352,0.245
2.09,-0.342,-0.141,0.279
2.1,-0.255,0.144,0.124
2.11,-0.268,0.143,-0.037
2.12,-0.215,0.156,-0.169
2.13,-0.202,0.04,-0.156
2.14,-0.333,-0.162,-0.015
2.15,-0.272,0.069,-0.075
2.16,-0.238,0.146,-0.05
2.17,-0.203,0.183,0.044
2.18,-0.102,0.326,-0.033
2.19,-0.222,-0.005,0.061
2.2,-0.256,-0.322,0.031
2.21,-0.3,-0.22,0.066
2.22,-0.326,-0.228,0.118
2.23,-0.238,-0.024,0.048
2.24,-0.264,0.222,-0.038
2.25,-0.196,0.212,-0.069
2.26,-0.257,0.111,-0.06
2.27,-0.259,0.045,-0.053
2.28,-0.176,-0.111,-0.052
2.29,-0.269,0.061,0.021
2.3,-0.243,0.172,0.033
2.31,-0.226,0.115,0.014
2.32,-0.193,0.002,-0.028
2.33,-0.201,-0.166,-0.009
2.34,-0.282,-0.325,0.118
2.35,-0.201,-0.13,0.072
2.36,-0.27,-0.022,0.061
2.37,-0.26,0.191,0.012
2.38,-0.175,0.341,-0.087
2.39,-0.269,0.076,-0.068
2.4,-0.215,0.085,-0.118
2.41,-0.262,-0.074,-0.033
2.42,-0.244,-0.161,0.033
2.43,-0.211,0.022,-0.005
2.44,-0.237,0.038,0.069
2.45,-0.14,0.034,0.073
2.46,-0.193,0.056,0.006
2.47,-0.293,-0.087,0.029
2.48,-0.263,-0.07,-0.048
2.49,-0.306,0.099,-0.034
2.5,-0.265,0.111,-0.026
2.51,-0.267,0.199,-0.052
2.52,-0.299,0.184,-0.017
