t,ax,ay,az
0.0,-0.269,0.756,-0.08
0.01,-0.341,1.227,-0.205
0.02,-0.11,0.91,0.12
0.03,-0.065,1.033,0.136
0.04,-0.204,0.829,0.001
0.05,-0.473,1.015,-0.093
0.06,-0.152,1.21,-0.019
0.07,-0.169,0.734,0.11
0.08,-0.148,1.061,0.118
0.09,-0.309,0.794,-0.18
0.1,-0.297,1.181,-0.084
0.11,-0.08,1.005,0.125
0.12,-0.154,0.809,0.134
0.13,-0.3,0.965,0.016
0.14,-0.349,0.96,-0.216
0.15,-0.089,1.173,-0.024
0.16,-0.132,0.767,0.164
0.17,-0.218,1.009,0.066
0.18,-0.39,0.827,-0.184
0.19,-0.141,1.143,-0.114
0.2,-0.027,0.974,0.085
0.21,-0.181,0.739,0.197
0.22,-0.347,1.102,-0.04
0.23,-0.292,0.827,-0.171
0.24,-0.121,1.253,0.057
0.25,-0.081,0.752,0.121
0.26,-0.201,0.971,0.014
0.27,-0.409,0.994,-0.19
0.28,-0.14,0.898,0.073
0.29,-0.116,0.827,0.178
0.3,-0.404,0.907,-0.166
0.31,-0.277,1.139,-0.114
0.32,-0.031,0.925,0.079
0.33,-0.152,1.018,0.1
0.34,-0.205,0.682,0.046
0.35,-0.408,1.293,-0.202
0.36,-0.108,0.899,-0.034
0.37,-0.183,0.981,0.223
0.38,-0.147,0.92,0.064
0.39,-0.38,0.848,-0.186
0.4,-0.159,1.279,-0.099
0.41,-0.102,0.789,0.131
0.42,-0.148,0.991,0.147
0.43,-0.271,0.819,-0.042
0.44,-0.323,1.108,-0.208
0.45,-0.157,1.028,0.05
0.46,-0.084,0.938,0.124
0.47,-0.196,0.945,-0.001
0.48,-0.35,0.853,-0.142
0.49,-0.196,1.299,-0.066
0.5,-0.112,0.719,0.083
0.51,-0.143,0.974,0.179
0.52,-0.268,0.907,-0.169
0.53,-0.307,0.989,-0.138
0.54,-0.048,1.172,0.079
0.55,-0.109,0.691,0.127
0.56,-0.308,1.032,0.039
0.57,-0.302,0.92,-0.223
0.58,-0.083,1.183,-0.041
0.59,-0.189,0.789,0.189
0.6,-0.11,0.935,0.132
0.61,-0.397,0.996,-0.214
0.62,-0.148,0.949,-0.06
0.63,-0.111,1.224,0.095
0.64,-0.204,0.61,0.146
0.65,-0.213,1.113,-0.006
0.66,-0.266,0.887,-0.241
0.67,-0.188,1.151,0.054
0.68,-0.116,0.893,0.151
0.69,-0.146,0.782,0.033
0.7,-0.448,1.18,-0.175
0.71,-0.083,0.934,-0.123
0.72,-0.126,1.153,0.038
0.73,-0.128,0.649,0.151
0.74,-0.3,1.137,-0.093
0.75,-0.285,0.885,-0.156
0.76,-0.163,1.089,0.145
0.77,-0.125,0.997,0.093
0.78,-0.15,0.661,-0.017
0.79,-0.422,1.327,-0.176
0.8,-0.055,0.867,-0.03
0.81,-0.255,1.143,0.123
0.82,-0.085,0.764,0.209
0.83,-0.409,1.009,-0.186
0.84,-0.219,1.0,-0.095
0.85,-0.02,1.099,0.072
0.86,-0.165,0.937,0.117
0.87,-0.219,0.655,0.034
0.88,-0.411,1.335,-0.213
0.89,-0.076,0.768,0.011
0.9,-0.201,1.127,0.229
0.91,-0.149,0.774,0.078
0.92,-0.462,0.984,-0.204
0.93,-0.106,1.201,-0.073
0.94,-0.114,0.896,0.116
0.95,-0.206,0.958,0.105
0.96,-0.186,0.717,-0.058
0.97,-0.307,1.297,-0.217
0.98,-0.124,0.899,0.027
0.99,-0.094,1.006,0.149
1.0,-0.241,0.824,0.049
1.01,-0.475,0.914,-0.159
1.02,-0.095,1.25,-0.043
1.03,-0.13,0.77,0.13
1.04,-0.191,1.051,0.182
1.05,-0.293,0.781,-0.15
1.06,-0.318,1.123,-0.15
1.07,0.032,1.038,0.074
1.08,-0.146,0.821,0.115
1.09,-0.279,0.864,0.021
1.1,-0.318,1.065,-0.201
1.11,-0.156,1.134,-0.016
1.12,-0.142,0.763,0.202
1.13,-0.116,1.059,0.047
1.14,-0.401,0.738,-0.241
1.15,-0.116,1.213,-0.073
1.16,-0.025,0.944,0.063
1.17,-0.205,0.792,0.164
1.18,-0.207,1.032,-0.058
1.19,-0.349,0.955,-0.197
1.2,-0.216,1.198,0.108
1.21,0.008,0.763,0.171
1.22,-0.257,0.989,-0.034
1.23,-0.297,0.888,-0.146
1.24,-0.175,1.191,-0.007
1.25,-0.165,0.844,0.077
1.26,-0.063,0.783,0.15
1.27,-0.341,1.115,-0.187
1.28,-0.277,0.841,-0.101
1.29,-0.06,1.338,0.087
1.3,-0.105,0.622,0.127
1.31,-0.345,1.022,0.059
1.32,-0.337,1.026,-0.206
1.33,-0.096,0.977,-0.048
1.34,-0.145,1.04,0.189
1.35,-0.124,0.707,0.102
1.36,-0.454,1.17,-0.198
1.37,-0.123,0.849,-0.028
1.38,-0.187,1.222,0.135
1.39,-0.12,0.679,0.137
1.4,-0.292,0.964,-0.052
1.41,-0.326,1.072,-0.192
1.42,-0.172,0.938,0.068
1.43,-0.12,1.103,0.117
1.44,-0.081,0.619,-0.027
1.45,-0.409,1.282,-0.162
1.46,-0.097,0.894,-0.027
1.47,-0.15,1.055,0.124
1.48,-0.12,0.853,0.177
1.49,-0.408,0.889,-0.15
1.5,-0.257,1.142,-0.128
1.51,-0.033,0.986,0.09
1.52,-0.158,1.008,0.093
1.53,-0.213,0.697,0.029
1.54,-0.356,1.333,-0.245
1.55,-0.108,0.851,-0.01
1.56,-0.167,0.987,0.215
1.57,-0.147,0.917,0.094
1.58,-0.486,0.805,-0.179
1.59,-0.076,1.275,-0.087
1.6,-0.105,0.829,0.059
1.61,-0.156,0.982,0.162
1.62,-0.198,0.787,-0.071
1.63,-0.385,1.158,-0.166
1.64,-0.124,1.036,0.087
1.65,-0.073,0.947,0.132
1.66,-0.202,0.944,-0.019
1.67,-0.364,0.86,-0.093
1.68,-0.179,1.301,-0.056
1.69,-0.153,0.67,0.126
1.7,-0.112,1.025,0.145
1.71,-0.385,0.895,-0.165
1.72,-0.295,1.025,-0.073
1.73,-0.02,1.197,0.064
1.74,-0.154,0.614,0.117
1.75,-0.325,1.088,0.051
1.76,-0.284,0.913,-0.248
1.77,-0.119,1.145,-0.032
1.78,-0.123,0.819,0.228
1.79,-0.152,0.898,0.056
1.8,-0.417,0.981,-0.201
1.81,-0.044,0.981,-0.07
1.82,-0.184,1.134,0.084
1.83,-0.127,0.59,0.167
1.84,-0.291,1.181,-0.098
1.85,-0.314,0.833,-0.226
1.86,-0.111,1.14,0.133
1.87,-0.07,0.927,0.123
1.88,-0.23,0.771,0.014
1.89,-0.397,1.227,-0.162
1.9,-0.101,0.892,-0.045
1.91,-0.186,1.064,0.199
1.92,-0.096,0.703,0.153
1.93,-0.49,1.137,-0.21
1.94,-0.223,0.914,-0.026
1.95,-0.051,1.25,0.091
1.96,-0.252,0.691,0.177
1.97,-0.18,0.929,-0.018
1.98,-0.362,1.19,-0.26
1.99,-0.11,0.832,0.056
2.0,-0.12,1.198,0.164
2.01,-0.156,0.612,0.057
2.02,-0.458,1.194,-0.153
2.03,-0.069,1.021,-0.103
2.04,-0.137,0.973,0.075
2.05,-0.159,0.854,0.145
2.06,-0.262,0.866,-0.115
2.07,-0.278,1.192,-0.217
2.08,-0.101,0.886,0.138
2.09,-0.117,1.098,0.13
2.1,-0.256,0.659,-0.003
2.11,-0.398,1.218,-0.156
2.12,-0.086,0.968,-0.017
2.13,-0.196,0.931,0.154
2.14,-0.13,0.978,0.112
2.15,-0.347,0.796,-0.223
2.16,-0.307,1.235,-0.02
2.17,-0.039,0.862,0.091
2.18,-0.239,0.975,0.114
2.19,-0.234,0.801,-0.022
2.2,-0.31,1.12,-0.218
2.21,-0.158,1.039,0.047
2.22,-0.082,0.874,0.156
2.23,-0.121,0.941,0.005
2.24,-0.403,0.875,-0.166
2.25,-0.108,1.31,-0.098
2.26,-0.177,0.743,0.153
2.27,-0.19,0.955,0.219
2.28,-0.345,0.928,-0.117
2.29,-0.284,0.88,-0.134
2.3,-0.058,1.249,0.108
2.31,-0.178,0.689,0.126
2.32,-0.24,1.032,0.016
2.33,-0.383,0.919,-0.177
2.34,-0.121,1.142,-0.041
2.35,-0.231,0.803,0.174
2.36,-0.118,0.85,0.114
2.37,-0.355,1.028,-0.21
2.38,-0.241,0.944,-0.03
2.39,-0.065,1.22,0.092
2.4,-0.166,0.614,0.13
2.41,-0.319,1.096,0.025
2.42,-0.342,0.915,-0.224
2.43,-0.134,1.062,0.04
2.44,-0.097,0.996,0.147
2.45,-0.167,0.73,0.025
2.46,-0.451,1.152,-0.163
2.47,-0.153,0.901,-0.097
2.48,-0.044,1.115,0.068
2.49,-0.148,0.698,0.218
2.5,-0.449,1.039,-0.104
2.51,-0.206,0.917,-0.193
2.52,0.003,1.152,0.062
2.53,-0.179,0.935,0.124
2.54,-0.19,0.683,0.02
2.55,-0.428,1.339,-0.195
2.56,-0.054,0.845,-0.035
2.57,-0.267,1.151,0.213
2.58,-0.024,0.728,0.1
2.59,-0.472,1.019,-0.192
2.6,-0.146,1.128,-0.06
