t,ax,ay,az
0.0,-0.312,0.861,-0.15
0.01,-0.203,1.287,0.077
0.02,-0.052,0.732,0.122
0.03,-0.176,1.024,0.0
0.04,-0.343,0.903,-0.155
0.05,-0.185,1.179,-0.038
0.06,-0.057,0.825,0.097
0.07,-0.103,0.822,0.156
0.08,-0.418,1.146,-0.161
0.09,-0.2,0.791,-0.126
0.1,-0.191,1.307,0.097
0.11,-0.098,0.638,0.156
0.12,-0.267,1.03,0.026
0.13,-0.376,0.998,-0.166
0.14,-0.123,0.968,0.007
0.15,-0.146,0.994,0.142
0.16,-0.059,0.755,0.097
0.17,-0.487,1.158,-0.174
0.18,-0.199,0.84,-0.036
0.19,-0.117,1.28,0.064
0.2,-0.206,0.694,0.132
0.21,-0.238,0.98,-0.002
0.22,-0.394,1.1,-0.22
0.23,-0.128,0.879,0.044
0.24,-0.249,0.699,0.06
0.25,-0.32,1.338,-0.229
0.26,-0.148,0.825,-0.001
0.27,-0.083,1.184,0.181
0.28,-0.147,0.651,0.07
0.29,-0.492,1.144,-0.17
0.3,-0.108,0.997,-0.066
0.31,-0.142,1.039,0.076
0.32,-0.188,0.864,0.156
0.33,-0.195,0.783,-0.054
0.34,-0.435,1.218,-0.18
0.35,-0.117,0.853,0.077
0.36,-0.114,1.197,0.139
0.37,-0.195,0.641,0.024
0.38,-0.341,1.18,-0.196
0.39,-0.075,1.083,-0.097
0.4,-0.194,0.82,0.14
0.41,-0.073,1.001,0.151
0.42,-0.33,0.767,-0.171
0.43,-0.324,1.19,-0.135
0.44,-0.056,0.93,0.067
0.45,-0.123,1.02,0.132
0.46,-0.256,0.787,0.063
0.47,-0.367,1.095,-0.173
0.48,-0.153,1.091,-0.064
0.49,-0.134,0.771,0.152
0.5,-0.118,1.057,0.142
0.51,-0.345,0.762,-0.199
0.52,-0.238,1.215,-0.081
0.53,-0.062,0.986,0.093
0.54,-0.212,0.851,0.144
0.55,-0.229,0.926,0.014
0.56,-0.336,1.045,-0.197
0.57,-0.155,1.083,-0.019
0.58,-0.08,0.8,0.198
0.59,-0.124,1.048,0.036
0.6,-0.371,0.786,-0.22
0.61,-0.164,1.217,0.012
0.62,-0.139,0.978,0.068
0.63,-0.2,0.734,0.146
0.64,-0.259,1.086,-0.016
0.65,-0.369,0.888,-0.178
0.66,-0.173,1.121,0.053
0.67,-0.028,0.782,0.157
0.68,-0.239,0.987,0.042
0.69,-0.375,0.869,-0.2
0.7,-0.08,1.115,-0.139
0.71,-0.131,0.946,0.037
0.72,-0.073,0.741,0.159
0.73,-0.399,1.126,-0.137
0.74,-0.342,0.801,-0.114
0.75,-0.041,1.277,0.055
0.76,-0.057,0.672,0.122
0.77,-0.289,1.008,0.087
0.78,-0.358,1.062,-0.241
0.79,-0.118,0.938,-0.037
0.8,-0.128,1.031,0.173
0.81,-0.073,0.719,0.139
0.82,-0.424,1.197,-0.14
0.83,-0.279,0.835,-0.075
0.84,-0.179,1.229,0.095
0.85,-0.098,0.719,0.14
0.86,-0.252,0.95,-0.014
0.87,-0.392,1.185,-0.227
0.88,-0.041,0.859,-0.045
0.89,-0.119,1.178,0.155
0.9,-0.103,0.633,0.14
0.91,-0.383,1.173,-0.211
0.92,-0.128,0.948,-0.074
0.93,-0.176,1.092,0.081
0.94,-0.151,0.797,0.191
0.95,-0.326,0.87,-0.02
0.96,-0.404,1.187,-0.171
0.97,-0.038,0.827,0.02
0.98,-0.129,1.226,0.094
0.99,-0.05,0.677,0.032
1.0,-0.454,1.171,-0.159
1.01,-0.108,1.017,-0.07
1.02,-0.176,0.969,0.114
1.03,-0.167,0.916,0.206
1.04,-0.381,0.806,-0.125
1.05,-0.315,1.188,-0.179
1.06,-0.039,0.913,0.085
