t,ax,ay,az
0.0,-0.188,1.096,0.101
0.01,-0.043,0.713,0.114
0.02,-0.428,1.164,-0.204
0.03,-0.324,0.881,-0.049
0.04,-0.003,1.176,0.083
0.05,-0.158,0.792,0.093
0.06,-0.287,0.869,-0.02
0.07,-0.356,1.251,-0.177
0.08,-0.135,0.831,0.109
0.09,-0.071,1.083,0.11
0.1,-0.185,0.623,-0.043
0.11,-0.441,1.284,-0.153
0.12,-0.129,0.954,-0.017
0.13,-0.242,0.915,0.197
0.14,-0.073,0.93,0.088
0.15,-0.422,0.886,-0.23
0.16,-0.09,1.25,-0.056
0.17,-0.083,0.857,0.13
0.18,-0.233,1.021,0.151
0.19,-0.208,0.731,-0.141
0.2,-0.335,1.172,-0.213
0.21,0.013,1.073,0.114
0.22,-0.09,0.83,0.085
0.23,-0.384,0.927,0.045
0.24,-0.282,0.955,-0.191
0.25,-0.14,1.283,-0.006
0.26,-0.215,0.71,0.225
0.27,-0.12,0.977,0.06
0.28,-0.459,0.84,-0.215
0.29,-0.141,1.242,-0.046
0.3,-0.094,0.802,0.111
0.31,-0.124,0.885,0.189
0.32,-0.325,1.007,-0.181
0.33,-0.3,0.911,-0.089
0.34,-0.049,1.295,0.127
0.35,-0.157,0.61,0.092
0.36,-0.289,1.058,0.007
0.37,-0.356,0.964,-0.217
0.38,-0.204,1.089,0.079
0.39,-0.143,0.896,0.132
0.4,-0.135,0.731,-0.015
0.41,-0.37,1.212,-0.17
0.42,-0.073,0.864,-0.034
0.43,-0.17,1.121,0.192
0.44,-0.096,0.723,0.127
0.45,-0.436,1.08,-0.19
0.46,-0.179,1.038,-0.108
0.47,-0.067,1.026,0.095
0.48,-0.175,0.883,0.159
0.49,-0.208,0.782,-0.091
0.5,-0.356,1.26,-0.205
0.51,-0.05,0.867,0.098
0.52,-0.094,1.094,0.143
0.53,-0.244,0.657,-0.009
0.54,-0.326,1.153,-0.206
0.55,-0.118,1.09,-0.061
0.56,-0.239,0.823,0.184
0.57,-0.091,0.997,0.121
0.58,-0.468,0.765,-0.193
0.59,-0.216,1.329,-0.038
0.6,-0.003,0.804,0.134
0.61,-0.234,0.967,0.205
0.62,-0.216,0.823,-0.074
0.63,-0.302,1.063,-0.189
0.64,-0.09,1.213,0.108
0.65,-0.155,0.723,0.146
0.66,-0.329,1.016,0.045
0.67,-0.349,0.917,-0.199
0.68,-0.094,1.23,-0.064
0.69,-0.071,0.765,0.175
0.7,-0.158,0.925,0.09
0.71,-0.43,0.978,-0.195
0.72,-0.114,1.042,-0.128
0.73,-0.069,1.1,0.051
0.74,-0.163,0.67,0.21
0.75,-0.371,1.109,-0.092
0.76,-0.313,0.826,-0.17
0.77,0.003,1.28,0.052
0.78,-0.094,0.741,0.079
0.79,-0.32,0.838,0.078
0.8,-0.374,1.248,-0.229
0.81,-0.103,0.856,-0.02
0.82,-0.113,1.142,0.199
0.83,-0.077,0.673,0.043
0.84,-0.542,1.202,-0.149
0.85,-0.065,0.976,-0.09
0.86,-0.135,1.014,0.059
0.87,-0.138,0.862,0.19
0.88,-0.334,0.836,-0.103
0.89,-0.443,1.207,-0.203
0.9,0.132,0.893,0.062
0.91,-0.139,1.079,0.064
0.92,-0.195,0.638,0.019
0.93,-0.365,1.313,-0.187
0.94,-0.202,0.946,-0.022
0.95,-0.08,0.914,0.193
0.96,-0.153,0.941,0.024
0.97,-0.547,0.838,-0.146
0.98,-0.157,1.317,-0.076
0.99,-0.129,0.768,0.088
1.0,-0.141,1.018,0.143
1.01,-0.285,0.746,-0.164
1.02,-0.311,1.14,-0.099
1.03,0.064,1.149,0.03
1.04,-0.207,0.67,0.096
1.05,-0.211,1.048,0.018
1.06,-0.372,0.949,-0.191
1.07,-0.184,1.193,0.051
1.08,-0.041,0.748,0.118
1.09,-0.21,0.975,-0.028
1.1,-0.286,0.899,-0.14
1.11,-0.188,1.202,-0.018
1.12,-0.163,0.797,0.185
1.13,-0.135,0.873,0.112
1.14,-0.379,1.048,-0.217
1.15,-0.224,0.887,-0.056
1.16,-0.078,1.289,0.095
1.17,-0.194,0.583,0.102
1.18,-0.233,1.094,-0.052
1.19,-0.312,0.978,-0.255
1.2,-0.103,1.064,0.149
1.21,-0.114,0.962,0.13
1.22,-0.224,0.669,-0.005
1.23,-0.356,1.298,-0.169
1.24,-0.054,0.896,-0.091
1.25,-0.273,1.079,0.235
1.26,-0.072,0.749,0.135
1.27,-0.445,1.035,-0.25
1.28,-0.122,1.031,-0.08
1.29,-0.023,1.013,0.127
1.3,-0.283,0.945,0.176
1.31,-0.204,0.715,-0.065
1.32,-0.381,1.291,-0.239
1.33,0.008,0.871,0.086
1.34,-0.123,1.073,0.105
1.35,-0.212,0.72,0.009
1.36,-0.381,1.127,-0.183
1.37,-0.018,1.094,-0.065
1.38,-0.158,0.816,0.16
1.39,-0.125,1.034,0.103
1.4,-0.375,0.767,-0.169
1.41,-0.25,1.313,-0.095
1.42,-0.031,0.772,0.117
